分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"34,048,831","819,930,000","13,554",-0.98,
食品類指數          ,"15,229,094","1,072,337,008","16,891",6.54,
塑膠類指數          ,"449,232,053","18,250,481,703","198,435",0.54,
紡織纖維類指數      ,"45,289,541","3,347,945,676","35,590",4.27,
電機機械類指數      ,"142,794,836","16,331,429,729","124,472",-15.22,
電器電纜類指數      ,"365,102,207","12,494,287,865","146,951",-3.7,
化學生技醫療類指數  ,"120,837,089","11,226,033,145","104,257",-1.03,
化學類指數          ,"65,914,679","3,292,419,666","37,126",0.53,
生技醫療類指數      ,"54,922,410","7,933,613,479","67,131",-0.97,
玻璃陶瓷類指數      ,"207,505,004","7,385,887,917","88,140",-2.47,
造紙類指數          ,"18,870,719","298,659,851","8,434",6.38,
鋼鐵類指數          ,"86,616,738","3,180,996,761","45,438",-0.51,
橡膠類指數          ,"20,982,796","557,509,173","11,268",1.43,
汽車類指數          ,"93,292,051","4,817,289,836","59,431",7.3,
電子類指數          ,"2,844,422,908","438,226,172,535","2,470,876",-36.76,
半導體類指數        ,"1,185,040,411","165,314,107,219","935,193",-17.88,
電腦及週邊設備類指數,"339,975,650","59,119,443,301","321,090",-7.28,
光電類指數          ,"243,054,014","12,115,177,150","145,621",-0.56,
通信網路類指數      ,"98,524,743","17,548,112,124","90,716",-0.47,
電子零組件類指數    ,"630,662,470","122,221,527,542","631,092",-11.01,
電子通路類指數      ,"112,905,091","7,935,231,166","89,850",-2.7,
資訊服務類指數      ,"6,220,219","476,453,104","6,922",-3.16,
其他電子類指數      ,"228,040,310","53,496,120,929","250,392",-8.94,
建材營造類指數      ,"61,601,441","1,799,700,314","42,863",-2.3,
航運業類指數        ,"198,403,383","11,847,371,052","137,820",-1.78,
觀光餐旅類指數      ,"5,449,753","589,707,372","9,745",-0.52,
金融保險類指數      ,"400,779,990","14,202,345,471","144,505",-7.93,
貿易百貨類指數      ,"19,828,825","963,792,672","11,894",-0.02,
油電燃氣類指數      ,"15,811,982","788,623,624","24,687",-2.35,
其他類指數          ,"42,355,997","3,106,433,163","42,342",-1.14,
綠能環保類指數      ,"11,307,384","1,339,521,285","21,104",-1.95,
數位雲端類指數      ,"1,749,225","247,725,425","3,321",0.2,
運動休閒類指數      ,"45,441,277","3,387,360,449","36,404",-0.13,
居家生活類指數      ,"3,021,868","532,667,840","3,170",-0.07,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
