日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
113/02/01,"5,865,757,348","312,760,860,228","1,982,747","17,968.11",78.55
113/02/02,"5,660,501,359","334,717,306,871","2,059,318","18,059.93",91.82
113/02/05,"5,578,682,526","324,859,121,116","2,172,177","18,096.07",36.14
113/02/15,"8,401,984,466","515,463,516,591","2,948,217","18,644.57",548.5
113/02/16,"7,844,208,954","416,487,094,956","2,772,485","18,607.25",-37.32
113/02/19,"7,707,547,519","375,165,893,586","2,832,672","18,635.80",28.55
113/02/20,"7,064,550,775","359,813,377,895","2,625,331","18,753.16",117.36
113/02/21,"7,279,039,404","348,877,496,932","2,667,270","18,676.31",-76.85
113/02/22,"7,544,144,391","405,269,203,212","2,728,633","18,852.78",176.47
113/02/23,"7,868,781,866","452,654,013,093","3,029,205","18,889.19",36.41
113/02/26,"7,062,243,384","361,091,557,269","2,624,680","18,948.05",58.86
113/02/27,"7,916,887,244","430,848,079,757","3,052,799","18,854.41",-93.64
113/02/29,"7,568,554,508","427,024,252,573","2,627,456","18,966.77",112.36
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
