日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
111/01/03,"6,970,218,977","331,140,316,855","2,338,749","18,270.51",51.67
111/01/04,"7,298,131,167","335,569,934,282","2,643,357","18,526.35",255.84
111/01/05,"7,366,467,747","343,453,096,092","2,328,896","18,499.96",-26.39
111/01/06,"6,401,573,567","301,053,696,034","2,173,087","18,367.92",-132.04
111/01/07,"7,595,875,305","332,827,899,637","2,555,678","18,169.76",-198.16
111/01/10,"5,896,254,271","275,083,813,080","1,952,780","18,239.38",69.62
111/01/11,"7,356,526,427","309,224,506,632","2,411,421","18,288.21",48.83
111/01/12,"6,746,853,029","290,149,706,287","2,224,787","18,375.40",87.19
111/01/13,"7,130,343,237","281,622,682,970","2,220,071","18,436.93",61.53
111/01/14,"7,366,761,176","338,720,078,155","2,449,481","18,403.33",-33.6
111/01/17,"5,767,298,334","265,308,719,255","1,872,169","18,525.44",122.11
111/01/18,"6,014,247,602","268,216,357,147","1,966,192","18,378.64",-146.8
111/01/19,"6,124,785,990","261,584,591,528","2,073,059","18,227.46",-151.18
111/01/20,"5,557,986,887","244,016,349,143","1,755,683","18,218.28",-9.18
111/01/21,"7,191,394,082","310,956,847,126","2,565,861","17,899.30",-318.98
111/01/24,"6,093,291,987","267,104,994,546","2,040,708","17,989.04",89.74
111/01/25,"6,109,603,449","274,980,347,832","2,298,505","17,701.12",-287.92
111/01/26,"4,934,894,358","230,136,214,498","1,893,045","17,674.40",-26.72
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
