日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
111/11/01,"4,329,893,314","157,424,369,413","1,280,803","13,037.21",87.46
111/11/02,"4,381,658,168","157,054,824,768","1,346,051","13,100.17",62.96
111/11/03,"4,684,705,913","166,722,557,318","1,370,962","12,986.60",-113.57
111/11/04,"5,249,914,853","182,037,660,877","1,529,849","13,026.71",40.11
111/11/07,"6,060,917,482","207,939,141,910","1,723,468","13,223.73",197.02
111/11/08,"6,109,681,364","225,854,797,497","1,877,685","13,347.76",124.03
111/11/09,"6,414,308,828","242,279,436,440","1,846,404","13,638.81",291.05
111/11/10,"5,126,398,341","193,698,636,734","1,578,821","13,503.76",-135.05
111/11/11,"8,386,262,085","340,907,871,044","2,346,882","14,007.56",503.8
111/11/14,"7,093,934,371","277,658,935,390","2,039,907","14,174.90",167.34
111/11/15,"7,913,371,709","303,830,734,485","2,223,788","14,546.31",371.41
111/11/16,"6,982,139,242","286,900,306,355","2,191,244","14,537.35",-8.96
111/11/17,"5,900,998,034","243,340,088,307","1,830,458","14,535.23",-2.12
111/11/18,"5,735,383,910","239,432,879,066","1,833,238","14,504.99",-30.24
111/11/21,"4,538,087,993","179,198,449,097","1,474,626","14,449.39",-55.6
111/11/22,"4,540,344,020","192,794,292,207","1,480,634","14,542.20",92.81
111/11/23,"4,486,340,205","190,116,049,279","1,488,534","14,608.54",66.34
111/11/24,"5,601,547,331","221,042,345,269","1,685,529","14,784.00",175.46
111/11/25,"5,565,055,986","240,583,986,134","1,747,160","14,778.51",-5.49
111/11/28,"5,256,730,098","202,234,434,984","1,638,606","14,556.87",-221.64
111/11/29,"6,002,496,941","216,213,179,785","1,787,834","14,709.64",152.77
111/11/30,"7,413,107,432","285,404,157,066","1,879,154","14,879.55",169.91
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
