日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
112/12/01,"6,449,439,289","303,354,416,776","2,356,465","17,438.35",4.5
112/12/04,"7,455,122,410","329,712,758,004","2,615,713","17,421.48",-16.87
112/12/05,"7,011,018,589","320,615,909,509","2,619,432","17,328.01",-93.47
112/12/06,"6,495,028,785","300,589,295,151","2,307,871","17,360.72",32.71
112/12/07,"6,960,938,851","303,911,947,568","2,497,100","17,278.74",-81.98
112/12/08,"6,460,484,852","313,383,854,943","2,190,141","17,383.99",105.25
112/12/11,"6,178,381,448","291,528,105,616","2,181,079","17,418.34",34.35
112/12/12,"6,593,662,794","320,448,215,336","2,371,862","17,450.63",32.29
112/12/13,"7,022,597,584","320,263,226,668","2,442,751","17,468.93",18.3
112/12/14,"8,512,618,222","389,879,113,486","2,786,426","17,653.11",184.18
112/12/15,"9,256,588,123","448,437,036,582","3,003,264","17,673.87",20.76
112/12/18,"7,531,216,747","326,657,892,904","2,605,535","17,652.03",-21.84
112/12/19,"7,179,470,739","325,889,863,775","2,607,438","17,576.55",-75.48
112/12/20,"7,112,769,011","339,894,621,868","2,456,265","17,635.20",58.65
112/12/21,"7,391,178,534","328,758,391,109","2,581,302","17,543.74",-91.46
112/12/22,"6,878,372,345","291,856,733,205","2,249,960","17,596.63",52.89
112/12/25,"5,771,072,159","242,779,733,409","2,104,264","17,604.84",8.21
112/12/26,"5,536,355,821","229,703,131,613","1,915,209","17,751.73",146.89
112/12/27,"6,800,409,120","299,924,290,420","2,280,772","17,891.50",139.77
112/12/28,"6,580,845,114","289,840,477,247","2,317,536","17,910.37",18.87
112/12/29,"5,813,967,380","272,169,082,532","1,971,190","17,930.81",20.44
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
