日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
113/04/01,"8,434,260,812","365,477,407,769","2,975,577","20,222.33",-72.12
113/04/02,"8,095,952,108","417,708,529,487","2,757,559","20,466.57",244.24
113/04/03,"7,343,173,063","384,494,497,477","2,664,867","20,337.60",-128.97
113/04/08,"7,833,324,469","415,911,444,300","2,818,425","20,417.70",80.1
113/04/09,"9,050,814,136","452,897,148,868","3,121,268","20,796.20",378.5
113/04/10,"8,716,653,906","435,318,171,342","3,189,912","20,763.53",-32.67
113/04/11,"8,914,560,391","451,009,469,952","3,208,796","20,753.22",-10.31
113/04/12,"8,851,979,644","489,457,153,995","3,230,240","20,736.57",-16.65
113/04/15,"9,618,574,254","488,488,858,954","3,578,102","20,449.77",-286.8
113/04/16,"11,746,011,018","548,979,545,145","4,729,021","19,901.96",-547.81
113/04/17,"7,877,446,674","412,229,222,836","2,869,565","20,213.33",311.37
113/04/18,"8,879,764,431","455,537,288,631","3,144,271","20,301.20",87.87
113/04/19,"14,220,809,628","724,481,123,894","5,597,073","19,527.12",-774.08
113/04/22,"10,228,829,402","492,250,264,471","3,898,055","19,411.22",-115.9
113/04/23,"7,253,946,313","351,094,221,060","2,591,786","19,599.28",188.06
113/04/24,"9,111,612,970","434,267,083,734","2,920,550","20,131.74",532.46
113/04/25,"7,577,774,252","366,755,232,941","2,753,516","19,857.42",-274.32
113/04/26,"8,712,330,378","426,315,911,796","2,908,677","20,120.51",263.09
113/04/29,"10,073,768,829","428,735,619,979","3,165,072","20,495.52",375.01
113/04/30,"7,574,611,198","364,587,705,105","2,681,136","20,396.60",-98.92
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
