日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
114/09/01,"7,882,519,521","522,538,354,934","3,994,537","24,071.73",-161.37
114/09/02,"6,868,073,676","420,249,878,093","3,133,277","24,016.78",-54.95
114/09/03,"6,215,237,843","375,154,827,165","2,825,606","24,100.30",83.52
114/09/04,"7,455,297,262","450,547,881,333","3,277,050","24,179.85",79.55
114/09/05,"6,973,379,276","426,569,974,111","3,089,868","24,494.58",314.73
114/09/08,"7,768,998,687","443,185,374,596","3,241,448","24,547.38",52.8
114/09/09,"8,091,742,979","512,534,389,842","3,429,591","24,855.18",307.8
114/09/10,"8,693,632,992","540,470,187,649","3,674,708","25,192.59",337.41
114/09/11,"9,553,641,157","609,494,103,234","4,224,556","25,215.71",23.12
114/09/12,"7,830,621,434","495,051,339,127","3,399,552","25,474.64",258.93
114/09/15,"6,958,333,955","407,891,369,036","3,179,132","25,357.16",-117.48
114/09/16,"7,560,459,055","455,107,630,117","3,183,247","25,629.64",272.48
114/09/17,"7,849,906,030","439,687,060,953","3,344,507","25,438.25",-191.39
114/09/18,"8,339,290,249","467,374,300,986","3,371,322","25,769.36",331.11
114/09/19,"9,787,714,693","619,694,769,912","3,620,290","25,578.37",-190.99
114/09/22,"7,847,993,700","482,061,403,631","3,364,352","25,880.60",302.23
114/09/23,"8,950,246,446","547,004,847,440","3,683,215","26,247.37",366.77
114/09/24,"7,897,848,080","515,187,636,594","3,460,483","26,196.73",-50.64
114/09/25,"8,846,470,892","503,204,151,623","3,716,116","26,023.85",-172.88
114/09/26,"8,334,201,118","500,052,396,638","4,019,744","25,580.32",-443.53
114/09/30,"6,699,602,406","455,296,213,373","2,736,444","25,820.54",240.22
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
