日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
111/04/01,"5,719,024,589","234,596,248,071","1,890,638","17,625.59",-67.88
111/04/06,"6,830,996,225","268,247,294,980","2,288,943","17,522.50",-103.09
111/04/07,"8,062,131,403","322,049,901,393","3,040,778","17,178.63",-343.87
111/04/08,"6,150,051,204","251,705,818,795","2,126,491","17,284.54",105.91
111/04/11,"7,826,059,899","305,785,221,974","2,942,559","17,048.37",-236.17
111/04/12,"6,923,672,984","280,224,193,880","2,376,079","16,990.91",-57.46
111/04/13,"7,050,860,527","264,526,339,971","2,174,359","17,301.65",310.74
111/04/14,"6,990,328,545","259,318,241,977","2,349,361","17,245.65",-56.0
111/04/15,"6,948,398,350","274,202,390,467","2,508,906","17,004.18",-241.47
111/04/18,"6,433,458,145","231,659,690,232","2,330,874","16,898.87",-105.31
111/04/19,"5,818,953,983","230,102,564,252","1,963,575","16,993.40",94.53
111/04/20,"7,477,482,250","296,813,013,097","2,426,137","17,148.88",155.48
111/04/21,"6,527,037,507","249,584,280,223","2,201,361","17,127.95",-20.93
111/04/22,"7,020,338,233","277,475,609,813","2,429,388","17,025.09",-102.86
111/04/25,"7,818,513,217","310,208,208,018","2,976,736","16,620.90",-404.19
111/04/26,"6,546,679,833","261,006,936,806","2,255,284","16,644.79",23.89
111/04/27,"7,557,844,845","306,750,174,579","2,749,306","16,303.35",-341.44
111/04/28,"6,326,127,172","262,470,845,085","2,102,868","16,419.38",116.03
111/04/29,"6,283,737,847","260,402,549,129","1,922,215","16,592.18",172.8
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
