日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
111/02/07,"6,291,542,020","314,553,557,079","2,175,627","17,900.30",225.9
111/02/08,"6,885,105,405","320,965,472,429","2,244,207","17,966.56",66.26
111/02/09,"6,861,230,590","300,999,539,199","2,180,022","18,151.76",185.2
111/02/10,"6,512,226,740","285,487,253,888","2,134,738","18,338.05",186.29
111/02/11,"6,177,798,054","265,254,586,230","2,000,675","18,310.94",-27.11
111/02/14,"6,357,847,000","269,927,101,363","2,291,343","17,997.67",-313.27
111/02/15,"5,884,767,890","235,991,402,130","2,162,286","17,951.81",-45.86
111/02/16,"6,435,603,563","272,632,973,409","2,388,995","18,231.47",279.66
111/02/17,"7,855,456,055","309,159,952,138","2,591,756","18,268.57",37.1
111/02/18,"7,574,375,828","306,718,213,795","2,490,161","18,232.35",-36.22
111/02/21,"7,499,386,043","297,586,639,594","2,554,948","18,221.49",-10.86
111/02/22,"8,553,650,919","342,849,518,012","3,140,001","17,969.29",-252.2
111/02/23,"6,080,359,708","272,941,985,247","2,171,066","18,055.73",86.44
111/02/24,"10,101,872,744","443,017,036,752","3,740,597","17,594.55",-461.18
111/02/25,"8,104,034,354","395,177,961,155","2,954,069","17,652.18",57.63
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
