日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
112/10/02,"5,734,001,169","286,807,963,826","1,942,217","16,557.31",203.57
112/10/03,"5,892,350,444","261,452,891,875","2,091,876","16,454.34",-102.97
112/10/04,"5,641,720,382","242,721,064,816","2,127,722","16,273.38",-180.96
112/10/05,"5,252,903,002","243,743,609,136","1,790,882","16,453.52",180.14
112/10/06,"4,802,052,603","223,002,457,611","1,700,252","16,520.57",67.05
112/10/11,"6,743,900,141","375,688,470,719","2,491,445","16,672.03",151.46
112/10/12,"5,883,086,339","303,160,113,281","1,999,162","16,825.91",153.88
112/10/13,"5,853,685,142","304,958,612,617","2,198,554","16,782.57",-43.34
112/10/16,"5,507,462,914","240,758,293,074","1,958,579","16,652.24",-130.33
112/10/17,"5,405,131,982","279,452,707,382","2,122,683","16,642.55",-9.69
112/10/18,"7,147,874,907","361,107,901,039","2,536,371","16,440.91",-201.64
112/10/19,"5,556,554,079","258,021,279,278","2,001,037","16,452.73",11.82
112/10/20,"6,106,263,984","283,950,950,548","2,222,615","16,440.72",-12.01
112/10/23,"4,924,750,878","217,425,490,039","1,831,029","16,251.36",-189.36
112/10/24,"5,390,408,686","235,923,724,334","1,913,082","16,309.76",58.4
112/10/25,"5,418,274,280","239,793,721,152","1,852,786","16,358.89",49.13
112/10/26,"5,682,316,816","244,201,948,976","2,156,271","16,073.74",-285.15
112/10/27,"4,562,736,668","216,734,504,941","1,580,724","16,134.61",60.87
112/10/30,"4,531,453,026","218,941,350,073","1,681,509","16,149.68",15.07
112/10/31,"5,582,483,354","274,361,107,900","2,104,153","16,001.27",-148.41
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
