日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
112/07/03,"7,397,864,362","343,298,643,858","2,496,042","17,084.20",168.66
112/07/04,"7,951,802,237","382,879,549,186","2,747,512","17,140.77",56.57
112/07/05,"7,276,803,562","342,355,262,696","2,667,927","17,056.43",-84.34
112/07/06,"7,884,657,415","354,495,894,249","2,908,709","16,762.17",-294.26
112/07/07,"6,849,714,776","310,143,532,160","2,555,536","16,664.21",-97.96
112/07/10,"6,154,372,401","272,429,380,366","2,208,610","16,652.80",-11.41
112/07/11,"6,961,862,550","319,945,844,753","2,329,323","16,898.91",246.11
112/07/12,"7,334,366,051","353,979,352,487","2,590,362","16,962.03",63.12
112/07/13,"9,286,862,044","471,301,138,980","3,146,025","17,061.40",99.37
112/07/14,"8,343,133,992","429,307,830,676","2,893,140","17,283.71",222.31
112/07/17,"8,368,565,035","394,857,432,672","2,999,279","17,334.29",50.58
112/07/18,"9,775,425,065","493,821,366,527","3,640,021","17,227.91",-106.38
112/07/19,"8,084,533,927","433,629,151,083","3,119,175","17,116.44",-111.47
112/07/20,"6,313,982,662","320,441,248,239","2,334,538","17,164.89",48.45
112/07/21,"7,694,988,737","439,805,894,168","2,857,087","17,030.70",-134.19
112/07/24,"7,182,357,462","410,025,080,486","2,717,865","17,033.61",2.91
112/07/25,"7,371,305,731","429,418,810,790","2,666,759","17,198.89",165.28
112/07/26,"7,110,367,784","369,539,371,618","2,722,865","17,162.55",-36.34
112/07/27,"7,599,016,666","355,366,143,361","2,625,255","17,241.82",79.27
112/07/28,"7,744,942,863","385,595,469,711","2,724,095","17,292.93",51.11
112/07/31,"9,128,395,230","492,274,761,788","3,242,944","17,145.43",-147.5
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
