日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
112/08/01,"7,063,479,689","388,596,692,244","2,536,481","17,212.87",67.44
112/08/02,"9,190,407,486","458,942,053,419","3,518,463","16,893.73",-319.14
112/08/04,"7,314,773,210","374,459,881,317","2,615,844","16,843.68",-50.05
112/08/07,"6,264,641,217","328,128,942,222","2,263,100","16,996.00",152.32
112/08/08,"6,750,517,163","379,273,468,996","2,508,882","16,877.07",-118.93
112/08/09,"5,957,436,064","332,911,919,375","2,222,098","16,870.94",-6.13
112/08/10,"7,182,123,838","354,409,765,659","2,728,892","16,634.70",-236.24
112/08/11,"5,629,266,601","295,612,942,514","2,096,046","16,601.25",-33.45
112/08/14,"7,357,665,473","329,602,997,888","2,739,005","16,393.66",-207.59
112/08/15,"5,959,257,132","299,140,094,290","2,152,749","16,454.80",61.14
112/08/16,"6,459,109,192","332,691,807,516","2,581,645","16,446.78",-8.02
112/08/17,"7,125,689,803","386,625,652,682","2,541,716","16,516.66",69.88
112/08/18,"7,246,690,809","386,686,419,495","2,814,898","16,381.31",-135.35
112/08/21,"5,426,098,410","267,169,264,927","1,913,635","16,381.49",0.18
112/08/22,"5,428,567,404","310,261,433,435","2,000,069","16,437.61",56.12
112/08/23,"5,531,007,128","294,236,734,722","2,058,448","16,576.90",139.29
112/08/24,"7,596,547,484","451,206,212,304","2,702,197","16,770.87",193.97
112/08/25,"6,149,183,528","328,040,732,611","2,378,937","16,481.58",-289.29
112/08/28,"5,650,625,975","283,265,301,696","2,128,472","16,509.26",27.68
112/08/29,"5,029,684,235","253,647,729,589","1,818,371","16,623.65",114.39
112/08/30,"5,783,468,578","284,810,372,568","2,011,694","16,719.82",96.17
112/08/31,"6,337,598,125","360,264,848,033","2,129,403","16,634.51",-85.31
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
