日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
113/03/01,"7,573,187,396","408,887,917,320","2,704,070","18,935.93",-30.84
113/03/04,"8,836,524,686","498,826,009,735","3,139,804","19,305.31",369.38
113/03/05,"8,130,039,078","434,737,914,006","2,929,998","19,386.92",81.61
113/03/06,"8,275,991,420","424,946,730,059","3,038,446","19,499.45",112.53
113/03/07,"9,410,905,277","519,787,748,111","3,511,748","19,693.52",194.07
113/03/08,"10,441,231,662","589,536,537,710","3,828,556","19,785.32",91.8
113/03/11,"7,833,500,763","414,340,922,022","2,852,909","19,726.08",-59.24
113/03/12,"8,460,730,583","467,124,722,024","2,902,751","19,914.55",188.47
113/03/13,"9,706,968,613","552,352,937,940","3,524,664","19,928.51",13.96
113/03/14,"8,827,167,427","489,766,145,159","3,234,298","19,937.92",9.41
113/03/15,"9,670,515,104","570,821,380,572","3,274,078","19,682.50",-255.42
113/03/18,"7,757,012,558","427,419,350,411","2,891,814","19,879.85",197.35
113/03/19,"8,621,957,387","472,044,684,305","3,130,693","19,857.20",-22.65
113/03/20,"10,021,992,787","532,380,770,407","3,673,047","19,784.45",-72.75
113/03/21,"9,714,309,641","494,379,415,922","3,288,601","20,199.09",414.64
113/03/22,"9,739,588,799","506,545,814,070","3,604,661","20,228.43",29.34
113/03/25,"7,774,647,172","376,836,417,981","2,942,978","20,192.25",-36.18
113/03/26,"9,364,343,444","493,908,564,652","3,686,460","20,126.49",-65.76
113/03/27,"7,726,443,586","392,018,178,269","2,880,555","20,200.12",73.63
113/03/28,"8,671,376,628","452,071,034,258","3,120,574","20,146.55",-53.57
113/03/29,"8,501,295,897","483,267,779,914","3,034,507","20,294.45",147.9
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
