日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
113/06/03,"9,227,882,212","440,315,381,381","3,152,460","21,536.76",362.54
113/06/04,"9,533,375,775","454,297,592,564","3,405,966","21,356.62",-180.14
113/06/05,"8,309,415,709","411,457,331,473","3,004,611","21,484.88",128.26
113/06/06,"9,720,110,923","486,494,573,820","3,262,729","21,902.70",417.82
113/06/07,"9,413,696,800","460,900,524,773","3,237,721","21,858.38",-44.32
113/06/11,"10,336,042,752","518,161,963,890","3,652,239","21,792.12",-66.26
113/06/12,"8,993,663,732","457,354,276,811","3,118,397","22,048.96",256.84
113/06/13,"10,063,123,188","528,533,457,748","3,271,271","22,312.04",263.08
113/06/14,"9,573,063,432","508,593,118,593","3,269,856","22,504.72",192.68
113/06/17,"9,540,532,148","454,031,893,974","3,274,778","22,496.53",-8.19
113/06/18,"9,626,522,803","469,258,839,544","3,158,037","22,757.43",260.9
113/06/19,"11,548,968,111","618,363,344,162","3,923,004","23,209.54",452.11
113/06/20,"10,071,394,416","521,990,011,738","3,404,365","23,406.10",196.56
113/06/21,"12,435,288,243","651,002,530,054","3,790,242","23,253.39",-152.71
113/06/24,"10,868,484,158","517,307,537,409","3,817,431","22,813.70",-439.69
113/06/25,"9,415,655,198","482,212,396,489","3,142,165","22,875.97",62.27
113/06/26,"9,402,611,851","472,923,024,385","3,029,061","22,986.69",110.72
113/06/27,"9,517,113,615","450,364,308,531","3,173,977","22,905.98",-80.71
113/06/28,"9,156,285,272","448,495,879,049","2,762,150","23,032.25",126.27
說明:,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
