Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""082026""",長榮永豐52購02  ,0,0,0,"115,000",0,"115,000","115,000",0,"115,000"
"=""075707""",大成鋼凱基4A購04,0,0,0,"114,000",0,"114,000","114,000",0,"114,000"
"=""077780""",敦陽科國泰4B購01,0,0,0,"141,000","27,000","114,000","141,000","27,000","114,000"
"=""079860""",大立光凱基4B購04,0,0,0,"360,000","246,000","114,000","360,000","246,000","114,000"
"=""04509P""",聯電元大43售09  ,0,0,0,"363,000","250,000","113,000","363,000","250,000","113,000"
"=""066053""",直得元富51購01  ,0,0,0,"158,000","45,000","113,000","158,000","45,000","113,000"
"=""071741""",穎崴統一52購01  ,0,0,0,"113,000",0,"113,000","113,000",0,"113,000"
"=""074895""",中鋼凱基4B購02  ,0,0,0,"113,000",0,"113,000","113,000",0,"113,000"
"=""076446""",昇陽半台新49購01,0,0,0,"147,000","34,000","113,000","147,000","34,000","113,000"
"=""078113""",四維航元大4A購01,0,0,0,"216,000","103,000","113,000","216,000","103,000","113,000"
"=""078490""",台積電元大4A購43,0,0,0,"123,000","10,000","113,000","123,000","10,000","113,000"
"=""079609""",台積電群益54購11,0,0,0,"242,000","129,000","113,000","242,000","129,000","113,000"
"=""080570""",中興電國泰4C購01,0,0,0,"113,000",0,"113,000","113,000",0,"113,000"
"=""080838""",羅昇永豐4B購01  ,0,0,0,"310,000","197,000","113,000","310,000","197,000","113,000"
"=""081349""",萬海統一54購01  ,0,0,0,"133,000","20,000","113,000","133,000","20,000","113,000"
"=""082018""",昇陽半凱基4B購02,0,0,0,"133,000","20,000","113,000","133,000","20,000","113,000"
"=""082497""",萬海凱基4C購02  ,0,0,0,"238,000","125,000","113,000","238,000","125,000","113,000"
"=""064008""",上銀國泰48購01  ,0,0,0,"120,000","8,000","112,000","120,000","8,000","112,000"
"=""066382""",美債2X國票48購02,0,0,0,"114,000","2,000","112,000","114,000","2,000","112,000"
"=""071981""",日月光元富48購02,0,0,0,"312,000","200,000","112,000","312,000","200,000","112,000"
"=""079715""",南亞科群益4C購04,0,0,0,"124,000","12,000","112,000","124,000","12,000","112,000"
"=""081606""",雄獅凱基4B購02  ,0,0,0,"118,000","6,000","112,000","118,000","6,000","112,000"
"=""00636 """,國泰中國A50     ,0,0,0,"195,028","83,066","111,962","195,028","83,066","111,962"
"=""00910 """,第一金太空衛星  ,0,0,0,"113,000","1,410","111,590","113,000","1,410","111,590"
"=""060519""",漢唐凱基4C購02  ,0,0,0,"425,000","314,000","111,000","425,000","314,000","111,000"
"=""067745""",台塑富邦49購02  ,0,0,0,"111,000",0,"111,000","111,000",0,"111,000"
"=""072216""",亞翔凱基4B購01  ,0,0,0,"111,000",0,"111,000","111,000",0,"111,000"
"=""074619""",南亞科富邦4B購03,0,0,0,"111,000",0,"111,000","111,000",0,"111,000"
"=""076881""",世芯元大4C購02  ,0,0,0,"113,000","2,000","111,000","113,000","2,000","111,000"
"=""078343""",元石油中信4C購01,0,0,0,"111,000",0,"111,000","111,000",0,"111,000"
"=""080363""",聯詠元大4B購01  ,0,0,0,"346,000","235,000","111,000","346,000","235,000","111,000"
"=""080645""",台達電統一48購01,0,0,0,"111,000",0,"111,000","111,000",0,"111,000"
"=""081122""",大銀統一55購01  ,0,0,0,"111,000",0,"111,000","111,000",0,"111,000"
"=""081496""",祥碩統一55購01  ,0,0,0,"114,000","3,000","111,000","114,000","3,000","111,000"
"=""04549P""",臺股指元大45售18,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""04609P""",盟立國票46售02  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""048245""",中砂統一48購02  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""06056P""",神達凱基46售03  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""061100""",達發永豐47購01  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""068088""",台積電元富48購04,0,0,0,"121,000","11,000","110,000","121,000","11,000","110,000"
"=""070747""",華新群益4A購02  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""071584""",世芯凱基4A購07  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""071717""",台達電國泰49購01,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""074016""",中鋼元富49購02  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""074881""",威強電永豐4A購01,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""075477""",智原國票4A購04  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""076585""",鴻海永豐49購13  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""076966""",所羅門國票4C購01,0,0,0,"112,000","2,000","110,000","112,000","2,000","110,000"
"=""077334""",聯詠群益4A購02  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""07907P""",AES統一4C售01   ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""079319""",台積電元大4C購13,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""080352""",智原凱基4B購01  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""081190""",智原統一46購01  ,0,0,0,"110,000",0,"110,000","110,000",0,"110,000"
"=""05145P""",滬深2X元大47售04,0,0,0,"109,000",0,"109,000","109,000",0,"109,000"
"=""066736""",來億群益49購01  ,0,0,0,"153,000","44,000","109,000","153,000","44,000","109,000"
"=""07467P""",緯創國票4A售02  ,0,0,0,"129,000","20,000","109,000","129,000","20,000","109,000"
"=""077717""",漢翔國票4B購02  ,0,0,0,"109,000",0,"109,000","109,000",0,"109,000"
"=""080524""",世紀鋼永豐53購02,0,0,0,"124,000","15,000","109,000","124,000","15,000","109,000"
"=""080578""",SGBR2X元大51購01,0,0,0,"109,000",0,"109,000","109,000",0,"109,000"
"=""082158""",群創元大53購01  ,0,0,0,"113,000","4,000","109,000","113,000","4,000","109,000"
"=""082321""",嘉澤元大4B購09  ,0,0,0,"210,000","101,000","109,000","210,000","101,000","109,000"
"=""05642P""",友訊元富45售02  ,0,0,0,"266,000","158,000","108,000","266,000","158,000","108,000"
"=""060847""",亞力永豐46購01  ,0,0,0,"128,000","20,000","108,000","128,000","20,000","108,000"
"=""063682""",上銀富邦47購01  ,0,0,0,"358,000","250,000","108,000","358,000","250,000","108,000"
"=""066819""",長榮鋼凱基47購03,0,0,0,"108,000",0,"108,000","108,000",0,"108,000"
"=""067909""",聯發科元大47購20,0,0,0,"108,000",0,"108,000","108,000",0,"108,000"
"=""068577""",致茂群益4C購01  ,0,0,0,"167,000","59,000","108,000","167,000","59,000","108,000"
"=""07160P""",臺股指國票48售07,0,0,0,"108,000",0,"108,000","108,000",0,"108,000"
"=""075526""",富世達元富49購02,0,0,0,"112,000","4,000","108,000","112,000","4,000","108,000"
"=""079045""",健策凱基4B購01  ,0,0,0,"135,000","27,000","108,000","135,000","27,000","108,000"
"=""082796""",鴻海永豐46購01  ,0,0,0,"109,000","1,000","108,000","109,000","1,000","108,000"
"=""067274""",長榮國泰48購04  ,0,0,0,"172,000","65,000","107,000","172,000","65,000","107,000"
"=""069123""",華泰中信3C購01  ,0,0,0,"112,000","5,000","107,000","112,000","5,000","107,000"
"=""072155""",可成國泰49購01  ,0,0,0,"116,000","9,000","107,000","116,000","9,000","107,000"
"=""072183""",訊芯國票49購05  ,0,0,0,"129,000","22,000","107,000","129,000","22,000","107,000"
"=""073382""",欣興元大49購03  ,0,0,0,"263,000","156,000","107,000","263,000","156,000","107,000"
"=""078390""",大立光台新4A購01,0,0,0,"107,000",0,"107,000","107,000",0,"107,000"
"=""079007""",臺股指富邦51購06,0,0,0,"114,000","7,000","107,000","114,000","7,000","107,000"
"=""079681""",南亞科國泰51購01,0,0,0,"149,000","42,000","107,000","149,000","42,000","107,000"
2328  ,廣宇            ,"98,101","6,000","92,101","14,000",0,"14,000","112,101","6,000","106,101"
"=""05477P""",臺股指群益46售12,0,0,0,"112,000","6,000","106,000","112,000","6,000","106,000"
"=""054985""",雲豹元富4A購01  ,0,0,0,"131,000","25,000","106,000","131,000","25,000","106,000"
"=""073921""",洋基群益49購01  ,0,0,0,"161,000","55,000","106,000","161,000","55,000","106,000"
"=""076299""",智易凱基49購02  ,0,0,0,"366,000","260,000","106,000","366,000","260,000","106,000"
"=""078609""",華邦電群益4B購01,0,0,0,"166,000","60,000","106,000","166,000","60,000","106,000"
"=""079202""",矽力元大4A購03  ,0,0,0,"106,000",0,"106,000","106,000",0,"106,000"
"=""079423""",元黃金國泰51購01,0,0,0,"242,000","136,000","106,000","242,000","136,000","106,000"
"=""079598""",華新富邦4A購01  ,0,0,0,"129,000","23,000","106,000","129,000","23,000","106,000"
"=""062357""",臺股指元大48購13,0,0,0,"105,000",0,"105,000","105,000",0,"105,000"
"=""06651P""",宏�痐井H47售02  ,0,0,0,"105,000",0,"105,000","105,000",0,"105,000"
"=""067448""",力智國票48購01  ,0,0,0,"105,000",0,"105,000","105,000",0,"105,000"
"=""069217""",中502X元富48購02,0,0,0,"106,000","1,000","105,000","106,000","1,000","105,000"
"=""073575""",世芯群益49購09  ,0,0,0,"110,000","5,000","105,000","110,000","5,000","105,000"
"=""075626""",盟立群益49購02  ,0,0,0,"110,000","5,000","105,000","110,000","5,000","105,000"
"=""076245""",同欣電永豐49購01,0,0,0,"225,000","120,000","105,000","225,000","120,000","105,000"
"=""076470""",慧洋國票4A購02  ,0,0,0,"105,000",0,"105,000","105,000",0,"105,000"
"=""077640""",台積電群益4C購06,0,0,0,"105,000",0,"105,000","105,000",0,"105,000"
"=""077752""",台積電永豐55購01,0,0,0,"110,000","5,000","105,000","110,000","5,000","105,000"
"=""077960""",長榮富邦51購01  ,0,0,0,"105,000",0,"105,000","105,000",0,"105,000"
"=""07809P""",鴻海群益4B售03  ,0,0,0,"398,000","293,000","105,000","398,000","293,000","105,000"
"=""078730""",川湖群益54購01  ,0,0,0,"105,000",0,"105,000","105,000",0,"105,000"
"=""079205""",臺股指元大4A購48,0,0,0,"150,000","45,000","105,000","150,000","45,000","105,000"
"=""079369""",聯發科群益4A購09,0,0,0,"125,000","20,000","105,000","125,000","20,000","105,000"
"=""079631""",京鼎中信4A購01  ,0,0,0,"123,000","18,000","105,000","123,000","18,000","105,000"
"=""082408""",大同統一49購01  ,0,0,0,"149,000","44,000","105,000","149,000","44,000","105,000"
"=""03844P""",金融類元大43售02,0,0,0,"109,000","5,000","104,000","109,000","5,000","104,000"
"=""04405P""",臺股指凱基44售26,0,0,0,"104,000",0,"104,000","104,000",0,"104,000"
"=""073807""",南港元富49購01  ,0,0,0,"167,000","63,000","104,000","167,000","63,000","104,000"
"=""074396""",信邦國票4A購02  ,0,0,0,"104,000",0,"104,000","104,000",0,"104,000"
"=""078677""",香港2X元大4B購01,0,0,0,"173,000","69,000","104,000","173,000","69,000","104,000"
"=""078770""",ITH國票4B購01   ,0,0,0,"105,000","1,000","104,000","105,000","1,000","104,000"
"=""078905""",國泰金凱基4A購01,0,0,0,"104,000",0,"104,000","104,000",0,"104,000"
"=""080576""",SGBR2X元大4B購03,0,0,0,"111,000","7,000","104,000","111,000","7,000","104,000"
"=""081226""",FB臺反元大4C購01,0,0,0,"104,000",0,"104,000","104,000",0,"104,000"
"=""081792""",億光國票4B購01  ,0,0,0,"111,000","7,000","104,000","111,000","7,000","104,000"
"=""081970""",大銀中信4B購01  ,0,0,0,"192,000","88,000","104,000","192,000","88,000","104,000"
"=""082010""",佳能凱基4B購02  ,0,0,0,"104,000",0,"104,000","104,000",0,"104,000"
2441  ,超豐            ,"10,000","2,964","7,036","96,000",0,"96,000","106,000","2,964","103,036"
"=""064695""",神達元大46購17  ,0,0,0,"211,000","108,000","103,000","211,000","108,000","103,000"
"=""066994""",鴻海凱基47購20  ,0,0,0,"105,000","2,000","103,000","105,000","2,000","103,000"
