證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00940 """,元大台灣價值高息,"170,000",0,"170,000","49,851,958","2,441,000","47,410,958","50,021,958","2,441,000","47,580,958",
"=""0056  """,元大高股息      ,"400,000",0,"400,000","32,267,401","158,165","32,109,236","32,667,401","158,165","32,509,236",
"=""00680L""",元大美債20正2   ,"787,000",0,"787,000","16,605,000","4,343,181","12,261,819","17,392,000","4,343,181","13,048,819",
"=""034541""",台光電富邦56購02,0,0,0,"9,224,000","515,000","8,709,000","9,224,000","515,000","8,709,000",
2344  ,華邦電          ,"6,255,613","954,000","5,301,613","3,307,190","345,024","2,962,166","9,562,803","1,299,024","8,263,779",
"=""00929 """,復華台灣科技優息,"60,000","50,000","10,000","8,216,369","1,116,643","7,099,726","8,276,369","1,166,643","7,109,726",
"=""088434""",世芯第一57購05  ,0,0,0,"6,479,000","20,000","6,459,000","6,479,000","20,000","6,459,000",
"=""00939 """,統一台灣高息動能,0,0,0,"7,781,691","1,519,000","6,262,691","7,781,691","1,519,000","6,262,691",
"=""032473""",創意元大53購03  ,0,0,0,"6,380,000","243,000","6,137,000","6,380,000","243,000","6,137,000",
"=""00918 """,大華優利高填息30,0,0,0,"6,390,079","650,000","5,740,079","6,390,079","650,000","5,740,079",
"=""00713 """,元大台灣高息低波,0,0,0,"5,842,064","116,000","5,726,064","5,842,064","116,000","5,726,064",
"=""037586""",創意元大54購17  ,0,0,0,"6,714,000","1,162,000","5,552,000","6,714,000","1,162,000","5,552,000",
"=""031196""",鴻海國票53購05  ,0,0,0,"4,721,000","36,000","4,685,000","4,721,000","36,000","4,685,000",
"=""00946 """,群益科技高息成長,0,0,0,"5,997,195","1,473,105","4,524,090","5,997,195","1,473,105","4,524,090",
"=""00922 """,國泰台灣領袖50  ,"10,000","4,210,000","-4,200,000","12,487,980","3,992,498","8,495,482","12,497,980","8,202,498","4,295,482",
"=""00891 """,中信關鍵半導體  ,0,0,0,"5,864,068","1,708,769","4,155,299","5,864,068","1,708,769","4,155,299",
"=""00927 """,群益半導體收益  ,0,0,0,"5,011,239","946,180","4,065,059","5,011,239","946,180","4,065,059",
