證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00715L""",期街口布蘭特正2 ,0,0,0,"73,028,540","7,466,946","65,561,594","73,028,540","7,466,946","65,561,594",
"=""00940 """,元大台灣價值高息,0,0,0,"23,175,000","1,325,651","21,849,349","23,175,000","1,325,651","21,849,349",
"=""00919 """,群益台灣精選高息,"750,000",0,"750,000","17,325,520","952,285","16,373,235","18,075,520","952,285","17,123,235",
"=""00929 """,復華台灣科技優息,0,0,0,"20,010,781","4,396,820","15,613,961","20,010,781","4,396,820","15,613,961",
"=""0056  """,元大高股息      ,"40,000","440,000","-400,000","12,387,000","1,122,890","11,264,110","12,427,000","1,562,890","10,864,110",
"=""00646 """,元大S&P500      ,0,0,0,"7,959,000","134,633","7,824,367","7,959,000","134,633","7,824,367",
"=""00882 """,中信中國高股息  ,0,0,0,"7,954,280","794,873","7,159,407","7,954,280","794,873","7,159,407",
"=""00713 """,元大台灣高息低波,"220,000",0,"220,000","6,576,655","49,000","6,527,655","6,796,655","49,000","6,747,655",
"=""00632R""",元大台灣50反1   ,"549,000","2,505,000","-1,956,000","11,010,180","2,751,318","8,258,862","11,559,180","5,256,318","6,302,862",
"=""00642U""",期元大S&P石油   ,0,0,0,"6,287,677","125,000","6,162,677","6,287,677","125,000","6,162,677",
"=""00664R""",國泰臺灣加權反1 ,0,0,0,"7,519,000","2,492,000","5,027,000","7,519,000","2,492,000","5,027,000",
"=""060470""",鴻海中信4C購01  ,0,0,0,"4,751,000","20,000","4,731,000","4,751,000","20,000","4,731,000",
"=""040535""",康舒元富54購04  ,0,0,0,"4,709,000","98,000","4,611,000","4,709,000","98,000","4,611,000",
"=""039812""",康舒永豐55購02  ,0,0,0,"4,681,000","111,000","4,570,000","4,681,000","111,000","4,570,000",
"=""00939 """,統一台灣高息動能,0,0,0,"5,096,852","649,142","4,447,710","5,096,852","649,142","4,447,710",
