證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00940 """,元大台灣價值高息,0,0,0,"76,726,892","6,007,000","70,719,892","76,726,892","6,007,000","70,719,892",
"=""00929 """,復華台灣科技優息,0,0,0,"59,285,657","1,244,197","58,041,460","59,285,657","1,244,197","58,041,460",
"=""0056  """,元大高股息      ,"30,000",0,"30,000","49,745,336","214,080","49,531,256","49,775,336","214,080","49,561,256",
"=""00919 """,群益台灣精選高息,0,0,0,"37,768,142","1,175,000","36,593,142","37,768,142","1,175,000","36,593,142",
"=""00918 """,大華優利高填息30,0,0,0,"13,034,708","22,000","13,012,708","13,034,708","22,000","13,012,708",
"=""00878 """,國泰永續高股息  ,0,0,0,"13,215,614","1,102,000","12,113,614","13,215,614","1,102,000","12,113,614",
"=""00939 """,統一台灣高息動能,0,0,0,"11,395,898","398,000","10,997,898","11,395,898","398,000","10,997,898",
"=""03567U""",漢唐國票51售02  ,0,0,0,"8,982,000","8,000","8,974,000","8,982,000","8,000","8,974,000",
"=""0050  """,元大台灣50      ,"2,133,000","145,000","1,988,000","13,183,443","6,936,000","6,247,443","15,316,443","7,081,000","8,235,443",
"=""00646 """,元大S&P500      ,0,0,0,"7,669,000","180,401","7,488,599","7,669,000","180,401","7,488,599",
2317  ,鴻海            ,"1,891,000","308,150","1,582,850","4,574,269","918,464","3,655,805","6,465,269","1,226,614","5,238,655",
"=""088238""",欣興兆豐57購01  ,0,0,0,"5,181,000","126,000","5,055,000","5,181,000","126,000","5,055,000",
"=""00713 """,元大台灣高息低波,0,0,0,"5,001,799","90,000","4,911,799","5,001,799","90,000","4,911,799",
"=""051699""",臺股指富邦4C購01,0,0,0,"5,068,000","506,000","4,562,000","5,068,000","506,000","4,562,000",
"=""088434""",世芯第一57購05  ,0,0,0,"5,424,000","981,000","4,443,000","5,424,000","981,000","4,443,000",
"=""00946 """,群益科技高息成長,0,0,0,"5,342,856","956,542","4,386,314","5,342,856","956,542","4,386,314",
"=""00985B""",群益ESG投等債0-5,0,0,0,"7,066,000","2,794,587","4,271,413","7,066,000","2,794,587","4,271,413",
