證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00680L""",元大美債20正2   ,0,0,0,"51,541,242","2,544,182","48,997,060","51,541,242","2,544,182","48,997,060",
"=""00673R""",期元大S&P原油反1,0,0,0,"39,402,998","2,455,000","36,947,998","39,402,998","2,455,000","36,947,998",
"=""00632R""",元大台灣50反1   ,"1,125,000","3,100,000","-1,975,000","40,336,667","9,295,153","31,041,514","41,461,667","12,395,153","29,066,514",
"=""00688L""",國泰20年美債正2 ,0,0,0,"25,399,017","2,056,000","23,343,017","25,399,017","2,056,000","23,343,017",
"=""00985B""",群益ESG投等債0-5,0,0,0,"21,042,222","2,627,012","18,415,210","21,042,222","2,627,012","18,415,210",
"=""00940 """,元大台灣價值高息,"30,000","30,000",0,"21,097,005","5,270,182","15,826,823","21,127,005","5,300,182","15,826,823",
"=""00706L""",期元大S&P日圓正2,0,0,0,"12,991,000","664,328","12,326,672","12,991,000","664,328","12,326,672",
"=""00929 """,復華台灣科技優息,"40,000","10,000","30,000","14,090,148","3,604,516","10,485,632","14,130,148","3,614,516","10,515,632",
"=""00664R""",國泰臺灣加權反1 ,0,0,0,"13,361,000","5,638,122","7,722,878","13,361,000","5,638,122","7,722,878",
"=""078507""",國企2X凱基4C購02,0,0,0,"6,767,000","112,000","6,655,000","6,767,000","112,000","6,655,000",
"=""00636 """,國泰中國A50     ,"411,000","366,000","45,000","7,437,278","1,726,412","5,710,866","7,848,278","2,092,412","5,755,866",
"=""045658""",元債2X元富58購01,0,0,0,"5,650,000","2,000","5,648,000","5,650,000","2,000","5,648,000",
"=""00713 """,元大台灣高息低波,0,0,0,"5,241,000","543,002","4,697,998","5,241,000","543,002","4,697,998",
"=""00885 """,富邦越南        ,"10,000","20,000","-10,000","5,731,416","1,353,000","4,378,416","5,741,416","1,373,000","4,368,416",
"=""05828U""",材料元富53售06  ,0,0,0,"4,457,000","102,000","4,355,000","4,457,000","102,000","4,355,000",
"=""00882 """,中信中國高股息  ,0,0,0,"7,325,035","3,147,512","4,177,523","7,325,035","3,147,512","4,177,523",
