Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""058161""",日月光群益47購02,0,0,0,"6,848,000","421,000","6,427,000","6,848,000","421,000","6,427,000"
"=""053961""",富邦金永豐45購01,0,0,0,"5,090,000","160,000","4,930,000","5,090,000","160,000","4,930,000"
"=""053194""",國企2X元富44購05,0,0,0,"4,473,000","3,000","4,470,000","4,473,000","3,000","4,470,000"
"=""058461""",振樺電台新45購01,0,0,0,"4,654,000","190,000","4,464,000","4,654,000","190,000","4,464,000"
"=""00673R""",期元大S&P原油反1,"408,000",0,"408,000","6,343,843","2,421,100","3,922,743","6,751,843","2,421,100","4,330,743"
"=""050682""",台塑元富43購02  ,0,0,0,"3,895,000","55,000","3,840,000","3,895,000","55,000","3,840,000"
2618  ,長榮航          ,"2,146,000","678,332","1,467,668","2,622,555","522,526","2,100,029","4,768,555","1,200,858","3,567,697"
"=""03793C""",臺股指元大22牛01,0,0,0,"4,243,000","703,000","3,540,000","4,243,000","703,000","3,540,000"
"=""066971""",緯創元大4B購02  ,0,0,0,"3,385,000","31,000","3,354,000","3,385,000","31,000","3,354,000"
"=""068239""",燿華國票48購01  ,0,0,0,"3,221,000","1,000","3,220,000","3,221,000","1,000","3,220,000"
"=""069813""",智原永豐4A購01  ,0,0,0,"4,066,000","1,026,000","3,040,000","4,066,000","1,026,000","3,040,000"
"=""069646""",志強凱基4A購01  ,0,0,0,"3,027,000","11,000","3,016,000","3,027,000","11,000","3,016,000"
2610  ,華航            ,"1,985,000","1,708,487","276,513","4,722,230","2,161,793","2,560,437","6,707,230","3,870,280","2,836,950"
"=""051509""",長華國票44購01  ,0,0,0,"2,798,000","5,000","2,793,000","2,798,000","5,000","2,793,000"
"=""046001""",中華國票43購01  ,0,0,0,"2,540,000",0,"2,540,000","2,540,000",0,"2,540,000"
2887  ,台新新光金      ,"344,000","83,423","260,577","2,868,000","644,000","2,224,000","3,212,000","727,423","2,484,577"
"=""065776""",百和元大47購02  ,0,0,0,"3,444,000","1,063,000","2,381,000","3,444,000","1,063,000","2,381,000"
"=""047964""",定穎控群益46購01,0,0,0,"2,366,000","100,000","2,266,000","2,366,000","100,000","2,266,000"
"=""069860""",緯穎群益48購13  ,0,0,0,"3,281,000","1,022,000","2,259,000","3,281,000","1,022,000","2,259,000"
"=""00671R""",富邦NASDAQ反1   ,"100,000",0,"100,000","4,178,000","2,045,000","2,133,000","4,278,000","2,045,000","2,233,000"
"=""04940P""",聯發科富邦46售02,0,0,0,"2,121,000","13,000","2,108,000","2,121,000","13,000","2,108,000"
"=""044354""",貿聯元大58購05  ,0,0,0,"2,188,000","167,000","2,021,000","2,188,000","167,000","2,021,000"
"=""044488""",緯創元富55購07  ,0,0,0,"1,996,000",0,"1,996,000","1,996,000",0,"1,996,000"
