Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""00715L""",期街口布蘭特正2 ,0,0,0,"19,133,098","2,187,000","16,946,098","19,133,098","2,187,000","16,946,098"
"=""074025""",欣興元富4C購01  ,0,0,0,"11,076,000","5,486,000","5,590,000","11,076,000","5,486,000","5,590,000"
"=""085611""",辛耘永豐53購01  ,0,0,0,"4,410,000","521,000","3,889,000","4,410,000","521,000","3,889,000"
"=""00664R""",國泰臺灣加權反1 ,0,0,0,"4,270,000","843,009","3,426,991","4,270,000","843,009","3,426,991"
"=""00642U""",期元大S&P石油   ,0,0,0,"4,150,000","1,285,000","2,865,000","4,150,000","1,285,000","2,865,000"
"=""078430""",長榮元大4A購11  ,0,0,0,"2,895,000","211,000","2,684,000","2,895,000","211,000","2,684,000"
"=""08792P""",金像電群益51售02,0,0,0,"2,251,000",0,"2,251,000","2,251,000",0,"2,251,000"
"=""083418""",嘉澤兆豐4C購02  ,0,0,0,"1,924,000",0,"1,924,000","1,924,000",0,"1,924,000"
"=""085855""",台灣50群益54購04,0,0,0,"1,997,000","96,000","1,901,000","1,997,000","96,000","1,901,000"
"=""086032""",世紀鋼國票51購02,0,0,0,"2,756,000","883,000","1,873,000","2,756,000","883,000","1,873,000"
"=""074124""",台泥元大51購03  ,0,0,0,"1,788,000",0,"1,788,000","1,788,000",0,"1,788,000"
"=""03536P""",臺股指群益44售06,0,0,0,"1,676,000",0,"1,676,000","1,676,000",0,"1,676,000"
2882  ,國泰金          ,"51,632","105,000","-53,368","1,927,238","239,000","1,688,238","1,978,870","344,000","1,634,870"
"=""088036""",大立光統一53購02,0,0,0,"1,559,000","43,000","1,516,000","1,559,000","43,000","1,516,000"
"=""080763""",緯穎元富54購02  ,0,0,0,"1,497,000",0,"1,497,000","1,497,000",0,"1,497,000"
"=""088983""",世芯中信51購04  ,0,0,0,"2,064,000","588,000","1,476,000","2,064,000","588,000","1,476,000"
"=""077651""",日月光群益4A購03,0,0,0,"1,470,000",0,"1,470,000","1,470,000",0,"1,470,000"
"=""085448""",台亞國票51購01  ,0,0,0,"1,952,000","525,000","1,427,000","1,952,000","525,000","1,427,000"
"=""04625P""",冠德元大43售08  ,0,0,0,"1,685,000","273,000","1,412,000","1,685,000","273,000","1,412,000"
"=""086410""",帝寶元富51購01  ,0,0,0,"1,387,000","60,000","1,327,000","1,387,000","60,000","1,327,000"
"=""086665""",奇鋐統一57購01  ,0,0,0,"1,300,000",0,"1,300,000","1,300,000",0,"1,300,000"
"=""04319P""",臺股指凱基43售81,0,0,0,"1,298,000","1,000","1,297,000","1,298,000","1,000","1,297,000"
"=""087863""",臺股指元大53購05,0,0,0,"1,255,000","55,000","1,200,000","1,255,000","55,000","1,200,000"
2610  ,華航            ,"749,000","222,000","527,000","1,072,211","401,354","670,857","1,821,211","623,354","1,197,857"
"=""081976""",雄獅國票4C購01  ,0,0,0,"1,201,000","30,000","1,171,000","1,201,000","30,000","1,171,000"
"=""082395""",華城元富51購02  ,0,0,0,"1,140,000",0,"1,140,000","1,140,000",0,"1,140,000"
"=""07749P""",臺股指群益49售31,0,0,0,"1,170,000","94,000","1,076,000","1,170,000","94,000","1,076,000"
"=""031655""",雄獅統一47購01  ,0,0,0,"1,475,000","407,000","1,068,000","1,475,000","407,000","1,068,000"
"=""03446P""",臺股指凱基41售37,0,0,0,"1,055,000",0,"1,055,000","1,055,000",0,"1,055,000"
"=""089656""",全新統一57購03  ,0,0,0,"1,127,000","77,000","1,050,000","1,127,000","77,000","1,050,000"
3481  ,群創            ,"258,000",0,"258,000","865,455","76,000","789,455","1,123,455","76,000","1,047,455"
"=""089658""",新日興統一57購04,0,0,0,"1,092,000","51,000","1,041,000","1,092,000","51,000","1,041,000"
"=""086618""",晟銘電群益52購03,0,0,0,"1,027,000",0,"1,027,000","1,027,000",0,"1,027,000"
"=""084252""",廣宇凱基4C購02  ,0,0,0,"998,000",0,"998,000","998,000",0,"998,000"
"=""030017""",南亞群益51購02  ,0,0,0,"1,095,000","101,000","994,000","1,095,000","101,000","994,000"
"=""08035P""",聯發科國泰4C售03,0,0,0,"975,000",0,"975,000","975,000",0,"975,000"
2353  ,宏��            ,"2,000","24,034","-22,034","1,033,000","44,000","989,000","1,035,000","68,034","966,966"
"=""07939P""",群創群益49售06  ,0,0,0,"1,001,000","35,000","966,000","1,001,000","35,000","966,000"
"=""087691""",保瑞統一61購01  ,0,0,0,"939,000",0,"939,000","939,000",0,"939,000"
"=""085558""",國泰金元大4C購05,0,0,0,"998,000","68,000","930,000","998,000","68,000","930,000"
"=""079237""",神達群益4B購01  ,0,0,0,"929,000",0,"929,000","929,000",0,"929,000"
"=""084936""",穎崴元大55購01  ,0,0,0,"1,126,000","200,000","926,000","1,126,000","200,000","926,000"
"=""00634R""",富邦上証反1     ,0,0,0,"1,401,000","476,087","924,913","1,401,000","476,087","924,913"
"=""07982P""",鴻海元大49售10  ,0,0,0,"947,000","30,000","917,000","947,000","30,000","917,000"
"=""086079""",鴻海元大52購07  ,0,0,0,"911,000","9,000","902,000","911,000","9,000","902,000"
"=""079951""",中砂凱基4B購02  ,0,0,0,"900,000",0,"900,000","900,000",0,"900,000"
"=""082828""",滬深2X元大53購04,0,0,0,"898,000",0,"898,000","898,000",0,"898,000"
"=""030645""",欣興元大54購08  ,0,0,0,"1,502,000","616,000","886,000","1,502,000","616,000","886,000"
"=""082169""",長榮元富4B購10  ,0,0,0,"873,000",0,"873,000","873,000",0,"873,000"
"=""07841P""",時碩元富4A售03  ,0,0,0,"874,000","4,000","870,000","874,000","4,000","870,000"
"=""05752P""",聚陽凱基47售01  ,0,0,0,"1,071,000","217,000","854,000","1,071,000","217,000","854,000"
"=""087446""",亞光群益57購01  ,0,0,0,"842,000","1,000","841,000","842,000","1,000","841,000"
2303  ,聯電            ,"376,000","219,000","157,000","826,806","162,226","664,580","1,202,806","381,226","821,580"
"=""05089P""",辛耘凱基44售05  ,0,0,0,"829,000","29,000","800,000","829,000","29,000","800,000"
"=""06708P""",鴻海凱基49售08  ,0,0,0,"798,000",0,"798,000","798,000",0,"798,000"
"=""05362P""",台灣50元富45售06,0,0,0,"1,210,000","422,000","788,000","1,210,000","422,000","788,000"
"=""079272""",晶睿元富54購01  ,0,0,0,"1,120,000","340,000","780,000","1,120,000","340,000","780,000"
"=""080069""",牧德元富4B購01  ,0,0,0,"853,000","86,000","767,000","853,000","86,000","767,000"
"=""032052""",億泰國票53購03  ,0,0,0,"886,000","123,000","763,000","886,000","123,000","763,000"
"=""032106""",台達電元大54購04,0,0,0,"952,000","192,000","760,000","952,000","192,000","760,000"
"=""085853""",力智國票52購01  ,0,0,0,"2,106,000","1,361,000","745,000","2,106,000","1,361,000","745,000"
"=""080885""",大成鋼元大4B購07,0,0,0,"926,000","184,000","742,000","926,000","184,000","742,000"
"=""08183P""",T50正2元富51售04,0,0,0,"944,000","215,000","729,000","944,000","215,000","729,000"
"=""086850""",宏全國票52購01  ,0,0,0,"837,000","119,000","718,000","837,000","119,000","718,000"
"=""031741""",台化元大52購08  ,0,0,0,"815,000","109,000","706,000","815,000","109,000","706,000"
"=""081716""",台虹中信4B購01  ,0,0,0,"779,000","75,000","704,000","779,000","75,000","704,000"
"=""087387""",健鼎元大51購03  ,0,0,0,"813,000","112,000","701,000","813,000","112,000","701,000"
"=""084866""",采鈺凱基4C購01  ,0,0,0,"697,000",0,"697,000","697,000",0,"697,000"
"=""087326""",台積電凱基52購06,0,0,0,"703,000","10,000","693,000","703,000","10,000","693,000"
"=""087784""",智邦國泰52購02  ,0,0,0,"682,000",0,"682,000","682,000",0,"682,000"
"=""08588P""",洋基國票4C售01  ,0,0,0,"669,000",0,"669,000","669,000",0,"669,000"
"=""06886P""",創意凱基47售05  ,0,0,0,"660,000",0,"660,000","660,000",0,"660,000"
"=""081888""",ITH元富4B購04   ,0,0,0,"654,000",0,"654,000","654,000",0,"654,000"
"=""080781""",精成科國票4C購01,0,0,0,"649,000",0,"649,000","649,000",0,"649,000"
2014  ,中鴻            ,"732,000","106,731","625,269","61,000","43,501","17,499","793,000","150,232","642,768"
"=""030024""",光寶科群益53購01,0,0,0,"737,000","109,000","628,000","737,000","109,000","628,000"
"=""084598""",順德元富51購01  ,0,0,0,"861,000","233,000","628,000","861,000","233,000","628,000"
"=""06832P""",國泰金中信47售01,0,0,0,"902,000","277,000","625,000","902,000","277,000","625,000"
"=""082097""",瀚宇博統一55購03,0,0,0,"1,061,000","440,000","621,000","1,061,000","440,000","621,000"
"=""06596P""",台灣50群益47售06,0,0,0,"776,000","158,000","618,000","776,000","158,000","618,000"
"=""086680""",勤誠統一54購02  ,0,0,0,"605,000",0,"605,000","605,000",0,"605,000"
"=""08885P""",金像電元大4B售03,0,0,0,"642,000","40,000","602,000","642,000","40,000","602,000"
"=""06900P""",威盛群益48售02  ,0,0,0,"600,000",0,"600,000","600,000",0,"600,000"
"=""086983""",台達電統一55購01,0,0,0,"600,000",0,"600,000","600,000",0,"600,000"
"=""079167""",貿聯凱基4A購04  ,0,0,0,"599,000",0,"599,000","599,000",0,"599,000"
5608  ,四維航          ,0,0,0,"610,000","13,000","597,000","610,000","13,000","597,000"
"=""073944""",碩天第一49購01  ,0,0,0,"601,000","13,000","588,000","601,000","13,000","588,000"
"=""085826""",瀚宇博統一45購02,0,0,0,"657,000","71,000","586,000","657,000","71,000","586,000"
"=""088947""",台虹群益51購01  ,0,0,0,"579,000",0,"579,000","579,000",0,"579,000"
"=""086315""",華擎元大51購02  ,0,0,0,"575,000",0,"575,000","575,000",0,"575,000"
"=""084794""",華城元富4C購01  ,0,0,0,"573,000",0,"573,000","573,000",0,"573,000"
"=""03137P""",聯發科凱基3C售21,0,0,0,"825,000","264,000","561,000","825,000","264,000","561,000"
"=""03216P""",晶豪科凱基43售03,0,0,0,"1,172,000","613,000","559,000","1,172,000","613,000","559,000"
"=""032144""",洋基元大53購02  ,0,0,0,"594,000","37,000","557,000","594,000","37,000","557,000"
"=""088091""",台新金國票53購01,0,0,0,"555,000",0,"555,000","555,000",0,"555,000"
"=""088842""",毅嘉國票51購02  ,0,0,0,"646,000","93,000","553,000","646,000","93,000","553,000"
"=""04572P""",光寶科國票44售02,0,0,0,"550,000",0,"550,000","550,000",0,"550,000"
"=""00915 """,凱基優選高股息30,0,0,0,"548,120","5,673","542,447","548,120","5,673","542,447"
"=""085619""",和碩統一45購02  ,0,0,0,"551,000","10,000","541,000","551,000","10,000","541,000"
"=""084818""",美債2X國票56購02,0,0,0,"540,000",0,"540,000","540,000",0,"540,000"
"=""03050X""",元展47          ,0,0,0,"534,000",0,"534,000","534,000",0,"534,000"
"=""03775P""",臺股指元大42售21,0,0,0,"700,000","172,000","528,000","700,000","172,000","528,000"
"=""00683L""",期元大美元指正2 ,0,0,0,"576,000","52,000","524,000","576,000","52,000","524,000"
"=""07217P""",力積電元大48售12,0,0,0,"674,000","150,000","524,000","674,000","150,000","524,000"
"=""030244""",台玻統一58購01  ,0,0,0,"519,000","1,000","518,000","519,000","1,000","518,000"
"=""085794""",上品永豐54購01  ,0,0,0,"538,000","20,000","518,000","538,000","20,000","518,000"
"=""086834""",偉詮電國票52購02,0,0,0,"549,000","40,000","509,000","549,000","40,000","509,000"
"=""08697P""",台積電元大4B售19,0,0,0,"553,000","44,000","509,000","553,000","44,000","509,000"
"=""087148""",智邦國票52購02  ,0,0,0,"505,000",0,"505,000","505,000",0,"505,000"
2498  ,宏達電          ,"180,000","41,000","139,000","629,228","264,000","365,228","809,228","305,000","504,228"
"=""089038""",廣宇凱基51購02  ,0,0,0,"502,000",0,"502,000","502,000",0,"502,000"
