Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""00929 """,復華台灣科技優息,"555,991","250,000","305,991","30,558,691","799,725","29,758,966","31,114,682","1,049,725","30,064,957"
"=""00665L""",富邦�琤肭磪囓�2 ,0,0,0,"24,976,864","8,650,530","16,326,334","24,976,864","8,650,530","16,326,334"
"=""00940 """,元大台灣價值高息,"10,000","10,000",0,"14,439,000","1,407,991","13,031,009","14,449,000","1,417,991","13,031,009"
"=""063195""",緯創群益46購07  ,0,0,0,"4,670,000","35,000","4,635,000","4,670,000","35,000","4,635,000"
"=""064126""",緯創群益46購08  ,0,0,0,"4,343,000","82,000","4,261,000","4,343,000","82,000","4,261,000"
"=""00946 """,群益科技高息成長,0,0,0,"4,331,106","72,813","4,258,293","4,331,106","72,813","4,258,293"
"=""00934 """,中信成長高股息  ,0,0,0,"4,456,767","622,000","3,834,767","4,456,767","622,000","3,834,767"
"=""059304""",統一群益45購01  ,0,0,0,"3,800,000","120,000","3,680,000","3,800,000","120,000","3,680,000"
"=""039758""",興勤群益54購01  ,0,0,0,"3,300,000",0,"3,300,000","3,300,000",0,"3,300,000"
"=""00753L""",中信中國50正2   ,0,0,0,"6,612,684","3,594,942","3,017,742","6,612,684","3,594,942","3,017,742"
"=""052841""",矽力元大44購02  ,0,0,0,"3,000,000",0,"3,000,000","3,000,000",0,"3,000,000"
"=""042717""",金寶元大59購01  ,0,0,0,"2,946,000",0,"2,946,000","2,946,000",0,"2,946,000"
"=""067010""",緯創凱基48購04  ,0,0,0,"2,933,000","159,000","2,774,000","2,933,000","159,000","2,774,000"
"=""060568""",台塑元大46購02  ,0,0,0,"3,006,000","487,000","2,519,000","3,006,000","487,000","2,519,000"
"=""061004""",緯創群益46購04  ,0,0,0,"2,425,000","60,000","2,365,000","2,425,000","60,000","2,365,000"
"=""059959""",川湖元大45購13  ,0,0,0,"2,718,000","400,000","2,318,000","2,718,000","400,000","2,318,000"
"=""043155""",智邦凱基55購05  ,0,0,0,"2,266,000",0,"2,266,000","2,266,000",0,"2,266,000"
"=""046016""",新唐國票43購01  ,0,0,0,"2,164,000",0,"2,164,000","2,164,000",0,"2,164,000"
"=""00939 """,統一台灣高息動能,0,"142,000","-142,000","4,768,612","2,536,071","2,232,541","4,768,612","2,678,071","2,090,541"
