Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""00715L""",期街口布蘭特正2 ,0,0,0,"51,930,384","10,570,360","41,360,024","51,930,384","10,570,360","41,360,024"
"=""00940 """,元大台灣價值高息,0,"120,000","-120,000","14,673,307","1,570,913","13,102,394","14,673,307","1,690,913","12,982,394"
"=""00637L""",元大滬深300正2  ,"15,000","20,000","-5,000","22,501,959","14,203,694","8,298,265","22,516,959","14,223,694","8,293,265"
"=""00929 """,復華台灣科技優息,"70,000","330,000","-260,000","8,284,243","3,034,337","5,249,906","8,354,243","3,364,337","4,989,906"
"=""065537""",裕民富邦49購01  ,0,0,0,"5,428,000","447,000","4,981,000","5,428,000","447,000","4,981,000"
"=""030439""",台積電統一54購01,0,0,0,"4,301,000","3,000","4,298,000","4,301,000","3,000","4,298,000"
"=""053678""",華城元大49購02  ,0,0,0,"4,127,000",0,"4,127,000","4,127,000",0,"4,127,000"
"=""00965 """,元大航太防衛科技,0,0,0,"7,795,000","3,722,192","4,072,808","7,795,000","3,722,192","4,072,808"
"=""0056  """,元大高股息      ,0,"19,000","-19,000","4,012,894","103,446","3,909,448","4,012,894","122,446","3,890,448"
"=""00939 """,統一台灣高息動能,0,0,0,"5,534,145","1,707,124","3,827,021","5,534,145","1,707,124","3,827,021"
"=""00642U""",期元大S&P石油   ,0,0,0,"4,511,519","839,478","3,672,041","4,511,519","839,478","3,672,041"
"=""00941 """,中信上游半導體  ,0,0,0,"4,197,000","543,345","3,653,655","4,197,000","543,345","3,653,655"
"=""00830 """,國泰費城半導體  ,0,0,0,"5,485,000","1,861,653","3,623,347","5,485,000","1,861,653","3,623,347"
"=""068875""",緯穎永豐48購07  ,0,0,0,"3,990,000","370,000","3,620,000","3,990,000","370,000","3,620,000"
"=""052084""",研揚永豐45購01  ,0,0,0,"3,387,000",0,"3,387,000","3,387,000",0,"3,387,000"
"=""00930 """,永豐ESG低碳高息 ,0,0,0,"3,703,549","374,000","3,329,549","3,703,549","374,000","3,329,549"
"=""009804""",聯邦台精彩50    ,0,0,0,"3,704,247","392,369","3,311,878","3,704,247","392,369","3,311,878"
"=""065276""",華新科永豐51購01,0,0,0,"2,979,000","50,000","2,929,000","2,979,000","50,000","2,929,000"
"=""060186""",日電貿元大46購01,0,0,0,"2,910,000",0,"2,910,000","2,910,000",0,"2,910,000"
"=""03673B""",臺股指元大54熊06,0,0,0,"2,909,000","24,000","2,885,000","2,909,000","24,000","2,885,000"
"=""065466""",華新科國票51購01,0,0,0,"2,769,000","164,000","2,605,000","2,769,000","164,000","2,605,000"
"=""05180P""",臺股指凱基49售09,0,0,0,"2,410,000",0,"2,410,000","2,410,000",0,"2,410,000"
"=""00662 """,富邦NASDAQ      ,0,0,0,"5,051,000","2,686,203","2,364,797","5,051,000","2,686,203","2,364,797"
"=""061237""",緯穎元大46購14  ,0,0,0,"2,296,000",0,"2,296,000","2,296,000",0,"2,296,000"
"=""00946 """,群益科技高息成長,0,0,0,"2,721,958","439,680","2,282,278","2,721,958","439,680","2,282,278"
"=""03664B""",臺股指元大48熊03,0,0,0,"2,274,000","25,000","2,249,000","2,274,000","25,000","2,249,000"
"=""056530""",台積電永豐47購10,0,0,0,"2,164,000","20,000","2,144,000","2,164,000","20,000","2,144,000"
"=""009802""",富邦旗艦50      ,0,0,0,"3,845,802","1,801,641","2,044,161","3,845,802","1,801,641","2,044,161"
"=""057999""",宏達電永豐46購02,0,0,0,"2,063,000","25,000","2,038,000","2,063,000","25,000","2,038,000"
"=""00669R""",國泰美國道瓊反1 ,0,0,0,"3,694,000","1,675,978","2,018,022","3,694,000","1,675,978","2,018,022"
"=""00893 """,國泰智能電動車  ,0,0,0,"2,263,027","247,085","2,015,942","2,263,027","247,085","2,015,942"
"=""078919""",SGBR2X元大4B購02,0,0,0,"2,104,000","107,000","1,997,000","2,104,000","107,000","1,997,000"
"=""061348""",緯穎凱基46購06  ,0,0,0,"1,996,000",0,"1,996,000","1,996,000",0,"1,996,000"
"=""056531""",台積電永豐47購11,0,0,0,"1,881,000",0,"1,881,000","1,881,000",0,"1,881,000"
"=""074495""",元黃金凱基53購01,0,0,0,"1,827,000",0,"1,827,000","1,827,000",0,"1,827,000"
"=""060788""",緯穎元大4C購01  ,0,0,0,"1,825,000","26,000","1,799,000","1,825,000","26,000","1,799,000"
"=""00918 """,大華優利高填息30,0,0,0,"2,501,342","706,584","1,794,758","2,501,342","706,584","1,794,758"
"=""032178""",緯穎群益4B購01  ,0,0,0,"2,555,000","767,000","1,788,000","2,555,000","767,000","1,788,000"
"=""065234""",華新科凱基4A購01,0,0,0,"1,791,000","12,000","1,779,000","1,791,000","12,000","1,779,000"
"=""00633L""",富邦上証正2     ,0,0,0,"4,104,985","2,376,045","1,728,940","4,104,985","2,376,045","1,728,940"
"=""03663B""",臺股指元大48熊02,0,0,0,"2,564,000","840,000","1,724,000","2,564,000","840,000","1,724,000"
"=""079332""",嘉澤元大4A購04  ,0,0,0,"1,728,000","4,000","1,724,000","1,728,000","4,000","1,724,000"
"=""009801""",中信美國創新科技,0,0,0,"5,564,000","3,872,970","1,691,030","5,564,000","3,872,970","1,691,030"
"=""00922 """,國泰台灣領袖50  ,0,0,0,"3,253,737","1,588,891","1,664,846","3,253,737","1,588,891","1,664,846"
"=""03966C""",臺股指凱基4C牛14,0,0,0,"1,689,000","35,000","1,654,000","1,689,000","35,000","1,654,000"
"=""065807""",京城國票48購01  ,0,0,0,"1,619,000",0,"1,619,000","1,619,000",0,"1,619,000"
"=""00936 """,台新永續高息中小,0,0,0,"2,021,092","440,006","1,581,086","2,021,092","440,006","1,581,086"
"=""05746P""",台積電元大46售12,0,0,0,"1,580,000",0,"1,580,000","1,580,000",0,"1,580,000"
"=""049710""",智邦元富47購01  ,0,0,0,"1,564,000",0,"1,564,000","1,564,000",0,"1,564,000"
"=""048834""",SGBR2X群益49購01,0,0,0,"1,520,000",0,"1,520,000","1,520,000",0,"1,520,000"
"=""00934 """,中信成長高股息  ,0,0,0,"1,924,448","410,575","1,513,873","1,924,448","410,575","1,513,873"
"=""00953B""",群益優選非投等債,0,0,0,"8,194,094","6,701,758","1,492,336","8,194,094","6,701,758","1,492,336"
"=""079374""",穎崴群益52購03  ,0,0,0,"1,510,000","21,000","1,489,000","1,510,000","21,000","1,489,000"
"=""041132""",長榮統一4B購01  ,0,0,0,"1,432,000","6,000","1,426,000","1,432,000","6,000","1,426,000"
"=""07767P""",臺股指元大4A售21,0,0,0,"1,423,000","11,000","1,412,000","1,423,000","11,000","1,412,000"
"=""055701""",祥碩富邦46購01  ,0,0,0,"1,901,000","554,000","1,347,000","1,901,000","554,000","1,347,000"
"=""00909 """,國泰數位支付服務,0,0,0,"1,575,556","240,405","1,335,151","1,575,556","240,405","1,335,151"
"=""05563P""",臺股指元大49售08,0,0,0,"1,398,000","96,000","1,302,000","1,398,000","96,000","1,302,000"
"=""00945B""",凱基美國非投等債,0,0,0,"11,160,000","9,858,010","1,301,990","11,160,000","9,858,010","1,301,990"
"=""006208""",富邦台50        ,"22,000","86,000","-64,000","2,303,075","1,007,574","1,295,501","2,325,075","1,093,574","1,231,501"
"=""054958""",世紀鋼永豐46購03,0,0,0,"1,219,000",0,"1,219,000","1,219,000",0,"1,219,000"
"=""00671R""",富邦NASDAQ反1   ,0,0,0,"1,609,000","403,100","1,205,900","1,609,000","403,100","1,205,900"
"=""00655L""",國泰中國A50正2  ,0,0,0,"2,423,301","1,226,067","1,197,234","2,423,301","1,226,067","1,197,234"
"=""044539""",矽力凱基55購04  ,0,0,0,"1,463,000","280,000","1,183,000","1,463,000","280,000","1,183,000"
"=""030151""",聯發科統一54購01,0,0,0,"1,347,000","201,000","1,146,000","1,347,000","201,000","1,146,000"
"=""068590""",精成科群益49購02,0,0,0,"1,747,000","622,000","1,125,000","1,747,000","622,000","1,125,000"
"=""045616""",聯發科元大55購18,0,0,0,"1,109,000","3,000","1,106,000","1,109,000","3,000","1,106,000"
"=""050643""",T50反1中信53購01,0,0,0,"1,697,000","594,000","1,103,000","1,697,000","594,000","1,103,000"
"=""06335P""",南亞中信46售03  ,0,0,0,"1,100,000",0,"1,100,000","1,100,000",0,"1,100,000"
"=""00915 """,凱基優選高股息30,0,0,0,"2,098,263","1,011,491","1,086,772","2,098,263","1,011,491","1,086,772"
"=""045545""",晟銘電群益55購04,0,0,0,"1,136,000","61,000","1,075,000","1,136,000","61,000","1,075,000"
"=""077315""",敬鵬群益4A購01  ,0,0,0,"1,080,000","6,000","1,074,000","1,080,000","6,000","1,074,000"
"=""069952""",京元電群益4A購02,0,0,0,"1,068,000",0,"1,068,000","1,068,000",0,"1,068,000"
"=""00895 """,富邦未來車      ,0,0,0,"1,360,350","322,533","1,037,817","1,360,350","322,533","1,037,817"
"=""069652""",臺指反元大48購04,0,0,0,"1,028,000",0,"1,028,000","1,028,000",0,"1,028,000"
2809  ,京城銀          ,0,"12,000","-12,000","1,020,000",0,"1,020,000","1,020,000","12,000","1,008,000"
"=""06600P""",直得國票48售02  ,0,0,0,"999,000",0,"999,000","999,000",0,"999,000"
"=""044140""",奇鋐元大55購10  ,0,0,0,"998,000",0,"998,000","998,000",0,"998,000"
"=""03665B""",臺股指元大4A熊02,0,0,0,"1,403,000","408,000","995,000","1,403,000","408,000","995,000"
"=""078336""",聯發科元大4A購09,0,0,0,"1,184,000","215,000","969,000","1,184,000","215,000","969,000"
"=""057385""",緯創統一4B購03  ,0,0,0,"998,000","30,000","968,000","998,000","30,000","968,000"
"=""079593""",光聖凱基4A購02  ,0,0,0,"1,139,000","172,000","967,000","1,139,000","172,000","967,000"
"=""079621""",穎崴群益53購01  ,0,0,0,"1,134,000","167,000","967,000","1,134,000","167,000","967,000"
"=""056318""",T50反1元富55購01,0,0,0,"1,008,000","43,000","965,000","1,008,000","43,000","965,000"
"=""056622""",宏達電國泰47購01,0,0,0,"1,118,000","157,000","961,000","1,118,000","157,000","961,000"
"=""05299P""",台灣50富邦4B售01,0,0,0,"955,000",0,"955,000","955,000",0,"955,000"
