排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2409,友達,"604,153,657","15,812",10.90,11.10,10.80,10.85,+,0.05,10.85,10.90,
2,2353,宏��,"369,745,670","12,656",28.30,28.45,27.50,27.50,-,0.45,27.50,27.60,
3,2344,華邦電,"233,767,269","92,626",53.00,55.50,52.30,54.60,+,2.4,54.50,54.60,
4,6770,力積電,"217,048,963","86,059",33.70,34.30,32.00,32.10,-,0.9,32.10,32.15,
5,3702,大聯大,"180,169,776","21,491",63.80,63.90,62.40,63.40,-,0.4,63.40,63.50,
6,2408,南亞科,"177,387,374","81,963",141.00,145.50,138.50,143.00,+,3.0,143.00,143.50,
7,"=""0050""",元大台灣50,"162,722,018","155,513",60.10,60.10,59.45,59.55,-,0.3,59.55,59.60,
8,2347,聯強,"129,980,411","9,083",60.00,60.70,59.40,60.70,+,1.0,60.70,60.80,
9,1504,東元,"124,181,065","19,056",93.80,94.00,91.00,92.90,+,0.9,92.90,93.00,
10,1802,台玻,"123,889,291","51,269",32.95,34.30,32.60,33.00,+,0.55,32.95,33.00,
11,2449,京元電子,"120,850,985","23,532",208.50,209.00,203.00,203.50,-,1.0,203.00,203.50,
12,2887,台新新光金,"106,235,419","10,168",18.40,18.65,18.35,18.50,+,0.15,18.50,18.55,
13,2884,玉山金,"104,633,717","18,147",30.25,30.80,30.25,30.80,+,0.75,30.75,30.80,
14,2337,旺宏,"104,125,192","38,623",35.35,35.40,33.30,33.85,-,0.65,33.80,33.85,
15,2303,聯電,"102,019,264","22,099",45.45,46.55,45.00,46.55,+,1.55,46.55,46.60,
16,2881,富邦金,"101,667,876","35,910",89.50,93.00,89.00,92.00,+,3.3,92.00,92.10,
17,2317,鴻海,"100,270,276","90,400",226.50,227.00,220.00,220.00,-,5.0,220.00,220.50,
18,2801,彰銀,"93,148,956","8,324",20.10,20.40,20.05,20.05,+,0.1,20.00,20.05,
19,1303,南亞,"89,940,447","38,502",53.80,54.80,52.60,54.80,+,2.3,54.70,54.80,
20,2330,台積電,"88,861,648","142,090","1,400.00","1,405.00","1,375.00","1,375.00",-,10.0,"1,375.00","1,380.00",
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
