排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,1314,中石化,"379,087,792","78,666",10.5,10.6,9.26,9.42,-,0.33,9.42,9.43,
2,2337,旺宏,"366,874,977","129,879",34.35,36.0,34.1,35.25,+,0.8,35.2,35.25,
3,2408,南亞科,"233,103,202","130,434",148.5,153.5,145.0,147.0,-,1.0,147.0,147.5,
4,8110,華東,"167,066,827","61,263",26.5,28.85,26.45,28.85,+,2.6,28.85,0.0,
5,6770,力積電,"121,062,501","53,290",30.8,31.35,30.2,30.55,-,0.7,30.5,30.55,
6,"=""0050""",元大台灣50,"111,187,957","136,880",62.65,62.75,62.4,62.55,-,0.75,62.55,62.6,
7,"=""00981A""",主動統一台股增長,"106,229,492","27,934",15.71,15.75,15.47,15.51,-,0.33,15.5,15.51,
8,"=""00982A""",主動群益台灣強棒,"96,708,136","27,577",14.45,14.45,14.23,14.24,-,0.28,14.23,14.24,
9,8021,尖點,"96,233,011","60,881",123.5,131.5,123.5,128.5,+,6.5,128.5,129.0,
10,2884,玉山金,"77,358,979","34,288",29.95,30.1,29.6,29.6,-,0.35,29.6,29.65,
11,"=""00878""",國泰永續高股息,"74,602,435","43,221",21.39,21.4,21.32,21.33,-,0.22,21.33,21.34,
12,1802,台玻,"74,514,009","32,785",29.9,30.2,28.6,28.85,-,1.35,28.85,28.9,
13,4989,榮科,"68,225,104","36,900",48.05,49.1,44.2,44.6,-,2.5,44.6,44.65,
14,1303,南亞,"61,106,691","25,952",41.6,43.15,41.2,42.55,+,0.9,42.55,42.6,
15,8112,至上,"58,229,850","54,344",74.3,74.4,70.4,72.2,-,2.4,72.1,72.2,
16,"=""0056""",元大高股息,"55,517,646","42,975",36.77,36.78,36.52,36.55,-,0.4,36.55,36.56,
17,"=""00988A""",主動統一全球創新,"53,918,702","12,700",10.0,10.01,9.96,9.97,-,0.13,9.97,9.98,
18,1605,華新,"53,623,633","20,708",30.1,30.25,29.3,29.65,-,0.8,29.6,29.65,
19,2313,華通,"52,824,341","37,709",86.8,89.8,82.6,82.7,-,0.7,82.7,82.8,
20,1718,中纖,"51,930,778","12,092",7.37,7.45,6.86,6.86,-,0.08,6.86,6.87,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
