排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2337,旺宏,"294,752,216","93,272",31.85,34.45,31.4,34.45,+,3.1,34.45,0.0,
2,2408,南亞科,"276,959,366","135,776",142.0,149.0,139.0,148.0,+,10.0,148.0,148.5,
3,6770,力積電,"209,909,996","75,300",30.65,31.5,30.15,31.25,+,1.3,31.2,31.25,
4,1802,台玻,"129,646,983","50,008",29.1,30.8,28.8,30.2,+,1.2,30.2,30.25,
5,1314,中石化,"117,991,661","21,075",9.37,9.75,9.36,9.75,+,0.88,9.75,0.0,
6,8112,至上,"90,255,249","60,921",69.1,75.2,68.1,74.6,+,6.2,74.6,74.7,
7,"=""00981A""",主動統一台股增長,"83,169,275","13,908",15.74,15.88,15.67,15.84,+,0.32,15.83,15.84,
8,8110,華東,"82,052,356","26,911",24.45,26.25,24.2,26.25,+,2.35,26.25,0.0,
9,2884,玉山金,"80,792,243","30,674",30.7,30.7,29.95,29.95,X,0.0,29.95,30.0,
10,2867,三商壽,"76,900,219","10,631",7.29,7.29,7.1,7.21,X,0.0,7.21,7.22,
11,"=""00988A""",主動統一全球創新,"71,159,486","12,076",10.12,10.14,10.07,10.1,-,0.09,10.09,10.1,
12,1605,華新,"69,867,764","28,308",29.4,30.5,29.15,30.45,+,1.35,30.4,30.45,
13,"=""0050""",元大台灣50,"68,680,372","57,358",63.35,63.5,63.15,63.3,+,0.15,63.3,63.35,
14,2317,鴻海,"65,794,425","54,035",249.5,250.5,246.0,248.0,+,1.0,248.0,248.5,
15,"=""00982A""",主動群益台灣強棒,"64,652,995","12,856",14.58,14.59,14.45,14.52,+,0.12,14.52,14.53,
16,2303,聯電,"60,793,117","73,795",47.75,47.75,45.8,45.8,-,1.3,45.8,45.85,
17,6191,精成科,"57,158,257","40,047",122.5,130.5,122.0,129.0,+,10.0,129.0,129.5,
18,"=""00919""",群益台灣精選高息,"54,887,680","16,222",21.54,21.59,21.44,21.58,+,0.17,21.57,21.58,
19,2409,友達,"50,916,261","8,548",11.85,12.0,11.75,11.85,+,0.05,11.85,11.9,
20,"=""0056""",元大高股息,"48,010,495","27,881",36.97,37.06,36.8,36.95,+,0.17,36.95,36.96,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
