排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,"=""00637L""",元大滬深300正2,"161,795,110","19,185",15.58,15.62,15.08,15.20,-,0.42,15.20,15.22,
2,"=""00929""",復華台灣科技優息,"154,595,845","28,803",18.16,18.29,18.13,18.25,+,0.24,18.25,18.26,
3,9105,泰金寶-DR,"150,848,744","29,973",9.95,9.98,9.50,9.50,-,0.32,9.50,9.51,
4,"=""00940""",元大台灣價值高息,"92,222,943","17,738",9.45,9.50,9.45,9.47,+,0.06,9.46,9.47,
5,6215,和椿,"82,395,308","47,863",106.50,112.50,101.50,105.00,+,2.0,104.50,105.00,
6,2330,台積電,"77,874,801","130,021","1,100.00","1,125.00","1,095.00","1,125.00",+,50.0,"1,120.00","1,125.00",
7,6191,精成科,"77,422,351","41,578",70.50,72.40,68.90,70.50,+,1.0,70.40,70.50,
8,2317,鴻海,"67,829,021","48,289",185.00,187.50,183.50,184.50,+,3.5,184.00,184.50,
9,2883,凱基金,"64,363,895","9,657",17.35,17.60,17.25,17.45,+,0.15,17.40,17.45,
10,"=""00878""",國泰永續高股息,"61,979,728","27,560",22.23,22.47,22.23,22.42,+,0.29,22.41,22.42,
11,"=""0056""",元大高股息,"58,190,990","29,361",37.05,37.30,36.99,37.22,+,0.44,37.22,37.23,
12,"=""00673R""",期元大S&P原油反1,"57,280,608","3,458",7.02,7.05,6.98,7.05,-,0.05,7.04,7.05,
13,2354,鴻準,"57,026,440","31,007",79.60,80.10,77.10,77.70,+,2.0,77.60,77.70,
14,2888,新光金,"55,909,764","5,672",11.90,11.95,11.85,11.95,+,0.05,11.90,11.95,
15,2618,長榮航,"49,232,014","18,314",47.15,47.60,46.60,47.30,+,0.3,47.30,47.35,
16,3694,海華,"49,175,466","23,879",62.50,64.40,56.30,57.10,-,5.4,57.10,57.20,
17,"=""00919""",群益台灣精選高息,"47,655,073","19,582",23.41,23.56,23.40,23.50,+,0.16,23.50,23.51,
18,2887,台新新光金,"46,042,492","9,378",17.60,17.75,17.55,17.75,+,0.2,17.70,17.75,
19,"=""00680L""",元大美債20正2,"45,198,511","3,995",7.40,7.41,7.37,7.40,-,0.14,7.39,7.40,
20,3481,群創,"43,148,938","9,004",14.10,14.20,13.95,14.10,+,0.15,14.10,14.15,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
