排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"519,343,046","220,837",35.5,38.45,34.95,35.35,-,0.55,35.35,35.4,
2,2344,華邦電,"262,846,110","120,158",59.5,61.4,58.1,59.4,-,2.0,59.3,59.4,
3,2408,南亞科,"153,622,899","89,924",156.5,162.5,154.0,160.0,-,0.5,159.5,160.0,
4,"=""0050""",元大台灣50,"151,383,859","198,226",60.15,60.5,59.9,60.05,-,0.4,60.05,60.1,
5,1303,南亞,"141,242,686","98,729",56.6,56.8,53.3,53.8,-,3.5,53.8,53.9,
6,"=""0056""",元大高股息,"115,664,163","95,656",34.97,35.08,34.66,34.74,-,0.26,34.74,34.75,
7,2337,旺宏,"99,770,644","60,749",37.05,38.0,36.2,36.4,-,1.25,36.4,36.45,
8,"=""00715L""",期街口布蘭特正2,"97,730,311","6,442",10.7,10.77,10.66,10.72,+,0.27,10.72,10.73,
9,"=""00919""",群益台灣精選高息,"80,386,798","38,274",21.23,21.33,21.14,21.16,-,0.08,21.16,21.17,
10,"=""00878""",國泰永續高股息,"79,296,371","47,576",20.36,20.45,20.23,20.26,-,0.09,20.26,20.27,
11,2881,富邦金,"74,528,045","81,594",89.6,90.7,88.1,88.1,-,1.4,88.1,88.2,
12,1605,華新,"74,242,790","33,484",30.1,30.2,28.95,29.05,-,1.3,29.0,29.05,
13,"=""00632R""",元大台灣50反1,"71,800,501","9,936",17.83,17.98,17.73,17.89,+,0.11,17.89,17.9,
14,"=""00981A""",主動統一台股增長,"71,601,225","19,307",14.99,15.19,14.93,15.0,-,0.03,14.99,15.0,
15,2317,鴻海,"70,909,837","72,522",226.5,230.0,226.5,229.0,-,1.0,229.0,229.5,
16,1802,台玻,"60,775,149","26,117",30.9,31.5,30.2,31.15,+,0.35,31.1,31.15,
17,8150,南茂,"55,554,020","32,408",46.1,48.35,45.45,46.9,+,0.4,46.85,46.9,
18,2885,元大金,"53,399,189","28,644",35.5,35.85,34.55,34.9,-,0.3,34.85,34.9,
19,2887,台新新光金,"52,405,609","12,485",18.5,18.5,18.35,18.4,-,0.1,18.35,18.4,
20,2327,國巨*,"50,036,577","71,564",233.0,237.0,223.0,225.0,-,4.0,225.0,225.5,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
