排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2337,旺宏,"412,967,018","143,457",38.0,39.7,36.9,38.5,+,2.05,38.5,38.55,
2,6770,力積電,"388,352,347","133,763",32.0,33.4,30.55,32.25,+,0.3,32.25,32.3,
3,2408,南亞科,"194,530,568","105,822",132.0,136.5,125.5,133.0,+,3.0,133.0,133.5,
4,6282,康舒,"144,160,995","84,619",49.0,50.3,46.0,46.85,+,0.2,46.8,46.85,
5,2884,玉山金,"137,942,848","37,200",30.05,30.3,29.95,30.2,+,0.2,30.15,30.2,
6,2317,鴻海,"125,297,120","134,759",254.0,263.0,253.0,260.0,+,10.0,260.0,260.5,
7,2515,中工,"114,952,666","25,702",14.1,14.75,13.5,14.75,+,1.3,14.75,0.0,
8,"=""00940""",元大台灣價值高息,"109,431,442","12,004",9.65,9.7,9.64,9.68,+,0.07,9.67,9.68,
9,3706,神達,"99,399,235","66,308",93.8,97.2,93.6,95.2,+,2.4,95.2,95.3,
10,2324,仁寶,"92,805,912","40,793",35.25,36.15,34.45,34.55,+,0.05,34.55,34.6,
11,2312,金寶,"92,566,451","34,670",23.5,25.15,23.4,23.65,+,0.6,23.65,23.7,
12,"=""0056""",元大高股息,"91,187,427","24,364",37.33,37.59,37.33,37.47,+,0.34,37.47,37.48,
13,"=""00919""",群益台灣精選高息,"88,550,305","21,709",21.53,21.62,21.51,21.55,+,0.07,21.54,21.55,
14,2327,國巨*,"85,182,212","91,254",254.0,262.0,243.0,247.5,+,1.5,247.0,247.5,
15,"=""00929""",復華台灣科技優息,"78,438,928","14,320",19.07,19.18,18.98,19.01,+,0.06,19.01,19.02,
16,"=""00981A""",主動統一台股增長,"72,544,737","13,954",15.34,15.4,15.22,15.32,+,0.21,15.32,15.33,
17,2344,華邦電,"70,726,750","37,877",54.4,54.5,51.9,54.0,,0.0,54.0,54.1,
18,3231,緯創,"68,151,885","42,042",149.0,153.0,148.0,152.5,+,4.5,152.5,153.0,
19,8021,尖點,"68,083,196","43,635",121.5,128.0,113.0,114.0,-,8.0,114.0,114.5,
20,"=""0050""",元大台灣50,"67,414,369","50,482",63.7,64.45,63.7,64.4,+,1.05,64.35,64.4,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
