排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2344,華邦電,"309,479,559","131,307",41.45,41.65,39.3,40.0,-,0.7,39.95,40.0,
2,2887,台新新光金,"203,202,123","37,505",19.15,19.9,18.95,19.8,+,0.8,19.75,19.8,
3,2408,南亞科,"184,866,513","111,623",91.1,91.5,85.0,86.3,-,2.8,86.3,86.4,
4,"=""00715L""",期街口布蘭特正2,"154,557,240","21,675",9.94,9.96,9.82,9.89,-,0.35,9.88,9.89,
5,6282,康舒,"152,041,505","62,999",36.8,37.85,35.0,35.45,-,0.65,35.45,35.5,
6,6770,力積電,"138,777,196","52,512",28.35,28.45,27.4,27.8,+,0.5,27.8,27.85,
7,3481,群創,"124,170,252","16,323",14.7,14.7,14.35,14.6,-,0.1,14.6,14.65,
8,"=""0050""",元大台灣50,"101,918,261","69,593",61.0,61.8,60.6,61.8,+,1.1,61.8,61.85,
9,2883,凱基金,"84,215,050","15,671",15.5,15.8,15.4,15.8,+,0.5,15.75,15.8,
10,1605,華新,"81,684,172","31,477",27.8,28.15,26.9,27.15,-,0.75,27.15,27.2,
11,2481,強茂,"77,407,285","63,251",78.8,84.8,77.4,84.8,+,7.7,84.8,0.0,
12,2609,陽明,"76,255,609","42,829",55.7,55.7,53.1,53.2,-,3.5,53.2,53.3,
13,"=""00919""",群益台灣精選高息,"74,530,444","38,109",21.26,21.26,21.15,21.21,-,0.04,21.2,21.21,
14,"=""0056""",元大高股息,"66,981,678","39,784",36.65,36.68,36.48,36.67,+,0.08,36.67,36.68,
15,2317,鴻海,"65,964,764","56,585",207.5,208.0,203.0,206.5,+,0.5,206.0,206.5,
16,2605,新興,"59,966,343","24,495",24.5,26.25,23.9,25.5,+,0.7,25.45,25.5,
17,"=""00981A""",主動統一台股增長,"59,155,930","8,966",13.84,14.13,13.74,14.12,+,0.38,14.12,14.13,
18,4967,十銓,"56,217,144","37,095",121.5,133.0,118.5,125.5,+,4.5,125.0,125.5,
19,"=""00632R""",元大台灣50反1,"55,883,219","8,641",17.8,17.91,17.59,17.59,-,0.28,17.59,17.6,
20,2409,友達,"54,817,998","10,142",13.25,13.3,13.0,13.15,-,0.05,13.15,13.2,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
