排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,1303,南亞,"252,999,258","120,252",57.8,60.9,57.2,59.0,+,2.8,59.0,59.1,
2,1802,台玻,"249,526,607","91,542",33.35,36.3,33.2,35.75,+,2.65,35.75,35.8,
3,6770,力積電,"208,217,839","79,891",33.3,34.9,32.8,34.1,+,0.95,34.1,34.15,
4,2344,華邦電,"184,303,003","96,018",57.3,59.5,55.8,58.0,+,1.1,57.9,58.0,
5,2887,台新新光金,"129,770,386","26,177",18.4,18.4,18.0,18.05,-,0.6,18.05,18.1,
6,"=""00981A""",主動統一台股增長,"121,443,671","22,808",16.07,16.27,15.99,16.23,+,0.28,16.22,16.23,
7,2408,南亞科,"109,499,388","56,449",146.0,149.5,142.5,146.0,,0.0,146.0,146.5,
8,"=""00715L""",期街口布蘭特正2,"94,746,875","6,697",10.2,10.38,10.2,10.36,+,0.25,10.36,10.37,
9,8110,華東,"91,692,903","48,858",35.2,37.95,34.2,36.95,+,1.15,36.95,37.0,
10,8039,台虹,"81,725,800","48,669",73.0,78.6,69.2,78.6,+,7.1,78.6,0.0,
11,3481,群創,"75,093,899","14,510",13.6,13.95,13.5,13.55,,0.0,13.55,13.6,
12,"=""00632R""",元大台灣50反1,"73,072,091","9,815",17.25,17.27,17.1,17.12,-,0.15,17.12,17.13,
13,2337,旺宏,"71,151,109","30,467",33.8,35.35,33.25,34.1,+,0.4,34.1,34.15,
14,"=""0050""",元大台灣50,"68,386,478","37,281",61.95,62.4,61.85,62.35,+,0.45,62.3,62.35,
15,2485,兆赫,"63,631,792","22,498",21.6,23.65,20.9,23.65,+,2.15,23.65,0.0,
16,"=""0052""",富邦科技,"58,627,470","28,012",35.75,36.08,35.71,36.01,+,0.33,36.01,36.02,
17,2317,鴻海,"56,939,840","59,159",229.5,229.5,225.0,225.5,-,5.5,225.5,226.0,
18,1101,台泥,"52,859,340","15,375",22.5,23.0,22.35,22.85,+,0.75,22.8,22.85,
19,"=""00637L""",元大滬深300正2,"48,813,294","3,936",19.85,19.89,19.58,19.76,-,0.21,19.76,19.77,
20,5469,瀚宇博,"45,222,182","29,262",107.0,112.5,101.5,108.0,+,1.5,107.5,108.0,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
