排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2344,華邦電,"546,683,937","194,682",42.9,44.35,41.7,43.45,+,2.2,43.45,43.5,
2,1605,華新,"353,655,762","102,660",31.1,32.85,30.5,32.3,+,2.4,32.3,32.35,
3,6770,力積電,"329,804,510","119,020",31.5,32.0,30.2,30.3,-,0.7,30.3,30.35,
4,2408,南亞科,"219,259,632","128,102",96.7,99.8,92.0,98.5,+,7.7,98.5,98.6,
5,1802,台玻,"156,130,249","69,628",32.05,32.65,31.15,31.75,+,0.1,31.75,31.8,
6,3706,神達,"148,714,761","86,845",95.8,96.8,93.7,95.5,+,4.1,95.4,95.5,
7,3481,群創,"127,333,765","26,747",15.45,15.8,15.3,15.5,+,0.25,15.5,15.55,
8,"=""00919""",群益台灣精選高息,"100,395,256","25,467",21.31,21.43,21.31,21.4,+,0.13,21.39,21.4,
9,2337,旺宏,"94,729,338","28,447",27.2,27.6,26.45,27.5,+,0.65,27.45,27.5,
10,1303,南亞,"94,516,865","51,258",42.5,43.6,41.75,42.6,+,0.8,42.6,42.65,
11,2887,台新新光金,"92,226,442","16,930",18.5,18.8,18.5,18.8,+,0.35,18.75,18.8,
12,2313,華通,"84,265,100","52,417",85.0,88.5,84.1,87.0,+,3.0,86.9,87.0,
13,8110,華東,"81,314,123","34,783",24.6,25.6,23.75,24.0,+,0.7,23.95,24.0,
14,"=""0050""",元大台灣50,"76,478,634","62,822",61.85,61.95,61.5,61.6,+,0.45,61.55,61.6,
15,2303,聯電,"72,308,338","31,729",45.6,46.3,45.5,45.65,+,0.7,45.65,45.7,
16,8070,長華*,"69,402,005","34,861",48.6,51.7,47.35,48.2,+,0.05,48.15,48.2,
17,8046,南電,"69,016,801","60,673",267.5,283.0,262.5,265.0,+,4.5,265.0,265.5,
18,3715,定穎投控,"67,490,948","43,025",103.0,107.0,98.7,105.0,+,4.0,104.5,105.0,
19,2329,華泰,"66,247,374","24,031",48.6,52.4,48.6,52.4,+,4.7,52.4,0.0,
20,3231,緯創,"66,170,353","40,842",153.5,154.0,147.5,151.0,+,0.5,151.0,151.5,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
