排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,"=""00680L""",元大美債20正2,"102,152,026","8,173",7.21,7.21,7.16,7.17,-,0.22,7.17,7.18,
2,"=""00637L""",元大滬深300正2,"98,676,974","10,796",15.29,15.44,15.02,15.10,-,0.09,15.10,15.11,
3,9105,泰金寶-DR,"71,084,214","14,113",9.85,9.85,9.51,9.51,-,0.18,9.51,9.52,
4,6558,興能高,"65,687,376","39,080",42.55,46.90,41.70,45.20,+,2.25,45.15,45.20,
5,"=""00929""",復華台灣科技優息,"63,565,743","12,279",18.42,18.48,18.39,18.42,-,0.03,18.41,18.42,
6,2330,台積電,"49,181,518","71,736","1,110.00","1,130.00","1,105.00","1,105.00",-,25.0,"1,105.00","1,110.00",
7,"=""00688L""",國泰20年美債正2,"47,197,577","4,093",7.15,7.16,7.11,7.12,-,0.22,7.12,7.13,
8,"=""00940""",元大台灣價值高息,"44,030,008","7,718",9.48,9.51,9.48,9.49,-,0.01,9.49,9.50,
9,"=""00953B""",群益優選非投等債,"43,446,246","2,956",10.25,10.30,10.24,10.29,X,0.0,10.28,10.29,
10,"=""00673R""",期元大S&P原油反1,"42,169,778","3,109",6.95,6.95,6.92,6.94,-,0.11,6.93,6.94,
11,2317,鴻海,"41,798,818","68,591",190.00,190.00,187.00,188.00,-,2.0,188.00,188.50,
12,3450,聯鈞,"40,270,859","34,020",284.50,316.00,284.50,312.50,+,22.5,312.50,313.00,
13,2887,台新新光金,"39,507,107","8,706",17.70,17.85,17.65,17.65,,0.0,17.65,17.70,
14,3645,達邁,"39,291,957","23,547",58.90,64.60,58.10,64.60,+,5.8,64.60,0.00,
15,3013,晟銘電,"38,485,450","30,862",157.00,161.50,155.00,158.00,+,1.5,158.00,158.50,
16,2303,聯電,"38,044,876","12,770",42.40,42.90,42.35,42.70,+,0.35,42.65,42.70,
17,2888,新光金,"36,660,421","4,589",12.00,12.00,11.90,12.00,,0.0,11.95,12.00,
18,2618,長榮航,"36,522,379","16,253",47.10,47.65,46.85,47.20,+,0.3,47.15,47.20,
19,2498,宏達電,"36,482,424","20,302",46.25,48.60,46.00,48.40,+,2.15,48.35,48.40,
20,2883,凱基金,"36,108,690","6,448",17.35,17.45,17.35,17.45,,0.0,17.40,17.45,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
