排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"366,193,981","104,523",27.8,29.9,27.65,29.9,+,2.7,29.9,0.0,
2,2344,華邦電,"272,729,643","82,470",40.75,42.65,40.75,42.65,+,3.85,42.65,0.0,
3,1605,華新,"169,557,612","40,338",25.65,27.75,25.6,27.75,+,2.5,27.75,0.0,
4,"=""00919""",群益台灣精選高息,"166,280,598","47,741",21.15,21.3,21.06,21.2,+,0.05,21.2,21.21,
5,1802,台玻,"142,240,677","45,194",27.8,30.55,27.5,30.55,+,2.75,30.55,0.0,
6,"=""0050""",元大台灣50,"138,001,575","98,359",61.0,61.7,60.9,61.7,+,1.65,61.7,61.75,
7,3706,神達,"126,769,714","82,900",93.0,97.3,92.9,93.5,+,3.1,93.5,93.6,
8,2337,旺宏,"106,864,178","39,611",25.7,27.35,25.6,27.1,+,1.8,27.1,27.15,
9,"=""00940""",元大台灣價值高息,"105,598,451","12,741",9.48,9.58,9.47,9.54,+,0.08,9.54,9.55,
10,8110,華東,"103,493,028","33,221",22.0,23.35,21.7,23.35,+,2.1,23.35,0.0,
11,"=""00878""",國泰永續高股息,"100,106,086","33,583",21.3,21.54,21.29,21.47,+,0.2,21.47,21.48,
12,1303,南亞,"99,477,931","41,355",38.8,42.0,38.75,41.45,+,2.9,41.4,41.45,
13,"=""00632R""",元大台灣50反1,"94,685,413","15,177",17.7,17.72,17.52,17.53,-,0.4,17.53,17.54,
14,3231,緯創,"92,845,731","58,625",157.0,158.0,152.0,156.0,+,2.5,155.5,156.0,
15,2327,國巨*,"88,621,191","65,715",179.0,190.0,178.0,184.5,+,9.0,184.0,184.5,
16,3481,群創,"88,551,588","19,157",14.75,15.1,14.65,15.1,+,0.45,15.05,15.1,
17,1504,東元,"86,908,111","48,028",116.5,119.5,112.5,113.0,-,0.5,113.0,113.5,
18,"=""0056""",元大高股息,"75,747,471","36,818",37.12,37.51,37.12,37.46,+,0.42,37.46,37.47,
19,2887,台新新光金,"74,861,203","15,573",18.2,18.5,18.0,18.4,+,0.15,18.4,18.45,
20,9105,泰金寶-DR,"74,386,489","10,935",6.38,6.48,6.3,6.46,+,0.41,6.45,6.46,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
