排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2344,華邦電,"578,807,421","219,949",45.6,48.0,44.05,46.35,+,2.4,46.3,46.35,
2,6770,力積電,"246,606,181","95,087",30.5,31.3,29.45,30.3,+,0.8,30.3,30.35,
3,2408,南亞科,"216,252,568","116,478",108.0,110.0,104.0,107.0,+,3.0,106.5,107.0,
4,1605,華新,"160,159,248","54,163",29.25,30.85,28.75,30.55,+,1.5,30.5,30.55,
5,2317,鴻海,"152,953,266","134,231",230.0,239.5,229.0,238.5,+,12.0,238.0,238.5,
6,2337,旺宏,"120,446,260","40,589",27.55,29.4,26.8,29.4,+,2.65,29.4,0.0,
7,"=""0050""",元大台灣50,"105,854,638","71,439",62.35,63.2,62.15,63.1,+,1.05,63.05,63.1,
8,2327,國巨*,"90,463,570","84,702",190.5,198.0,188.0,196.0,+,11.5,196.0,196.5,
9,2887,台新新光金,"82,288,555","15,433",19.45,19.8,19.45,19.75,+,0.35,19.7,19.75,
10,1504,東元,"72,149,077","33,416",114.0,119.5,113.5,119.5,+,10.5,119.5,0.0,
11,8110,華東,"69,640,321","26,609",23.7,25.35,23.15,25.35,+,2.3,25.35,0.0,
12,3231,緯創,"66,049,824","40,524",139.5,144.5,139.0,142.0,+,5.5,142.0,142.5,
13,"=""00940""",元大台灣價值高息,"65,512,832","7,639",9.52,9.55,9.5,9.51,+,0.05,9.5,9.51,
14,"=""00919""",群益台灣精選高息,"60,504,830","23,966",21.42,21.46,21.31,21.33,-,0.01,21.33,21.34,
15,"=""00632R""",元大台灣50反1,"55,033,867","8,628",17.39,17.46,17.25,17.26,-,0.26,17.26,17.27,
16,2324,仁寶,"54,967,107","27,847",33.75,33.75,32.4,32.95,-,0.35,32.9,32.95,
17,2375,凱美,"53,663,964","32,148",88.9,95.2,88.1,95.2,+,8.6,95.2,0.0,
18,"=""00637L""",元大滬深300正2,"53,157,270","4,356",19.29,19.45,19.17,19.21,-,0.08,19.21,19.22,
19,3481,群創,"51,907,743","12,938",14.6,14.6,14.2,14.35,-,0.15,14.35,14.4,
20,"=""0056""",元大高股息,"51,742,253","27,760",37.27,37.49,37.27,37.49,+,0.38,37.48,37.49,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
