排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2344,華邦電,"161,180,525","79,901",55.2,57.0,54.7,56.9,+,3.3,56.9,57.0,
2,1303,南亞,"153,271,208","61,247",52.4,56.2,52.4,56.2,+,5.1,56.2,0.0,
3,2408,南亞科,"140,139,975","78,550",141.5,146.0,139.5,146.0,+,9.5,145.5,146.0,
4,6770,力積電,"136,640,285","49,089",32.25,33.3,32.25,33.15,+,1.5,33.1,33.15,
5,"=""00981A""",主動統一台股增長,"114,700,494","22,476",15.75,16.03,15.73,15.95,+,0.35,15.95,15.96,
6,"=""0052""",富邦科技,"105,493,794","56,299",35.8,35.88,35.52,35.68,+,0.33,35.68,35.69,
7,1802,台玻,"87,698,741","35,569",31.9,33.2,31.75,33.1,+,1.7,33.05,33.1,
8,2337,旺宏,"77,316,908","28,952",33.4,33.85,32.55,33.7,+,0.85,33.65,33.7,
9,2634,漢翔,"68,400,605","36,763",57.1,58.3,52.5,52.9,-,2.5,52.9,53.0,
10,2317,鴻海,"63,038,658","54,522",229.0,232.0,226.0,231.0,+,4.0,230.5,231.0,
11,"=""00632R""",元大台灣50反1,"58,851,058","9,127",17.31,17.35,17.25,17.27,-,0.17,17.27,17.28,
12,3481,群創,"56,772,196","10,919",13.0,13.55,12.75,13.55,+,0.6,13.5,13.55,
13,3037,欣興,"55,318,867","43,710",179.0,189.5,178.0,187.0,+,8.5,187.0,187.5,
14,6191,精成科,"54,977,821","37,290",130.0,133.0,127.0,128.5,+,1.0,128.5,129.0,
15,"=""0050""",元大台灣50,"53,852,335","39,232",61.8,62.1,61.65,61.9,+,0.55,61.9,61.95,
16,2881,富邦金,"51,827,067","27,037",92.7,94.5,92.1,93.9,+,0.7,93.9,94.0,
17,"=""00919""",群益台灣精選高息,"47,739,220","14,090",21.41,21.55,21.37,21.54,+,0.13,21.53,21.54,
18,"=""00712""",復華富時不動產,"47,051,622","5,532",9.2,9.25,9.2,9.24,+,0.08,9.24,9.25,
19,1605,華新,"46,628,407","15,723",29.0,29.6,28.7,29.2,+,0.3,29.15,29.2,
20,8033,雷虎,"46,112,904","31,162",150.5,151.5,140.0,141.5,-,2.0,141.0,141.5,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
