排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"497,717,420","197,337",36.85,37.55,33.45,35.4,+,0.05,35.35,35.4,
2,2344,華邦電,"433,182,309","207,906",63.4,63.9,53.5,58.0,-,1.4,58.0,58.1,
3,2408,南亞科,"405,613,000","212,636",169.5,169.5,144.5,155.5,-,4.5,155.5,156.0,
4,1802,台玻,"200,591,350","63,284",32.55,34.25,32.35,34.25,+,3.1,34.25,0.0,
5,1303,南亞,"187,213,322","98,615",56.4,58.8,54.9,56.6,+,2.8,56.6,56.7,
6,2337,旺宏,"147,451,269","64,604",38.1,38.5,35.3,37.55,+,1.15,37.55,37.6,
7,"=""00981A""",主動統一台股增長,"109,973,641","15,998",15.59,15.68,15.37,15.62,+,0.62,15.62,15.63,
8,"=""00632R""",元大台灣50反1,"98,533,224","14,843",17.45,17.56,17.37,17.37,-,0.52,17.37,17.38,
9,"=""0050""",元大台灣50,"84,027,889","61,552",61.55,61.95,61.35,61.9,+,1.85,61.9,61.95,
10,2317,鴻海,"78,464,576","54,773",237.0,238.0,232.5,236.5,+,7.5,236.5,237.0,
11,1605,華新,"72,876,188","29,983",30.05,30.7,29.0,29.65,+,0.6,29.65,29.7,
12,8150,南茂,"72,532,252","41,422",48.9,50.3,45.8,47.3,+,0.4,47.3,47.35,
13,3715,定穎投控,"68,539,524","37,677",121.5,124.5,117.5,123.0,+,9.5,123.0,123.5,
14,2881,富邦金,"66,335,241","20,491",89.1,90.6,89.1,89.3,+,1.2,89.3,89.4,
15,"=""00715L""",期街口布蘭特正2,"60,316,085","5,740",10.45,10.47,10.4,10.45,-,0.27,10.44,10.45,
16,"=""00953B""",群益優選非投等債,"51,514,373","4,391",9.6,9.63,9.59,9.61,+,0.04,9.61,9.62,
17,3231,緯創,"51,463,488","31,220",142.5,145.0,141.0,143.0,+,6.0,143.0,143.5,
18,2885,元大金,"46,909,370","14,421",35.2,36.05,35.15,36.05,+,1.15,36.0,36.05,
19,"=""00919""",群益台灣精選高息,"44,808,132","15,822",21.3,21.51,21.24,21.33,+,0.17,21.32,21.33,
20,2449,京元電子,"42,698,853","35,321",207.0,215.0,205.5,211.5,+,15.0,211.5,212.0,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
