排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,2337,旺宏,"374,605,754","143,871",36.0,38.5,35.05,37.9,+,2.65,37.85,37.9,
2,6770,力積電,"233,705,451","78,998",30.95,32.1,30.0,31.55,+,1.0,31.55,31.6,
3,2408,南亞科,"180,212,057","93,933",153.0,161.5,151.0,161.5,+,14.5,161.5,0.0,
4,1314,中石化,"161,859,296","37,586",9.41,9.41,8.48,8.66,-,0.76,8.65,8.66,
5,8110,華東,"124,617,953","41,740",31.45,31.7,30.05,31.7,+,2.85,31.7,0.0,
6,8112,至上,"99,735,465","59,686",74.2,79.4,73.8,79.4,+,7.2,79.4,0.0,
7,"=""0050""",元大台灣50,"83,130,868","61,928",62.8,63.35,62.6,63.35,+,0.8,63.3,63.35,
8,3715,定穎投控,"71,049,344","46,306",94.0,102.0,94.0,101.5,+,8.5,101.5,102.0,
9,"=""00981A""",主動統一台股增長,"70,196,844","13,418",15.68,15.84,15.5,15.81,+,0.3,15.8,15.81,
10,"=""00982A""",主動群益台灣強棒,"64,164,658","16,774",14.29,14.3,14.04,14.24,,0.0,14.23,14.24,
11,3481,群創,"53,103,727","11,428",13.85,13.85,13.3,13.35,-,0.5,13.35,13.4,
12,"=""00637L""",元大滬深300正2,"52,307,387","4,712",20.57,20.63,20.17,20.44,-,0.14,20.44,20.45,
13,2317,鴻海,"51,628,691","41,416",245.0,250.0,244.0,249.5,+,5.5,249.5,250.0,
14,2312,金寶,"50,999,431","19,941",22.25,23.85,21.8,23.5,+,1.3,23.45,23.5,
15,1303,南亞,"50,200,655","28,184",43.5,43.6,42.2,43.25,+,0.7,43.25,43.3,
16,2887,台新新光金,"45,300,399","7,494",19.1,19.25,18.9,18.95,,0.0,18.95,19.0,
17,2884,玉山金,"43,628,102","19,558",29.6,29.8,29.4,29.5,-,0.1,29.5,29.55,
18,2374,佳能,"42,963,125","28,476",83.9,89.0,83.8,85.9,+,4.6,85.8,85.9,
19,2421,建準,"42,729,272","33,064",173.0,184.0,169.5,176.5,+,8.0,176.5,177.0,
20,1605,華新,"42,219,004","16,242",29.9,29.9,28.9,29.6,-,0.05,29.55,29.6,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
