排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"347,845,869","111,582",30.5,31.5,30.5,31.5,+,2.85,31.5,0.0,
2,2884,玉山金,"280,910,308","110,090",31.1,31.45,29.9,30.3,-,2.35,30.3,30.35,
3,"=""00715L""",期街口布蘭特正2,"273,990,702","16,114",10.91,10.98,10.86,10.94,+,0.3,10.94,10.95,
4,1605,華新,"176,780,196","58,428",30.1,31.75,30.1,30.45,+,0.95,30.45,30.5,
5,6282,康舒,"154,113,602","82,003",41.8,44.8,41.35,44.0,+,2.75,43.95,44.0,
6,2887,台新新光金,"122,883,319","34,818",19.65,19.65,18.8,19.25,-,0.25,19.25,19.3,
7,2337,旺宏,"122,278,096","34,577",33.15,33.15,32.55,33.15,+,3.0,33.15,0.0,
8,"=""00919""",群益台灣精選高息,"119,074,053","28,966",21.5,21.67,21.48,21.56,+,0.17,21.56,21.57,
9,2327,國巨*,"116,952,778","135,410",243.5,248.5,237.5,248.5,+,22.5,248.5,0.0,
10,"=""0050""",元大台灣50,"104,776,108","64,536",63.75,63.9,63.45,63.8,+,1.45,63.75,63.8,
11,"=""00940""",元大台灣價值高息,"100,282,118","12,481",9.64,9.69,9.59,9.61,+,0.08,9.6,9.61,
12,2324,仁寶,"89,351,036","33,930",35.55,36.3,34.65,35.2,+,0.2,35.15,35.2,
13,2344,華邦電,"85,726,404","48,498",50.9,50.9,50.2,50.9,+,4.6,50.9,0.0,
14,2317,鴻海,"80,708,542","92,215",249.0,249.0,243.0,246.5,+,7.5,246.5,247.0,
15,"=""00929""",復華台灣科技優息,"77,988,509","15,904",18.8,19.03,18.77,18.93,+,0.26,18.93,18.94,
16,"=""00637L""",元大滬深300正2,"75,632,795","9,195",20.73,21.09,20.73,21.02,+,1.28,21.02,21.03,
17,"=""0056""",元大高股息,"75,123,538","32,354",37.2,37.32,37.1,37.24,+,0.43,37.23,37.24,
18,1303,南亞,"65,281,393","36,503",44.1,44.85,42.9,43.0,-,0.4,43.0,43.05,
19,8112,至上,"64,509,894","36,944",69.0,69.8,66.0,69.8,+,6.3,69.8,0.0,
20,2301,光寶科,"63,265,858","43,558",177.5,185.0,176.5,182.0,+,11.5,182.0,182.5,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
