排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"499,495,620","162,562",33.45,36.5,32.75,36.5,+,3.3,36.5,0.0,
2,2337,旺宏,"377,310,287","149,181",40.1,42.0,39.1,40.65,+,0.45,40.6,40.65,
3,1802,台玻,"233,593,730","74,677",33.4,35.25,33.3,35.25,+,3.2,35.25,0.0,
4,2408,南亞科,"192,259,424","114,810",160.0,166.5,158.0,163.0,-,1.5,162.5,163.0,
5,3715,定穎投控,"186,117,119","123,983",112.0,121.0,100.5,119.0,+,7.5,118.5,119.0,
6,1303,南亞,"174,611,856","81,679",46.05,49.8,44.85,49.8,+,4.5,49.8,0.0,
7,8112,至上,"132,942,307","87,193",80.0,86.5,79.2,81.0,+,1.0,81.0,81.1,
8,"=""00715L""",期街口布蘭特正2,"128,683,543","7,501",10.8,10.89,10.8,10.85,+,0.35,10.85,10.86,
9,"=""00919""",群益台灣精選高息,"110,074,272","22,883",21.56,21.74,21.56,21.66,+,0.16,21.66,21.67,
10,1605,華新,"109,738,202","46,405",30.75,31.6,30.1,31.35,+,1.05,31.35,31.4,
11,1314,中石化,"95,524,634","20,678",8.49,8.74,8.4,8.5,+,0.16,8.5,8.51,
12,3231,緯創,"88,398,135","60,702",142.0,142.0,138.0,139.0,-,5.5,139.0,139.5,
13,4989,榮科,"77,478,412","42,786",51.0,52.8,48.25,49.2,+,1.05,49.2,49.25,
14,8021,尖點,"68,217,263","44,950",124.0,132.5,123.0,132.5,+,12.0,132.5,0.0,
15,"=""00982A""",主動群益台灣強棒,"67,800,388","16,221",14.36,14.41,14.21,14.26,+,0.02,14.26,14.27,
16,"=""00981A""",主動統一台股增長,"66,178,802","17,242",15.93,15.97,15.66,15.71,-,0.05,15.7,15.71,
17,8110,華東,"66,166,117","20,210",37.0,38.3,36.8,38.3,+,3.45,38.3,0.0,
18,2317,鴻海,"65,085,447","48,915",248.0,252.0,245.0,251.0,+,4.5,250.5,251.0,
19,"=""0050""",元大台灣50,"62,620,173","55,267",62.95,63.3,62.75,63.2,+,0.3,63.2,63.25,
20,1301,台塑,"55,869,588","27,214",40.2,41.9,39.6,41.35,+,1.45,41.35,41.4,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
