排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,6770,力積電,"404,766,975","96,074",25.4,27.9,25.2,27.9,+,2.5,27.9,0.0,
2,2344,華邦電,"333,619,796","112,244",33.4,35.2,33.2,33.8,-,0.25,33.8,33.85,
3,3231,緯創,"284,877,578","136,806",146.0,153.5,144.0,146.0,+,5.5,145.5,146.0,
4,1802,台玻,"132,446,347","49,828",27.65,29.2,27.2,27.95,+,0.55,27.9,27.95,
5,3481,群創,"120,109,585","21,422",14.45,15.2,14.4,14.8,+,0.4,14.75,14.8,
6,"=""00715L""",期街口布蘭特正2,"111,677,358","9,872",11.05,11.2,11.05,11.17,-,0.16,11.16,11.17,
7,3706,神達,"106,281,821","75,869",89.1,91.9,89.0,91.0,+,3.3,90.9,91.0,
8,2324,仁寶,"82,362,816","35,443",32.25,32.4,31.0,31.75,-,0.65,31.7,31.75,
9,2303,聯電,"80,627,702","59,607",45.8,45.9,44.0,44.25,-,1.3,44.25,44.3,
10,"=""0050""",元大台灣50,"77,291,614","59,386",57.9,58.75,57.9,58.1,+,0.3,58.05,58.1,
11,1504,東元,"75,789,482","38,861",95.1,104.5,94.5,104.5,+,9.4,104.5,0.0,
12,2883,凱基金,"73,785,094","12,144",15.0,15.25,14.9,14.9,-,0.05,14.9,14.95,
13,1605,華新,"73,128,043","27,553",26.0,26.45,25.45,25.5,-,0.45,25.5,25.55,
14,3715,定穎投控,"70,281,569","43,356",90.3,98.3,90.3,95.7,+,6.3,95.6,95.7,
15,2887,台新新光金,"67,964,532","13,497",18.1,18.2,18.0,18.2,+,0.2,18.15,18.2,
16,2409,友達,"61,326,504","11,198",13.75,14.15,13.7,13.75,+,0.1,13.75,13.8,
17,2317,鴻海,"58,600,187","47,081",219.0,222.0,216.0,219.0,+,3.0,218.5,219.0,
18,"=""00632R""",元大台灣50反1,"56,122,294","9,949",18.37,18.45,18.19,18.41,-,0.05,18.41,18.42,
19,"=""00919""",群益台灣精選高息,"55,586,274","28,167",21.28,21.39,21.2,21.22,-,0.06,21.22,21.23,
20,"=""0056""",元大高股息,"48,977,483","26,380",36.87,37.15,36.73,36.81,+,0.01,36.81,36.82,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
