證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00929 """,復華台灣科技優息,"20,000",0,"20,000","51,906,123","594,072","51,312,051","51,926,123","594,072","51,332,051",
"=""00715L""",期街口布蘭特正2 ,"60,000",0,"60,000","28,679,498","911,918","27,767,580","28,739,498","911,918","27,827,580",
"=""00940 """,元大台灣價值高息,0,"20,000","-20,000","27,131,000","2,881,000","24,250,000","27,131,000","2,901,000","24,230,000",
"=""00665L""",富邦�琤肭磪囓�2 ,0,0,0,"19,733,195","10,083,074","9,650,121","19,733,195","10,083,074","9,650,121",
"=""00646 """,元大S&P500      ,0,0,0,"9,761,000","1,423,815","8,337,185","9,761,000","1,423,815","8,337,185",
"=""00934 """,中信成長高股息  ,0,0,0,"7,935,052","405,000","7,530,052","7,935,052","405,000","7,530,052",
"=""00642U""",期元大S&P石油   ,0,0,0,"6,533,365","16,000","6,517,365","6,533,365","16,000","6,517,365",
"=""00930 """,永豐ESG低碳高息 ,0,0,0,"6,700,000","1,086,712","5,613,288","6,700,000","1,086,712","5,613,288",
"=""00680L""",元大美債20正2   ,0,0,0,"7,147,000","2,456,000","4,691,000","7,147,000","2,456,000","4,691,000",
"=""00757 """,統一FANG+       ,"6,000",0,"6,000","5,377,000","786,862","4,590,138","5,383,000","786,862","4,596,138",
"=""042067""",台積電群益41購19,0,0,0,"4,502,000",0,"4,502,000","4,502,000",0,"4,502,000",
"=""042068""",台積電群益41購20,0,0,0,"4,491,000",0,"4,491,000","4,491,000",0,"4,491,000",
"=""064660""",元債2X元大46購07,0,0,0,"4,491,000",0,"4,491,000","4,491,000",0,"4,491,000",
"=""00650L""",復華香港正2     ,0,0,0,"5,717,805","1,962,280","3,755,525","5,717,805","1,962,280","3,755,525",
"=""035487""",達興兆豐55購01  ,0,0,0,"3,813,000","61,000","3,752,000","3,813,000","61,000","3,752,000",
"=""042105""",台積電元大43購21,0,0,0,"3,282,000",0,"3,282,000","3,282,000",0,"3,282,000",
"=""063915""",臺指反中信4C購02,0,0,0,"2,994,000","100,000","2,894,000","2,994,000","100,000","2,894,000",
"=""00881 """,國泰台灣科技龍頭,"500,000","5,000","495,000","5,194,266","2,815,102","2,379,164","5,694,266","2,820,102","2,874,164",
"=""00939 """,統一台灣高息動能,0,0,0,"4,982,000","2,176,550","2,805,450","4,982,000","2,176,550","2,805,450",
"=""00905 """,FT臺灣Smart     ,0,0,0,"3,046,259","314,530","2,731,729","3,046,259","314,530","2,731,729",
"=""049658""",精成科富邦45購01,0,0,0,"2,893,000","339,000","2,554,000","2,893,000","339,000","2,554,000",
"=""00965 """,元大航太防衛科技,0,0,0,"4,242,000","1,810,000","2,432,000","4,242,000","1,810,000","2,432,000",
"=""04474P""",緯穎凱基43售14  ,0,0,0,"2,376,000",0,"2,376,000","2,376,000",0,"2,376,000",
"=""086863""",智邦兆豐53購03  ,0,0,0,"2,372,000",0,"2,372,000","2,372,000",0,"2,372,000",
"=""00954 """,中信日本半導體  ,0,0,0,"2,370,000","8,734","2,361,266","2,370,000","8,734","2,361,266",
"=""0050  """,元大台灣50      ,"553,469","80,000","473,469","2,413,241","573,109","1,840,132","2,966,710","653,109","2,313,601",
"=""00688L""",國泰20年美債正2 ,0,0,0,"4,193,405","1,977,000","2,216,405","4,193,405","1,977,000","2,216,405",
"=""032956""",臻鼎統一64購01  ,0,0,0,"2,204,000","5,000","2,199,000","2,204,000","5,000","2,199,000",
