Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""00632R""",元大台灣50反1   ,"1,212,000","1,109,000","103,000","51,947,096","5,676,021","46,271,075","53,159,096","6,785,021","46,374,075"
"=""00680L""",元大美債20正2   ,0,0,0,"21,827,839","1,599,186","20,228,653","21,827,839","1,599,186","20,228,653"
"=""00664R""",國泰臺灣加權反1 ,0,0,0,"23,204,444","8,929,000","14,275,444","23,204,444","8,929,000","14,275,444"
"=""00953B""",群益優選非投等債,0,"1,000,000","-1,000,000","17,384,000","7,351,500","10,032,500","17,384,000","8,351,500","9,032,500"
"=""00688L""",國泰20年美債正2 ,0,0,0,"8,592,776","1,301,000","7,291,776","8,592,776","1,301,000","7,291,776"
"=""00673R""",期元大S&P原油反1,0,0,0,"6,135,203","106,000","6,029,203","6,135,203","106,000","6,029,203"
2887  ,台新新光金      ,"1,337,000","360,000","977,000","4,195,000","87,284","4,107,716","5,532,000","447,284","5,084,716"
"=""00882 """,中信中國高股息  ,0,0,0,"8,403,230","3,398,231","5,004,999","8,403,230","3,398,231","5,004,999"
2891  ,中信金          ,"578,000","173,000","405,000","4,544,807","32,000","4,512,807","5,122,807","205,000","4,917,807"
"=""00940 """,元大台灣價值高息,0,"10,000","-10,000","9,199,000","4,768,092","4,430,908","9,199,000","4,778,092","4,420,908"
2330  ,台積電          ,"1,393,000","553,995","839,005","4,132,722","1,003,413","3,129,309","5,525,722","1,557,408","3,968,314"
"=""088238""",欣興兆豐57購01  ,0,0,0,"4,023,000","56,000","3,967,000","4,023,000","56,000","3,967,000"
2303  ,聯電            ,"475,269","305,000","170,269","3,863,664","199,319","3,664,345","4,338,933","504,319","3,834,614"
2883  ,凱基金          ,"533,000","107,631","425,369","3,123,000","98,419","3,024,581","3,656,000","206,050","3,449,950"
"=""00693U""",期街口S&P黃豆   ,0,0,0,"3,733,000","303,088","3,429,912","3,733,000","303,088","3,429,912"
"=""042196""",聯發科元大54購36,0,0,0,"3,921,000","494,000","3,427,000","3,921,000","494,000","3,427,000"
"=""03822U""",世芯國票51售04  ,0,0,0,"3,633,000","237,000","3,396,000","3,633,000","237,000","3,396,000"
"=""00902 """,中信電池及儲能  ,0,0,0,"6,098,010","2,802,876","3,295,134","6,098,010","2,802,876","3,295,134"
"=""079921""",臺指反中信55購01,0,0,0,"3,261,000","10,000","3,251,000","3,261,000","10,000","3,251,000"
2880  ,華南金          ,"442,158","34,000","408,158","2,800,395","39,000","2,761,395","3,242,553","73,000","3,169,553"
2890  ,永豐金          ,"486,000","110,389","375,611","2,879,856","118,948","2,760,908","3,365,856","229,337","3,136,519"
2885  ,元大金          ,"308,114","26,000","282,114","2,866,279","67,543","2,798,736","3,174,393","93,543","3,080,850"
"=""04793U""",中502X元大53售03,0,0,0,"2,994,000",0,"2,994,000","2,994,000",0,"2,994,000"
"=""05371U""",台積電凱基54售18,0,0,0,"2,995,000","90,000","2,905,000","2,995,000","90,000","2,905,000"
"=""040841""",聯發科元大54購32,0,0,0,"2,914,000","10,000","2,904,000","2,914,000","10,000","2,904,000"
"=""039986""",力積電群益54購02,0,0,0,"2,851,000","124,000","2,727,000","2,851,000","124,000","2,727,000"
"=""039174""",聯發科元大54購23,0,0,0,"2,632,000","10,000","2,622,000","2,632,000","10,000","2,622,000"
2886  ,兆豐金          ,"413,000","285,000","128,000","2,444,000","16,237","2,427,763","2,857,000","301,237","2,555,763"
"=""084438""",臺指反元大4C購02,0,0,0,"2,501,000","8,000","2,493,000","2,501,000","8,000","2,493,000"
"=""05447U""",中502X元大53售04,0,0,0,"2,495,000","26,000","2,469,000","2,495,000","26,000","2,469,000"
"=""00945B""",凱基美國非投等債,0,0,0,"3,066,000","609,551","2,456,449","3,066,000","609,551","2,456,449"
