證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00715L""",期街口布蘭特正2 ,0,0,0,"83,867,659","954,332","82,913,327","83,867,659","954,332","82,913,327",
"=""00632R""",元大台灣50反1   ,"555,000","795,000","-240,000","31,499,808","8,425,546","23,074,262","32,054,808","9,220,546","22,834,262",
"=""00637L""",元大滬深300正2  ,"1,754,000",0,"1,754,000","22,895,285","8,592,424","14,302,861","24,649,285","8,592,424","16,056,861",
"=""00953B""",群益優選非投等債,0,0,0,"12,178,000","2,737,999","9,440,001","12,178,000","2,737,999","9,440,001",
"=""00664R""",國泰臺灣加權反1 ,0,"50,000","-50,000","13,949,300","4,487,000","9,462,300","13,949,300","4,537,000","9,412,300",
"=""00642U""",期元大S&P石油   ,0,0,0,"10,089,877","1,684,000","8,405,877","10,089,877","1,684,000","8,405,877",
"=""00881 """,國泰台灣科技龍頭,"494,000","5,000","489,000","10,061,000","3,091,959","6,969,041","10,555,000","3,096,959","7,458,041",
"=""00680L""",元大美債20正2   ,"30,000",0,"30,000","8,236,000","1,245,252","6,990,748","8,266,000","1,245,252","7,020,748",
"=""00882 """,中信中國高股息  ,0,0,0,"8,788,082","2,616,772","6,171,310","8,788,082","2,616,772","6,171,310",
"=""00712 """,復華富時不動產  ,0,0,0,"5,396,999","774,846","4,622,153","5,396,999","774,846","4,622,153",
"=""00671R""",富邦NASDAQ反1   ,"499,000","4,000","495,000","5,869,630","2,439,000","3,430,630","6,368,630","2,443,000","3,925,630",
"=""040119""",台達電群益54購05,0,0,0,"3,521,000","129,000","3,392,000","3,521,000","129,000","3,392,000",
2883  ,凱基金          ,"202,000","343,516","-141,516","3,609,000","78,727","3,530,273","3,811,000","422,243","3,388,757",
"=""00985B""",群益ESG投等債0-5,0,0,0,"4,768,000","1,517,411","3,250,589","4,768,000","1,517,411","3,250,589",
