證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00919 """,群益台灣精選高息,0,0,0,"24,329,699","830,272","23,499,427","24,329,699","830,272","23,499,427",
"=""00940 """,元大台灣價值高息,"300,000",0,"300,000","19,293,010","540,016","18,752,994","19,593,010","540,016","19,052,994",
"=""00882 """,中信中國高股息  ,0,0,0,"19,200,024","2,283,000","16,917,024","19,200,024","2,283,000","16,917,024",
"=""00753L""",中信中國50正2   ,0,0,0,"12,674,576","802,804","11,871,772","12,674,576","802,804","11,871,772",
"=""0056  """,元大高股息      ,"120,000","120,000",0,"9,938,014","261,551","9,676,463","10,058,014","381,551","9,676,463",
"=""00665L""",富邦�琤肭磪囓�2 ,0,0,0,"12,498,888","3,181,806","9,317,082","12,498,888","3,181,806","9,317,082",
"=""00637L""",元大滬深300正2  ,0,0,0,"16,714,588","8,956,177","7,758,411","16,714,588","8,956,177","7,758,411",
"=""00929 """,復華台灣科技優息,0,0,0,"7,877,694","1,174,211","6,703,483","7,877,694","1,174,211","6,703,483",
"=""00918 """,大華優利高填息30,0,0,0,"6,898,073","1,164,903","5,733,170","6,898,073","1,164,903","5,733,170",
"=""00713 """,元大台灣高息低波,0,0,0,"5,214,929","145,548","5,069,381","5,214,929","145,548","5,069,381",
"=""00961 """,FT臺灣永續高息  ,0,0,0,"6,130,591","1,571,000","4,559,591","6,130,591","1,571,000","4,559,591",
2344  ,華邦電          ,"5,129,918","1,482,000","3,647,918","1,821,000","1,201,000","620,000","6,950,918","2,683,000","4,267,918",
"=""051699""",臺股指富邦4C購01,0,0,0,"4,258,000",0,"4,258,000","4,258,000",0,"4,258,000",
"=""00646 """,元大S&P500      ,0,0,0,"4,210,000","227,844","3,982,156","4,210,000","227,844","3,982,156",
"=""00650L""",復華香港正2     ,0,0,0,"4,999,807","1,087,310","3,912,497","4,999,807","1,087,310","3,912,497",
"=""00939 """,統一台灣高息動能,0,0,0,"5,002,675","1,176,175","3,826,500","5,002,675","1,176,175","3,826,500",
"=""00936 """,台新永續高息中小,"269,000",0,"269,000","3,726,669","173,000","3,553,669","3,995,669","173,000","3,822,669",
