證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00680L""",元大美債20正2   ,0,"100,000","-100,000","25,514,458","2,310,000","23,204,458","25,514,458","2,410,000","23,104,458",
"=""00881 """,國泰台灣科技龍頭,"53,753",0,"53,753","15,288,204","1,180,450","14,107,754","15,341,957","1,180,450","14,161,507",
"=""00919 """,群益台灣精選高息,"1,194,000",0,"1,194,000","12,056,009","5,616,856","6,439,153","13,250,009","5,616,856","7,633,153",
"=""00891 """,中信關鍵半導體  ,0,0,0,"9,640,388","2,448,930","7,191,458","9,640,388","2,448,930","7,191,458",
"=""00940 """,元大台灣價值高息,0,"120,000","-120,000","8,194,653","1,046,000","7,148,653","8,194,653","1,166,000","7,028,653",
"=""035579""",鴻海元大54購32  ,0,0,0,"6,639,000","202,000","6,437,000","6,639,000","202,000","6,437,000",
"=""00715L""",期街口布蘭特正2 ,0,0,0,"9,159,100","3,361,763","5,797,337","9,159,100","3,361,763","5,797,337",
"=""00712 """,復華富時不動產  ,0,0,0,"8,581,418","3,271,800","5,309,618","8,581,418","3,271,800","5,309,618",
"=""041010""",台積電凱基54購35,0,0,0,"4,831,000","104,000","4,727,000","4,831,000","104,000","4,727,000",
"=""00882 """,中信中國高股息  ,0,0,0,"5,620,312","1,249,764","4,370,548","5,620,312","1,249,764","4,370,548",
"=""00637L""",元大滬深300正2  ,0,0,0,"17,650,125","13,424,218","4,225,907","17,650,125","13,424,218","4,225,907",
"=""00688L""",國泰20年美債正2 ,0,0,0,"4,766,665","612,000","4,154,665","4,766,665","612,000","4,154,665",
"=""03692B""",臺股指元大55熊19,0,0,0,"4,894,000","865,000","4,029,000","4,894,000","865,000","4,029,000",
"=""089854""",T50反1中信57購02,0,0,0,"4,635,000","954,000","3,681,000","4,635,000","954,000","3,681,000",
"=""06059U""",華邦電中信53售10,0,0,0,"3,680,000","130,000","3,550,000","3,680,000","130,000","3,550,000",
"=""009813""",貝萊德標普卓越50,0,0,0,"4,911,000","1,383,515","3,527,485","4,911,000","1,383,515","3,527,485",
"=""00980A""",主動野村臺灣優選,0,"76,000","-76,000","8,548,031","4,951,680","3,596,351","8,548,031","5,027,680","3,520,351",
"=""035300""",鴻海凱基55購14  ,0,0,0,"4,043,000","582,000","3,461,000","4,043,000","582,000","3,461,000",
"=""042983""",智邦群益55購04  ,0,0,0,"3,619,000","170,000","3,449,000","3,619,000","170,000","3,449,000",
"=""040705""",臺股指元大57購04,0,0,0,"3,564,000","225,000","3,339,000","3,564,000","225,000","3,339,000",
"=""00878 """,國泰永續高股息  ,"703,087","4,000,000","-3,296,913","10,788,655","4,178,000","6,610,655","11,491,742","8,178,000","3,313,742",
"=""00663L""",國泰臺灣加權正2 ,0,0,0,"4,372,656","1,098,309","3,274,347","4,372,656","1,098,309","3,274,347",
"=""040870""",臺股指元大56購20,0,0,0,"3,308,000","91,000","3,217,000","3,308,000","91,000","3,217,000",
"=""0056  """,元大高股息      ,"480,570",0,"480,570","2,842,716","177,738","2,664,978","3,323,286","177,738","3,145,548",
