證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00953B""",群益優選非投等債,0,0,0,"22,258,649","1,351,000","20,907,649","22,258,649","1,351,000","20,907,649",
"=""00637L""",元大滬深300正2  ,0,"1,527,000","-1,527,000","25,636,698","4,419,501","21,217,197","25,636,698","5,946,501","19,690,197",
"=""00715L""",期街口布蘭特正2 ,0,0,0,"18,842,364","3,082,000","15,760,364","18,842,364","3,082,000","15,760,364",
"=""00632R""",元大台灣50反1   ,"120,000","650,000","-530,000","28,122,613","13,083,318","15,039,295","28,242,613","13,733,318","14,509,295",
"=""00882 """,中信中國高股息  ,0,0,0,"12,083,000","766,653","11,316,347","12,083,000","766,653","11,316,347",
"=""00680L""",元大美債20正2   ,"50,000",0,"50,000","10,618,817","1,096,000","9,522,817","10,668,817","1,096,000","9,572,817",
"=""00671R""",富邦NASDAQ反1   ,"6,305,000",0,"6,305,000","11,005,102","9,105,200","1,899,902","17,310,102","9,105,200","8,204,902",
"=""00664R""",國泰臺灣加權反1 ,0,"150,000","-150,000","13,349,948","5,463,000","7,886,948","13,349,948","5,613,000","7,736,948",
"=""033500""",祥碩元大54購05  ,0,0,0,"7,889,000","583,000","7,306,000","7,889,000","583,000","7,306,000",
2887  ,台新新光金      ,"2,242,000","1,094,998","1,147,002","5,879,149","211,287","5,667,862","8,121,149","1,306,285","6,814,864",
2880  ,華南金          ,"178,000","436,996","-258,996","5,354,033","25,000","5,329,033","5,532,033","461,996","5,070,037",
"=""037168""",創意元大54購13  ,0,0,0,"5,058,000","25,000","5,033,000","5,058,000","25,000","5,033,000",
2891  ,中信金          ,"355,000","764,000","-409,000","5,664,030","263,000","5,401,030","6,019,030","1,027,000","4,992,030",
2883  ,凱基金          ,"82,000","248,069","-166,069","5,251,000","182,407","5,068,593","5,333,000","430,476","4,902,524",
"=""00945B""",凱基美國非投等債,0,0,0,"5,522,000","659,521","4,862,479","5,522,000","659,521","4,862,479",
2885  ,元大金          ,"152,000","422,000","-270,000","4,531,000","93,104","4,437,896","4,683,000","515,104","4,167,896",
"=""00712 """,復華富時不動產  ,0,0,0,"5,040,999","876,683","4,164,316","5,040,999","876,683","4,164,316",
2890  ,永豐金          ,"146,000","424,000","-278,000","4,358,295","34,324","4,323,971","4,504,295","458,324","4,045,971",
"=""00941 """,中信上游半導體  ,0,0,0,"5,010,000","1,087,617","3,922,383","5,010,000","1,087,617","3,922,383",
2303  ,聯電            ,"267,000","665,000","-398,000","4,395,832","298,956","4,096,876","4,662,832","963,956","3,698,876",
"=""00985B""",群益ESG投等債0-5,0,0,0,"5,677,000","1,979,092","3,697,908","5,677,000","1,979,092","3,697,908",
"=""03700B""",臺股指元大5B熊03,0,0,0,"3,508,000","16,000","3,492,000","3,508,000","16,000","3,492,000",
"=""03694B""",臺股指元大5A熊01,0,0,0,"3,045,000","21,000","3,024,000","3,045,000","21,000","3,024,000",
"=""048767""",十銓元富52購01  ,0,0,0,"3,573,000","659,000","2,914,000","3,573,000","659,000","2,914,000",
"=""03697B""",臺股指元大5A熊02,0,0,0,"3,023,000","127,000","2,896,000","3,023,000","127,000","2,896,000",
"=""03698B""",臺股指元大59熊10,0,0,0,"2,870,000","12,000","2,858,000","2,870,000","12,000","2,858,000",
2886  ,兆豐金          ,"177,000","961,312","-784,312","3,675,000","39,882","3,635,118","3,852,000","1,001,194","2,850,806",
"=""00949 """,復華日本龍頭    ,0,0,0,"3,825,000","1,080,891","2,744,109","3,825,000","1,080,891","2,744,109",
