證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00677U""",期富邦VIX       ,0,0,0,"6,538,000","341,000","6,197,000","6,538,000","341,000","6,197,000",
"=""063124""",所羅門凱基46購03,0,0,0,"3,142,000",0,"3,142,000","3,142,000",0,"3,142,000",
"=""00672L""",元大S&P原油正2  ,"142,000",0,"142,000","3,073,000","253,000","2,820,000","3,215,000","253,000","2,962,000",
"=""03908P""",士電凱基43售03  ,0,0,0,"2,896,000",0,"2,896,000","2,896,000",0,"2,896,000",
"=""064113""",全新群益46購11  ,0,0,0,"2,601,000","13,000","2,588,000","2,601,000","13,000","2,588,000",
"=""03382P""",臺股指凱基41售33,0,0,0,"2,495,000",0,"2,495,000","2,495,000",0,"2,495,000",
2498  ,宏達電          ,"892,000","297,000","595,000","1,907,000","143,000","1,764,000","2,799,000","440,000","2,359,000",
"=""069568""",穎崴群益52購01  ,0,0,0,"2,285,000","24,000","2,261,000","2,285,000","24,000","2,261,000",
1314  ,中石化          ,"311,000","662,000","-351,000","3,548,000","1,212,000","2,336,000","3,859,000","1,874,000","1,985,000",
"=""066159""",全新統一41購01  ,0,0,0,"1,956,000","222,000","1,734,000","1,956,000","222,000","1,734,000",
"=""066438""",鼎基統一53購01  ,0,0,0,"1,823,000","113,000","1,710,000","1,823,000","113,000","1,710,000",
"=""04291P""",皇昌國票43售03  ,0,0,0,"1,697,000",0,"1,697,000","1,697,000",0,"1,697,000",
"=""05653P""",智邦元大45售02  ,0,0,0,"1,874,000","180,000","1,694,000","1,874,000","180,000","1,694,000",
"=""066061""",健策元富47購02  ,0,0,0,"2,213,000","565,000","1,648,000","2,213,000","565,000","1,648,000",
"=""066212""",金像電群益47購10,0,0,0,"2,057,000","422,000","1,635,000","2,057,000","422,000","1,635,000",
"=""04712P""",臺股指富邦46售05,0,0,0,"2,901,000","1,297,000","1,604,000","2,901,000","1,297,000","1,604,000",
"=""04085P""",臺股指永豐46售01,0,0,0,"1,560,000",0,"1,560,000","1,560,000",0,"1,560,000",
"=""064812""",玉晶光元大47購05,0,0,0,"1,930,000","410,000","1,520,000","1,930,000","410,000","1,520,000",
"=""067525""",中磊元大47購05  ,0,0,0,"2,000,000","512,000","1,488,000","2,000,000","512,000","1,488,000",
"=""065355""",鴻海群益47購13  ,0,0,0,"1,515,000","62,000","1,453,000","1,515,000","62,000","1,453,000",
"=""068335""",滬深2X永豐48購06,0,0,0,"1,714,000","283,000","1,431,000","1,714,000","283,000","1,431,000",
"=""069225""",台積電元富48購13,0,0,0,"2,235,000","826,000","1,409,000","2,235,000","826,000","1,409,000",
"=""061341""",緯創凱基46購06  ,0,0,0,"1,812,000","408,000","1,404,000","1,812,000","408,000","1,404,000",
"=""04782P""",華城凱基44售05  ,0,0,0,"1,535,000","170,000","1,365,000","1,535,000","170,000","1,365,000",
"=""05923P""",金寶國票47售01  ,0,0,0,"2,248,000","922,000","1,326,000","2,248,000","922,000","1,326,000",
"=""069268""",材料國泰49購01  ,0,0,0,"1,733,000","430,000","1,303,000","1,733,000","430,000","1,303,000",
"=""05214P""",台積電永豐46售18,0,0,0,"1,307,000","28,000","1,279,000","1,307,000","28,000","1,279,000",
"=""068541""",佳必琪富邦4A購01,0,0,0,"2,486,000","1,217,000","1,269,000","2,486,000","1,217,000","1,269,000",
2356  ,英業達          ,"325,000","5,000","320,000","1,007,000","83,000","924,000","1,332,000","88,000","1,244,000",
"=""069210""",亞翔統一52購02  ,0,0,0,"1,570,000","327,000","1,243,000","1,570,000","327,000","1,243,000",
"=""066148""",華晶科統一54購01,0,0,0,"1,487,000","248,000","1,239,000","1,487,000","248,000","1,239,000",
"=""067923""",達興元大47購01  ,0,0,0,"1,288,000","63,000","1,225,000","1,288,000","63,000","1,225,000",
"=""070024""",長榮元富58購01  ,0,0,0,"1,281,000","58,000","1,223,000","1,281,000","58,000","1,223,000",
"=""069007""",海華國票48購02  ,0,0,0,"1,384,000","174,000","1,210,000","1,384,000","174,000","1,210,000",
