證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00919 """,群益台灣精選高息,0,0,0,"27,230,968","2,976,367","24,254,601","27,230,968","2,976,367","24,254,601",
"=""00878 """,國泰永續高股息  ,0,0,0,"21,528,840","1,387,226","20,141,614","21,528,840","1,387,226","20,141,614",
"=""00715L""",期街口布蘭特正2 ,0,0,0,"24,196,060","4,541,024","19,655,036","24,196,060","4,541,024","19,655,036",
"=""00940 """,元大台灣價值高息,0,0,0,"18,254,000","1,435,564","16,818,436","18,254,000","1,435,564","16,818,436",
"=""00632R""",元大台灣50反1   ,"394,000","374,000","20,000","18,985,574","2,272,314","16,713,260","19,379,574","2,646,314","16,733,260",
"=""00929 """,復華台灣科技優息,0,0,0,"18,606,329","3,205,888","15,400,441","18,606,329","3,205,888","15,400,441",
"=""00985B""",群益ESG投等債0-5,0,0,0,"23,285,985","9,528,311","13,757,674","23,285,985","9,528,311","13,757,674",
6770  ,力積電          ,"7,028,000","2,123,000","4,905,000","9,717,350","1,427,376","8,289,974","16,745,350","3,550,376","13,194,974",
"=""00680L""",元大美債20正2   ,0,0,0,"11,496,118","424,295","11,071,823","11,496,118","424,295","11,071,823",
"=""00830 """,國泰費城半導體  ,"10,000",0,"10,000","11,008,000","735,069","10,272,931","11,018,000","735,069","10,282,931",
"=""00981A""",主動統一台股增長,"21,000","448,000","-427,000","15,960,010","6,843,603","9,116,407","15,981,010","7,291,603","8,689,407",
"=""00918 """,大華優利高填息30,0,0,0,"8,718,000","687,138","8,030,862","8,718,000","687,138","8,030,862",
"=""00982A""",主動群益台灣強棒,"24,000",0,"24,000","11,621,975","4,901,541","6,720,434","11,645,975","4,901,541","6,744,434",
1605  ,華新            ,"3,404,000","1,311,200","2,092,800","5,920,724","1,445,192","4,475,532","9,324,724","2,756,392","6,568,332",
"=""00961 """,FT臺灣永續高息  ,0,0,0,"8,265,471","2,027,000","6,238,471","8,265,471","2,027,000","6,238,471",
"=""00713 """,元大台灣高息低波,0,0,0,"6,243,284","63,000","6,180,284","6,243,284","63,000","6,180,284",
"=""00927 """,群益半導體收益  ,0,0,0,"6,612,340","1,141,632","5,470,708","6,612,340","1,141,632","5,470,708",
"=""00891 """,中信關鍵半導體  ,0,0,0,"5,567,601","463,910","5,103,691","5,567,601","463,910","5,103,691",
"=""00934 """,中信成長高股息  ,0,0,0,"5,168,269","528,556","4,639,713","5,168,269","528,556","4,639,713",
"=""00915 """,凱基優選高股息30,0,0,0,"5,467,204","974,000","4,493,204","5,467,204","974,000","4,493,204",
"=""05087U""",臺股指中信56售02,0,0,0,"4,839,000","492,000","4,347,000","4,839,000","492,000","4,347,000",
"=""04825U""",宏達電元富52售01,0,0,0,"4,480,000","384,000","4,096,000","4,480,000","384,000","4,096,000",
"=""00939 """,統一台灣高息動能,0,0,0,"4,475,684","851,764","3,623,920","4,475,684","851,764","3,623,920",
"=""05786U""",臺股指群益54售26,0,0,0,"3,880,000","268,000","3,612,000","3,880,000","268,000","3,612,000",
"=""009802""",富邦旗艦50      ,0,0,0,"4,135,260","787,322","3,347,938","4,135,260","787,322","3,347,938",
"=""00688L""",國泰20年美債正2 ,0,0,0,"4,064,327","906,000","3,158,327","4,064,327","906,000","3,158,327",
"=""031769""",創意元大52購03  ,0,0,0,"4,544,000","1,446,000","3,098,000","4,544,000","1,446,000","3,098,000",
"=""034283""",昇貿群益58購01  ,0,0,0,"3,075,000","112,000","2,963,000","3,075,000","112,000","2,963,000",
"=""036332""",定穎控元富53購04,0,0,0,"3,716,000","886,000","2,830,000","3,716,000","886,000","2,830,000",
"=""087457""",可寧衛群益51購01,0,0,0,"2,762,000","100,000","2,662,000","2,762,000","100,000","2,662,000",
"=""031847""",定穎控凱基53購01,0,0,0,"2,681,000","131,000","2,550,000","2,681,000","131,000","2,550,000",
"=""037556""",臺指反元大59購01,0,0,0,"2,558,000","10,000","2,548,000","2,558,000","10,000","2,548,000",
"=""00945B""",凱基美國非投等債,0,0,0,"4,527,000","2,128,210","2,398,790","4,527,000","2,128,210","2,398,790",
"=""030566""",川湖統一57購03  ,0,0,0,"2,480,000","90,000","2,390,000","2,480,000","90,000","2,390,000",
2313  ,華通            ,"1,213,565","476,340","737,225","2,335,596","729,384","1,606,212","3,549,161","1,205,724","2,343,437",
2344  ,華邦電          ,"7,452,995","5,750,405","1,702,590","4,260,787","3,734,243","526,544","11,713,782","9,484,648","2,229,134",
"=""00946 """,群益科技高息成長,0,0,0,"2,482,726","332,267","2,150,459","2,482,726","332,267","2,150,459",
"=""00981T""",平衡凱基雙核收息,0,0,0,"3,153,000","1,039,178","2,113,822","3,153,000","1,039,178","2,113,822",
"=""032128""",創意元大53購01  ,0,0,0,"2,142,000","67,000","2,075,000","2,142,000","67,000","2,075,000",
"=""084587""",臺股指富邦56購05,0,0,0,"2,097,000","44,000","2,053,000","2,097,000","44,000","2,053,000",
"=""03958C""",元債2X元大51牛02,0,0,0,"2,009,000",0,"2,009,000","2,009,000",0,"2,009,000",
"=""05011U""",台達電富邦52售02,0,0,0,"2,006,000","1,000","2,005,000","2,006,000","1,000","2,005,000",
3189  ,景碩            ,"605,000","114,000","491,000","1,542,747","58,206","1,484,541","2,147,747","172,206","1,975,541",
"=""00953B""",群益優選非投等債,0,0,0,"5,073,000","3,132,000","1,941,000","5,073,000","3,132,000","1,941,000",
"=""05522U""",穎崴元富53售01  ,0,0,0,"2,342,000","490,000","1,852,000","2,342,000","490,000","1,852,000",
"=""034908""",鉅祥元富53購03  ,0,0,0,"1,887,000","37,000","1,850,000","1,887,000","37,000","1,850,000",
"=""048767""",十銓元富52購01  ,0,0,0,"2,560,000","774,000","1,786,000","2,560,000","774,000","1,786,000",
"=""054306""",大銀統一4C購02  ,0,0,0,"1,747,000",0,"1,747,000","1,747,000",0,"1,747,000",
"=""030567""",川湖統一58購03  ,0,0,0,"1,846,000","100,000","1,746,000","1,846,000","100,000","1,746,000",
