證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00715L""",期街口布蘭特正2 ,0,0,0,"131,933,525","10,913,308","121,020,217","131,933,525","10,913,308","121,020,217",
"=""00940 """,元大台灣價值高息,0,0,0,"18,623,524","971,000","17,652,524","18,623,524","971,000","17,652,524",
"=""00642U""",期元大S&P石油   ,0,"35,000","-35,000","13,743,563","1,320,146","12,423,417","13,743,563","1,355,146","12,388,417",
2887  ,台新新光金      ,"42,000",0,"42,000","11,021,000","46,306","10,974,694","11,063,000","46,306","11,016,694",
"=""00632R""",元大台灣50反1   ,"2,560,000","500,000","2,060,000","13,306,100","4,694,288","8,611,812","15,866,100","5,194,288","10,671,812",
"=""00680L""",元大美債20正2   ,0,0,0,"11,805,768","3,042,197","8,763,571","11,805,768","3,042,197","8,763,571",
"=""00934 """,中信成長高股息  ,0,0,0,"9,014,012","2,520,039","6,493,973","9,014,012","2,520,039","6,493,973",
"=""03648U""",緯穎國票51售03  ,0,0,0,"5,537,000",0,"5,537,000","5,537,000",0,"5,537,000",
"=""00882 """,中信中國高股息  ,0,0,0,"6,211,878","747,943","5,463,935","6,211,878","747,943","5,463,935",
"=""00646 """,元大S&P500      ,0,0,0,"5,105,000","87,558","5,017,442","5,105,000","87,558","5,017,442",
"=""00929 """,復華台灣科技優息,0,"65,000","-65,000","7,408,153","2,744,348","4,663,805","7,408,153","2,809,348","4,598,805",
"=""077011""",康舒元富53購01  ,0,0,0,"4,877,000","779,000","4,098,000","4,877,000","779,000","4,098,000",
"=""036206""",定穎控凱基53購04,0,0,0,"4,006,000","129,000","3,877,000","4,006,000","129,000","3,877,000",
"=""00688L""",國泰20年美債正2 ,0,"2,686,000","-2,686,000","8,704,348","2,538,025","6,166,323","8,704,348","5,224,025","3,480,323",
"=""00713 """,元大台灣高息低波,0,0,0,"3,805,000","404,000","3,401,000","3,805,000","404,000","3,401,000",
"=""00919 """,群益台灣精選高息,0,0,0,"6,256,000","3,261,239","2,994,761","6,256,000","3,261,239","2,994,761",
"=""033254""",金寶國票53購01  ,0,0,0,"2,962,000","100,000","2,862,000","2,962,000","100,000","2,862,000",
"=""037806""",華邦電群益53購13,0,0,0,"2,724,000",0,"2,724,000","2,724,000",0,"2,724,000",
"=""035694""",強茂永豐54購01  ,0,0,0,"2,882,000","180,000","2,702,000","2,882,000","180,000","2,702,000",
2883  ,凱基金          ,0,0,0,"2,755,614","69,000","2,686,614","2,755,614","69,000","2,686,614",
2891  ,中信金          ,"4,000","26,560","-22,560","2,711,000","41,992","2,669,008","2,715,000","68,552","2,646,448",
"=""077206""",順德國票4B購02  ,0,0,0,"2,599,000",0,"2,599,000","2,599,000",0,"2,599,000",
