證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00919 """,群益台灣精選高息,"80,000","10,000","70,000","39,056,884","4,978,610","34,078,274","39,136,884","4,988,610","34,148,274",
"=""00940 """,元大台灣價值高息,0,0,0,"22,195,962","2,517,921","19,678,041","22,195,962","2,517,921","19,678,041",
"=""00924 """,復華S&P500成長  ,0,0,0,"13,852,081","1,494,964","12,357,117","13,852,081","1,494,964","12,357,117",
"=""00680L""",元大美債20正2   ,0,0,0,"11,496,306","502,000","10,994,306","11,496,306","502,000","10,994,306",
"=""037308""",貿聯元大54購23  ,0,0,0,"9,797,000","513,000","9,284,000","9,797,000","513,000","9,284,000",
"=""00929 """,復華台灣科技優息,0,0,0,"9,127,307","1,234,472","7,892,835","9,127,307","1,234,472","7,892,835",
"=""00637L""",元大滬深300正2  ,"144,000",0,"144,000","14,374,182","7,576,536","6,797,646","14,518,182","7,576,536","6,941,646",
2867  ,三商壽          ,"5,246,000",0,"5,246,000",0,0,0,"5,246,000",0,"5,246,000",
"=""00882 """,中信中國高股息  ,0,0,0,"5,863,038","712,000","5,151,038","5,863,038","712,000","5,151,038",
"=""00673R""",期元大S&P原油反1,0,0,0,"5,117,911","5,000","5,112,911","5,117,911","5,000","5,112,911",
"=""00688L""",國泰20年美債正2 ,0,0,0,"5,811,388","1,159,000","4,652,388","5,811,388","1,159,000","4,652,388",
"=""00881 """,國泰台灣科技龍頭,"5,000","125,000","-120,000","6,535,818","1,873,153","4,662,665","6,540,818","1,998,153","4,542,665",
2327  ,國巨*           ,"1,353,800","134,900","1,218,900","3,296,916","653,541","2,643,375","4,650,716","788,441","3,862,275",
1605  ,華新            ,"3,079,696","1,686,000","1,393,696","5,063,464","2,606,920","2,456,544","8,143,160","4,292,920","3,850,240",
"=""00985B""",群益ESG投等債0-5,0,0,0,"6,362,000","2,639,850","3,722,150","6,362,000","2,639,850","3,722,150",
"=""00632R""",元大台灣50反1   ,"621,000","951,000","-330,000","8,929,452","5,044,581","3,884,871","9,550,452","5,995,581","3,554,871",
"=""00664R""",國泰臺灣加權反1 ,0,"45,000","-45,000","6,352,000","2,836,000","3,516,000","6,352,000","2,881,000","3,471,000",
"=""032229""",南亞富邦54購02  ,0,0,0,"3,208,000","158,000","3,050,000","3,208,000","158,000","3,050,000",
"=""00635U""",期元大S&P黃金   ,"18,000","342,000","-324,000","4,142,927","885,219","3,257,708","4,160,927","1,227,219","2,933,708",
"=""00936 """,台新永續高息中小,"100,000",0,"100,000","3,415,552","618,743","2,796,809","3,515,552","618,743","2,896,809",
"=""00939 """,統一台灣高息動能,0,0,0,"4,337,103","1,584,978","2,752,125","4,337,103","1,584,978","2,752,125",
"=""030761""",定穎控統一57購02,0,0,0,"3,468,000","739,000","2,729,000","3,468,000","739,000","2,729,000",
"=""00665L""",富邦�琤肭磪囓�2 ,0,0,0,"7,172,231","4,476,425","2,695,806","7,172,231","4,476,425","2,695,806",
"=""00738U""",期元大道瓊白銀  ,0,0,0,"5,838,046","3,143,469","2,694,577","5,838,046","3,143,469","2,694,577",
"=""00662 """,富邦NASDAQ      ,0,0,0,"2,748,000","160,118","2,587,882","2,748,000","160,118","2,587,882",
"=""041590""",旺宏群益54購05  ,0,0,0,"2,656,000","170,000","2,486,000","2,656,000","170,000","2,486,000",
2382  ,廣達            ,"2,633,000","181,513","2,451,487","15,497","11,000","4,497","2,648,497","192,513","2,455,984",
"=""00935 """,野村臺灣新科技50,0,0,0,"3,670,161","1,329,515","2,340,646","3,670,161","1,329,515","2,340,646",
"=""00918 """,大華優利高填息30,0,0,0,"3,522,838","1,212,251","2,310,587","3,522,838","1,212,251","2,310,587",
"=""00941 """,中信上游半導體  ,0,0,0,"2,572,931","441,000","2,131,931","2,572,931","441,000","2,131,931",
"=""087765""",漢唐國票52購02  ,0,0,0,"2,416,000","306,000","2,110,000","2,416,000","306,000","2,110,000",
"=""041927""",南亞元富54購01  ,0,0,0,"2,311,000","205,000","2,106,000","2,311,000","205,000","2,106,000",
"=""031273""",鴻海統一5C購03  ,0,0,0,"2,185,000","200,000","1,985,000","2,185,000","200,000","1,985,000",
"=""009802""",富邦旗艦50      ,0,0,0,"2,702,890","733,700","1,969,190","2,702,890","733,700","1,969,190",
"=""068150""",南亞統一52購01  ,0,0,0,"2,212,000","243,000","1,969,000","2,212,000","243,000","1,969,000",
"=""086894""",中砂統一61購01  ,0,0,0,"1,936,000",0,"1,936,000","1,936,000",0,"1,936,000",
"=""084165""",士電凱基4C購03  ,0,0,0,"1,900,000",0,"1,900,000","1,900,000",0,"1,900,000",
"=""00984A""",主動安聯台灣高息,0,"350,000","-350,000","4,908,043","2,678,260","2,229,783","4,908,043","3,028,260","1,879,783",
"=""084782""",jpp群益51購03   ,0,0,0,"1,883,000","35,000","1,848,000","1,883,000","35,000","1,848,000",
"=""033543""",華新統一58購03  ,0,0,0,"2,263,000","463,000","1,800,000","2,263,000","463,000","1,800,000",
"=""037551""",至上國票54購02  ,0,0,0,"1,739,000","16,000","1,723,000","1,739,000","16,000","1,723,000",
"=""00953B""",群益優選非投等債,0,0,0,"6,654,000","4,983,937","1,670,063","6,654,000","4,983,937","1,670,063",
"=""00902 """,中信電池及儲能  ,0,0,0,"6,161,948","4,519,236","1,642,712","6,161,948","4,519,236","1,642,712",
3037  ,欣興            ,"1,327,375","681,000","646,375","1,633,347","696,617","936,730","2,960,722","1,377,617","1,583,105",
"=""00946 """,群益科技高息成長,"700,000",0,"700,000","2,377,918","1,507,319","870,599","3,077,918","1,507,319","1,570,599",
"=""030239""",南亞統一58購01  ,0,0,0,"1,701,000","143,000","1,558,000","1,701,000","143,000","1,558,000",
"=""085939""",緯創元大4C購14  ,0,0,0,"1,555,000",0,"1,555,000","1,555,000",0,"1,555,000",
"=""00927 """,群益半導體收益  ,0,0,0,"2,446,208","914,497","1,531,711","2,446,208","914,497","1,531,711",
