ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
114/12/01,"6,073,540","164,358,330",27.5,27.6,26.8,26.8,-1.2,"3,874"
114/12/02,"3,407,387","90,834,379",26.55,27.1,26.35,26.35,-0.45,"2,156"
114/12/03,"3,189,036","85,349,527",26.75,27.15,26.5,26.5,0.15,"2,041"
114/12/04,"2,467,697","65,161,000",26.8,26.8,26.2,26.25,-0.25,"1,427"
弧:,,,,,,,,
才腹弧:+/-/Xボ害/禴/ぃゑ基,,,,,,,,
讽ら参璸戈癟箂絃﹚基ぃ筪肂╃芥夹潦,,,,,,
