ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
114/12/01,"422,991","7,033,482",16.55,16.7,16.55,16.7,0.0,214.0
114/12/02,"362,981","6,043,521",16.7,16.7,16.6,16.65,-0.05,234.0
114/12/03,"319,044","5,308,007",16.65,16.7,16.6,16.65,0.0,161.0
114/12/04,"342,340","5,684,091",16.6,16.65,16.55,16.65,0.0,222.0
弧:,,,,,,,,
才腹弧:+/-/Xボ害/禴/ぃゑ基,,,,,,,,
讽ら参璸戈癟箂絃﹚基ぃ筪肂╃芥夹潦,,,,,,,,
ETF靡ㄩ
