ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
114/12/01,"27,120","1,354,116",49.65,50.6,49.65,50.6,0.9,22.0
114/12/02,"19,200","959,700",50.1,50.1,49.9,49.9,-0.7,48.0
114/12/03,"15,020","749,530",50.3,50.3,49.8,49.8,-0.1,13.0
114/12/04,"3,000","149,450",49.85,49.85,49.75,49.75,-0.05,3.0
弧:,,,,,,,,
才腹弧:+/-/Xボ害/禴/ぃゑ基,,,,,,,,
讽ら参璸戈癟度ユぃ箂絃﹚基筪肂╃芥夹潦,,,,,,,,
ETF靡ㄩ
