99年06月23日 個股日本益比、殖利率及股價淨值比,99年06月23日 個股日本益比、殖利率及股價淨值比,99年06月23日 個股日本益比、殖利率及股價淨值比,99年06月23日 個股日本益比、殖利率及股價淨值比,99年06月23日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,11.33,6.41,1.15
1102,亞泥,11.11,7.13,1.18
1103,嘉泥,28.57,2.86,0.63
1104,環泥,13.49,3.5,0.71
1108,幸福,51.36,2.36,0.67
1109,信大,51.58,3.57,0.68
1110,東泥,89.23,1.72,0.80
1201,味全,28.13,1.53,3.48
1203,味王,28.07,5.57,1.39
1210,大成,15.00,5.72,1.43
1213,大飲,50.43,0.0,0.99
1215,卜蜂,17.99,5.73,1.17
1216,統一,15.59,5.06,2.07
1217,愛之味,56.82,0.0,1.21
1218,泰山,21.15,3.64,1.43
1219,福壽,15.56,5.32,0.94
1220,台榮,-,0.0,1.09
1225,福懋油,14.39,2.48,1.11
1227,佳格,19.93,4.39,4.43
1229,聯華,9.25,4.78,0.83
1231,聯華食,11.52,4.02,1.11
1232,大統益,11.51,7.2,2.27
1233,天仁,22.50,3.7,3.31
1234,黑松,38.03,1.94,1.29
1235,興泰,70.43,0.91,2.02
1236,宏亞,10.62,7.03,1.62
1301,台塑,12.71,5.87,1.74
1303,南亞,14.62,3.53,1.62
1304,台聚,7.25,9.71,1.21
1305,華夏,13.75,2.87,0.89
1307,三芳,11.45,5.75,1.94
1308,亞聚,6.91,9.51,1.06
1309,台達化,6.41,0.0,0.97
1310,台苯,24.22,4.27,1.07
1312,國喬,5.41,1.52,1.03
1313,聯成,7.15,5.62,0.84
1314,中石化,9.60,0.0,1.31
1315,達新,53.21,4.47,0.82
1316,上曜,-,0.0,0.85
1319,東陽,13.15,3.03,2.09
1321,大洋,47.67,0.0,1.74
1323,永裕,10.13,7.35,1.28
1324,地球,15.53,3.39,1.33
1325,恆大,12.11,3.53,1.37
1326,台化,9.61,6.15,1.70
1402,遠東新,19.29,4.23,1.77
1409,新纖,23.91,2.0,0.88
1410,南染,400.00,0.0,1.26
1413,宏洲,-,0.0,0.72
1414,東和,-,0.0,0.78
