104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1604,聲寶,9.84,8.33,0.78
1605,華新,10.90,0.0,0.39
1608,華榮,-,0.0,0.46
1609,大亞,-,0.0,0.39
1611,中電,-,0.0,0.61
1612,宏泰,15.05,6.99,0.56
1613,台一,-,0.0,0.41
1614,三洋電,29.94,2.88,1.35
1615,大山,24.29,2.94,0.77
1616,億泰,3.45,0.0,0.5
1617,榮星,33.65,4.46,0.59
1618,合機,-,3.09,0.39
1626,艾美特-KY,-,0.0,0.98
1701,中化,14.96,3.11,1.05
1702,南僑,16.00,3.16,3.09
1704,榮化,-,0.0,1.13
1707,葡萄王,28.40,2.47,8.47
1708,東鹼,9.08,5.6,1.29
1709,和益,36.08,4.49,0.92
1710,東聯,154.23,4.99,1.06
1711,永光,17.76,5.26,1.25
1712,興農,15.76,6.21,0.94
1713,國化,26.69,3.32,1.1
1714,和桐,-,0.0,0.61
1715,萬洲,7.99,11.91,0.74
1717,長興,12.67,5.84,1.44
1718,中纖,7.29,0.0,0.43
1720,生達,14.08,3.33,1.57
1721,三晃,116.67,0.0,1.15
1722,台肥,15.64,4.58,0.9
1723,中碳,14.73,6.67,3.68
1724,台硝,37.43,1.44,0.98
1725,元禎,13.18,4.98,0.89
1726,永記,13.50,4.58,1.7
1727,中華化,16.19,5.88,1.28
1729,必翔,243.91,2.14,3.4
1730,花仙子,13.01,5.7,1.64
1731,美吾華,19.29,4.44,1.02
1732,毛寶,-,0.0,1.14
1733,五鼎,15.71,6.31,2.05
1734,杏輝,60.11,2.83,1.36
1735,日勝化,11.45,5.24,0.8
1736,喬山,9.09,2.25,2.43
1737,臺鹽,24.68,4.36,0.78
1762,中化生,11.85,1.61,1.36
1773,勝一,11.12,6.53,1.52
1783,和康生,-,0.0,1.97
1786,科妍,-,0.0,2.82
1789,神隆,54.18,1.82,2.45
1802,台玻,127.27,0.0,0.71
1805,寶徠,-,0.0,0.86
1806,冠軍,-,0.0,0.43
1808,潤隆,8.07,13.7,1.29
1809,中釉,11.22,4.95,0.53
1810,和成,16.60,3.61,0.53
1817,凱撒衛,13.18,5.14,1.78
1902,台紙,54.00,0.0,0.74
1903,士紙,-,0.0,2.04
1904,正隆,7.65,3.07,0.64
1905,華紙,48.89,1.14,0.62
1906,寶隆,35.91,0.0,0.48
1907,永豐餘,21.57,4.03,0.42
1909,榮成,9.22,7.63,0.67
2002,中鋼,14.55,4.41,1.13
2006,東和鋼鐵,20.05,6.3,0.88
2007,燁興,-,0.0,0.49
2008,高興昌,-,0.0,0.63
2009,第一銅,52.47,5.08,0.73
2010,春源,13.24,5.1,0.61
2012,春雨,27.90,3.58,1.0
2013,中鋼構,17.57,4.03,0.85
2014,中鴻,-,0.0,0.86
2015,豐興,11.88,6.93,1.29
2017,官田鋼,-,0.0,0.49
2020,美亞,12.10,5.9,0.95
2022,聚亨,-,0.0,0.47
2023,燁輝,9.21,6.24,0.49
2024,志聯,5.36,11.94,0.58
2025,千興,-,0.0,0.63
2027,大成鋼,6.81,6.54,1.0
2028,威致,-,0.0,0.32
2029,盛餘,14.52,6.39,0.7
2030,彰源,7.83,9.26,0.78
2031,新光鋼,8.48,7.19,0.68
2032,新鋼,28.21,2.61,0.77
2033,佳大,-,0.0,0.83
2034,允強,8.36,10.58,0.94
2038,海光,-,0.0,0.38
2049,上銀,21.30,1.8,3.82
2059,川湖,19.10,2.59,4.48
2062,橋椿,8.70,7.65,1.13
2101,南港,83.97,0.0,2.11
2102,泰豐,17.96,2.06,0.66
2103,台橡,18.55,6.26,1.23
2104,國際中橡,6.35,10.86,0.83
2105,正新,12.51,4.98,2.16
2106,建大,11.23,5.9,1.86
2107,厚生,3.14,13.56,0.77
2108,南帝,24.27,2.0,1.69
2109,華豐,5.67,8.89,1.0
2114,鑫永銓,9.78,7.18,2.11
2115,六暉-KY,12.15,5.59,1.47
2201,裕隆,21.40,2.24,0.69
2204,中華,11.58,5.07,0.64
2206,三陽工業,-,0.0,1.39
2207,和泰車,22.48,2.57,5.81
2208,台船,19.37,3.64,0.74
2227,裕日車,14.00,10.12,3.22
2228,劍麟,18.68,2.69,3.49
2231,為升,25.32,3.16,9.84
2236,百達-KY,9.73,4.55,1.05
2301,光寶科,12.13,5.76,1.07
2302,麗正,9.51,8.99,0.67
2303,聯電,9.33,4.95,0.62
2305,全友,7.21,0.0,0.88
2308,台達電,19.33,4.23,3.66
2311,日月光,11.07,5.59,1.84
2312,金寶,5.94,0.0,0.77
2313,華通,11.02,3.08,1.21
2314,台揚,-,0.0,1.48
2316,楠梓電,11.22,6.82,1.05
2317,鴻海,9.42,4.77,1.41
2321,東訊,-,0.0,5.03
2323,中環,-,0.0,0.28
2324,仁寶,8.33,6.98,0.91
2325,矽品,9.48,8.05,1.55
2327,國巨*,8.15,8.64,1.19
2328,廣宇,56.25,2.07,0.68
2329,華泰,10.54,0.0,1.64
2330,台積電,11.78,3.36,3.09
2331,精英,7.92,24.1,0.71
2332,友訊,-,2.24,0.57
2337,旺宏,-,0.0,0.71
2338,光罩,47.18,6.23,0.57
2340,台亞,9.75,7.77,0.68
2342,茂矽,-,0.0,0.66
2344,華邦電,5.97,0.0,0.57
2345,智邦,11.89,8.57,0.88
2347,聯強,12.58,8.02,1.46
2348,海悅,22.23,1.24,3.19
2349,錸德,-,0.0,0.44
2351,順德,7.05,7.8,1.06
2352,佳世達,5.36,6.67,0.66
2353,宏碁,20.08,0.0,0.62
2354,鴻準,10.64,2.8,1.52
2355,敬鵬,9.42,5.64,1.07
2356,英業達,9.54,9.86,1.08
2357,華碩,11.44,5.87,1.24
2358,廷鑫,-,0.0,1.2
2359,所羅門,8.03,7.12,0.55
2360,致茂,18.33,4.25,2.48
2361,鴻友,-,0.0,3.33
2362,藍天,8.07,8.06,0.4
2363,矽統,-,0.0,0.42
2364,倫飛,-,0.0,0.56
2365,昆盈,24.75,7.78,0.65
2367,燿華,8.74,6.31,0.63
2368,金像電,5.20,0.0,0.77
2369,菱生,26.84,5.2,0.59
2371,大同,-,0.0,0.4
2373,震旦行,14.26,5.89,2.08
2374,佳能,13.71,0.0,0.65
2375,凱美,10.83,9.66,0.56
2376,技嘉,7.42,10.93,0.68
