104年04月07日 個股日本益比、殖利率及股價淨值比,104年04月07日 個股日本益比、殖利率及股價淨值比,104年04月07日 個股日本益比、殖利率及股價淨值比,104年04月07日 個股日本益比、殖利率及股價淨值比,104年04月07日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,15.02,5.66,1.38
1102,亞泥,14.14,5.6,0.93
1103,嘉泥,456.67,7.3,0.51
1104,環泥,13.36,3.97,1.19
1108,幸福,11.91,5.36,0.99
1109,信大,20.67,8.66,0.98
1110,東泥,67.00,1.19,1.08
1201,味全,-,2.49,1.56
1203,味王,21.12,4.23,1.31
1210,大成,15.12,3.89,1.27
1213,大飲,99.09,0.0,1.69
1215,卜蜂,9.03,4.48,1.35
1216,統一,25.88,3.41,3.14
1217,愛之味,-,0.0,0.74
1218,泰山,65.25,0.0,1.32
1219,福壽,35.58,0.98,1.26
1220,台榮,35.33,2.83,0.9
1225,福懋油,102.62,1.16,1.79
1227,佳格,26.69,3.23,4.63
1229,聯華,10.40,4.74,0.83
1231,聯華食,22.60,2.65,1.93
1232,大統益,12.92,6.27,3.6
1233,天仁,18.54,4.46,2.97
1234,黑松,38.16,3.21,0.87
1235,興泰,26.93,0.0,1.11
1236,宏亞,16.26,5.16,1.48
1262,綠悅-KY,13.85,2.44,2.33
1301,台塑,26.71,2.25,1.68
1303,南亞,17.46,3.29,1.74
1304,台聚,26.05,2.48,0.96
1305,華夏,57.60,1.39,1.16
1307,三芳,17.41,4.21,2.17
1308,亞聚,20.47,3.69,1.13
1309,台達化,-,0.0,0.86
1310,台苯,-,6.54,1.51
1312,國喬,59.84,5.22,1.13
1313,聯成,-,1.75,0.7
1314,中石化,87.31,0.0,0.49
1315,達新,22.44,3.99,0.74
1316,上曜,-,0.0,1.46
1319,東陽,24.22,1.98,1.3
1321,大洋,-,0.0,1.61
1323,永裕,12.86,4.6,2.06
1324,地球,23.51,2.24,1.05
1325,恆大,34.32,2.22,1.12
1326,台化,40.67,1.64,1.54
1337,再生-KY,6.59,1.44,0.74
1338,廣華-KY,14.57,3.36,1.52
1339,昭輝,18.91,2.31,3.04
