99年06月03日 個股日本益比、殖利率及股價淨值比,99年06月03日 個股日本益比、殖利率及股價淨值比,99年06月03日 個股日本益比、殖利率及股價淨值比,99年06月03日 個股日本益比、殖利率及股價淨值比,99年06月03日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,10.99,6.61,1.11
1102,亞泥,10.42,7.61,1.11
1103,嘉泥,26.84,3.04,0.60
1104,環泥,13.16,3.58,0.69
1108,幸福,50.93,2.38,0.67
1109,信大,50.89,3.62,0.67
1110,東泥,82.69,1.86,0.74
1201,味全,24.57,1.76,3.04
1203,味王,24.27,6.44,1.20
1210,大成,13.21,6.5,1.26
1213,大飲,49.13,0.0,0.97
1215,卜蜂,16.24,6.35,1.05
1216,統一,14.52,5.44,1.93
1217,愛之味,50.68,0.0,1.08
1218,泰山,18.97,4.05,1.28
1219,福壽,14.38,5.75,0.87
1220,台榮,-,0.0,1.08
1225,福懋油,13.27,2.69,1.03
1227,佳格,19.00,4.61,4.22
1229,聯華,8.70,5.08,0.78
1231,聯華食,10.33,4.49,1.00
1232,大統益,11.13,7.44,2.20
1233,天仁,20.99,3.97,3.08
1234,黑松,37.70,1.96,1.28
1235,興泰,70.85,0.9,2.04
1236,宏亞,10.02,7.45,1.53
1301,台塑,11.94,6.25,1.63
1303,南亞,14.13,3.65,1.57
1304,台聚,6.88,10.23,1.15
1305,華夏,12.64,3.12,0.82
1307,三芳,11.45,5.75,1.94
1308,亞聚,6.68,9.83,1.02
1309,台達化,5.62,0.0,0.85
1310,台苯,21.29,4.86,0.94
1312,國喬,4.92,1.67,0.94
1313,聯成,6.89,5.83,0.81
1314,中石化,8.68,0.0,1.18
1315,達新,53.21,4.47,0.82
1316,上曜,-,0.0,0.91
1319,東陽,13.02,3.06,2.07
1321,大洋,45.47,0.0,1.66
1323,永裕,9.95,7.49,1.26
1324,地球,15.13,3.48,1.30
1325,恆大,11.71,3.65,1.32
1326,台化,9.15,6.46,1.61
1402,遠東新,17.64,4.62,1.61
1409,新纖,23.26,2.06,0.86
1410,南染,367.50,0.0,1.16
1413,宏洲,-,0.0,0.67
1414,東和,-,0.0,0.77
1416,廣豐,133.50,0.0,0.88
1417,嘉裕,29.00,0.0,0.93
1418,東華,3.82,0.0,1.12
1419,新紡,80.71,0.74,1.70
1423,利華,25.90,0.0,0.57
1432,大魯閣,-,0.0,1.23
1434,福懋,77.93,3.54,0.73
1435,中福,-,0.0,1.39
1436,華友聯,-,0.0,0.84
1437,勤益控,32.92,0.0,1.17
1438,三地開發,-,0.0,195.00
1439,雋揚,192.35,0.0,2.23
1440,南紡,15.00,4.71,0.84
1441,大東,-,0.0,0.80
1442,名軒,6.31,8.11,1.29
1443,立益物流,-,0.0,0.52
1444,力麗,9.66,0.0,1.00
1445,大宇,32.79,2.54,0.61
1446,宏和,68.26,0.0,1.12
1447,力鵬,7.66,0.0,1.21
1449,佳和,-,0.0,0.66
1451,年興,8.33,5.8,0.83
1452,宏益,11.06,4.81,0.72
1453,大將,18.38,0.0,0.78
1454,台富,-,0.0,0.65
1455,集盛,6.42,1.81,1.10
1456,怡華,-,0.0,0.48
1457,宜進,28.69,0.0,0.71
1459,聯發,30.35,0.0,0.89
1460,宏遠,-,0.0,0.76
1463,強盛新,11.83,0.0,0.93
1464,得力,137.50,1.45,1.23
1465,偉全,20.18,4.5,0.60
1466,聚隆,7.68,0.0,1.43
1467,南緯,16.52,0.0,0.93
1468,昶和,-,0.0,2.08
1469,理隆,25.67,0.0,1.12
1470,大統新創,15.31,0.0,1.02
1471,首利,22.41,1.04,1.67
1472,三洋實業,-,0.0,0.65
1473,台南,13.35,4.76,1.13
1474,弘裕,39.38,2.42,0.64
1475,業旺,-,0.0,2.42
1476,儒鴻,10.16,6.81,1.18
1477,聚陽,11.23,7.3,2.80
1503,士電,5.86,3.4,1.17
1504,東元,10.12,4.25,0.66
1506,正道,-,0.0,2.19
1507,永大,10.60,5.28,1.18
1512,瑞利,-,0.0,0.70
1513,中興電,16.60,5.68,1.13
1514,亞力,-,1.29,1.00
1515,力山,14.46,0.0,1.21
1516,川飛,-,0.0,1.35
1517,利奇,9.92,4.55,1.03
1519,華城,13.89,7.06,1.59
1521,大億,12.16,5.67,2.64
1522,堤維西,13.22,7.61,1.04
1523,開億,24.17,3.28,1.24
1524,耿鼎,-,0.0,0.91
1525,江申,9.91,3.65,1.40
1526,日馳,-,0.0,1.13
1527,鑽全,57.60,4.51,1.81
1528,恩德,45.81,1.55,1.05
1529,樂事綠能,-,0.0,1.44
1530,亞崴,48.65,1.39,1.69
1531,高林股,28.19,3.1,1.08
1532,勤美,4.12,10.87,1.25
1533,車王電,-,2.21,1.21
1535,中宇,11.28,5.78,2.42
1536,和大,-,0.0,1.22
1537,廣隆,8.28,6.43,2.15
1538,正峰,-,0.0,3.11
1539,巨庭,-,0.0,0.84
1540,喬福,12.96,9.38,1.87
1541,錩泰,9.09,9.49,1.44
1560,中砂,54.84,1.45,1.48
1582,信錦,11.99,6.62,2.32
1583,程泰,50.21,1.4,1.69
1603,華電,7.06,0.0,0.82
1604,聲寶,-,0.0,0.49
1605,華新,13.98,0.0,0.63
1608,華榮,6.62,4.81,0.85
1609,大亞,14.60,1.62,0.66
1611,中電,26.31,4.43,1.83
1612,宏泰,15.67,3.89,0.81
1613,台一,12.63,0.0,0.82
1614,三洋電,37.56,3.83,1.74
1615,大山,7.62,11.17,1.24
1616,億泰,-,0.0,0.65
1617,榮星,80.83,0.0,0.83
1618,合機,9.19,0.0,0.52
1701,中化,13.63,3.62,1.30
1702,南僑,19.79,0.0,3.28
1704,榮化,8.45,8.0,1.51
1707,葡萄王,13.10,4.88,2.66
1708,東鹼,15.53,5.08,1.38
1709,和益,10.33,7.17,0.96
1710,東聯,10.88,7.26,1.37
1711,永光,21.58,2.33,2.07
1712,興農,13.62,6.25,0.95
1713,國化,45.83,1.18,0.76
1714,和桐,8.74,8.03,1.19
1715,萬洲,15.37,2.63,0.96
1716,永信,15.44,4.48,1.59
1717,長興,10.66,9.02,1.46
1718,中纖,13.20,0.0,0.87
1720,生達,15.19,5.82,1.57
1721,三晃,-,0.0,1.52
1722,台肥,54.48,1.58,1.72
1723,中碳,14.89,5.95,4.01
1724,台硝,34.71,1.61,1.01
1725,元禎,17.93,8.39,1.74
1726,永記,8.72,5.64,1.17
1727,中華化,19.83,3.29,1.77
1729,必翔,476.00,0.0,2.77
1730,花仙子,9.97,6.23,1.19
1731,美吾華,28.30,1.58,1.04
1732,毛寶,21.14,4.05,1.25
1733,五鼎,17.72,4.75,3.94
1734,杏輝,28.35,2.91,1.86
1735,日勝化,12.07,6.51,1.19
1736,喬山,232.65,0.76,1.66
1737,臺鹽,24.55,3.17,0.79
1773,勝一,10.06,6.12,1.78
1802,台玻,22.07,1.7,1.41
1805,寶徠,-,0.0,0.69
1806,冠軍,10.48,4.34,1.47
1808,潤隆,9.78,9.01,1.66
1809,中釉,16.45,1.91,1.67
1810,和成,-,0.0,0.69
1902,台紙,17.62,0.0,0.69
1903,士紙,-,0.0,3.92
1904,正隆,10.32,6.17,0.69
1905,華紙,39.71,0.0,0.99
1906,寶隆,29.54,0.0,0.65
1907,永豐餘,7.73,6.81,0.79
1909,榮成,160.83,5.18,0.68
2002,中鋼,10.50,4.43,1.57
2006,東和鋼鐵,29.94,3.86,1.27
2007,燁興,14.22,0.0,0.71
2008,高興昌,-,0.0,2.08
2009,第一銅,4.88,4.8,0.98
2010,春源,7.90,4.44,0.74
2012,春雨,-,0.0,0.92
2013,中鋼構,16.04,4.45,1.10
2014,中鴻,4.64,0.0,1.41
2015,豐興,16.37,4.58,1.71
2017,官田鋼,11.67,0.0,0.86
2020,美亞,58.50,1.92,1.50
2022,聚亨,-,0.0,0.67
2023,燁輝,19.17,6.96,0.62
2024,志聯,-,0.0,0.59
2025,千興,9.18,0.0,0.80
2027,大成鋼,23.98,1.56,0.99
2028,威致,7.04,0.0,0.98
2029,盛餘,19.68,1.17,0.90
2030,彰源,18.55,0.0,1.13
2031,新光鋼,11.40,2.37,1.19
2032,新鋼,16.54,1.16,1.34
2033,佳大,-,0.0,1.51
2034,允強,11.90,2.39,1.22
2038,海光,-,0.0,0.94
2049,上銀,29.06,0.74,3.15
2059,川湖,20.64,3.16,4.35
2062,橋椿,12.48,5.92,1.49
2101,南港,17.68,0.0,2.73
2102,泰豐,8.96,5.29,0.84
2103,台橡,11.40,7.16,2.28
2104,國際中橡,14.36,4.31,1.14
2105,正新,7.49,6.75,2.55
2106,建大,6.78,7.7,1.57
2107,厚生,9.22,5.33,1.28
2108,南帝,12.73,7.62,1.35
2109,華豐,18.91,0.0,0.96
2201,裕隆,21.18,1.05,0.84
2204,中華,22.24,1.59,0.66
2206,三陽工業,15.20,0.0,0.72
2207,和泰車,10.05,5.12,1.86
2208,台船,12.04,7.13,1.40
2227,裕日車,22.30,0.0,1.61
2301,光寶科,9.49,6.46,1.24
2302,麗正,96.89,0.0,0.76
2303,聯電,12.52,3.36,0.93
2305,全友,-,0.0,0.92
2308,台達電,18.48,4.2,3.08
2311,日月光,12.84,4.39,1.87
2312,金寶,-,0.0,0.58
2313,華通,-,0.0,0.65
2314,台揚,-,0.0,1.42
2315,神達,37.35,1.18,0.62
2316,楠梓電,15.00,0.0,0.99
2317,鴻海,13.35,2.56,2.35
2321,東訊,-,0.0,1.66
2323,中環,-,0.0,0.58
2324,仁寶,6.72,6.09,1.54
2325,矽品,11.01,7.28,1.72
2327,國巨*,14.34,1.07,1.01
2328,廣宇,34.50,1.35,1.61
2329,華泰,-,0.0,1.31
2330,台積電,12.99,4.93,2.98
2331,精英,20.00,4.39,0.63
2332,友訊,14.88,3.98,1.09
2337,旺宏,10.40,7.18,1.60
2338,光罩,16.62,2.48,0.85
2340,台亞,33.40,1.0,1.90
2341,英群,-,0.0,27.57
2342,茂矽,-,0.0,1.25
2344,華邦電,-,0.0,0.88
2345,智邦,9.10,7.03,1.08
2347,聯強,17.88,4.78,2.87
2348,海悅,-,0.0,1.24
2349,錸德,-,0.0,0.69
2350,環電,11.28,6.89,1.36
2351,順德,17.08,2.7,2.28
2352,佳世達,15.23,0.0,1.30
2353,宏碁,16.87,3.93,2.25
2354,鴻準,16.60,1.9,2.30
2355,敬鵬,8.85,6.62,0.88
2356,英業達,11.30,8.62,1.18
2358,廷鑫,12.67,0.0,1.77
2359,所羅門,12.19,0.0,0.68
2360,致茂,19.43,3.72,3.18
2361,鴻友,-,0.0,1.09
2362,藍天,34.97,2.45,4.52
2363,矽統,24.70,3.66,1.12
2364,倫飛,-,0.0,1.00
2365,昆盈,14.06,8.85,1.91
2367,燿華,-,0.0,0.66
2368,金像電,-,0.0,0.66
2369,菱生,13.52,3.78,1.13
2371,大同,-,0.0,1.00
2373,震旦行,20.39,4.78,2.37
2374,佳能,8.55,7.38,2.13
2375,凱美,-,0.0,1.27
2376,技嘉,8.78,7.37,1.02
2377,微星,15.95,2.82,0.74
2379,瑞昱,14.96,5.18,2.05
2380,虹光,231.50,0.86,1.23
2382,廣達,9.66,6.27,2.01
2383,台光電,8.34,4.16,1.80
2384,勝華,-,0.0,1.37
2385,群光,12.29,5.11,3.40
2387,精元,8.57,4.1,1.75
2388,威盛,-,0.0,3.86
2390,云辰,-,0.0,0.93
2391,合勤,-,0.0,1.22
2392,正崴,19.02,4.98,1.24
2393,億光,16.73,4.71,2.32
2395,研華,18.98,5.79,2.71
2397,友通,14.25,7.94,1.30
2399,映泰,10.56,7.78,1.37
2401,凌陽,12.42,0.0,1.17
2402,毅嘉,25.82,5.63,0.80
2403,友尚,11.91,5.61,2.12
2404,漢唐,16.82,5.26,1.70
2405,輔信,-,0.0,1.39
2406,國碩,27.15,2.74,2.76
2408,南亞科,-,0.0,2.44
2409,友達,385.00,0.0,1.01
2412,中華電,13.30,6.58,1.55
2413,環科,-,0.0,1.11
2414,精技,12.33,7.23,1.20
2415,錩新,-,1.33,1.36
2417,圓剛,8.12,6.35,1.97
2419,仲琦,17.43,4.74,1.38
2420,新巨,16.06,4.02,1.77
2421,建準,13.70,6.8,1.92
2423,固緯,13.53,4.62,1.45
2424,隴華,-,0.0,1.82
2425,承啟,15.19,0.0,1.48
2426,鼎元,35.56,1.12,1.81
2427,三商電,-,0.0,0.94
2428,興勤,11.08,4.13,2.15
2429,銘旺科,-,0.0,0.56
2430,燦坤,9.56,7.4,2.68
2431,聯昌,9.46,5.42,1.13
2433,互盛電,13.32,6.71,0.98
2434,統懋,-,0.0,1.24
2436,偉詮電,34.55,3.46,1.81
2437,旺詮,10.55,7.08,1.57
2438,翔耀,-,0.0,1.14
2439,美律,12.65,6.1,1.85
2440,太空梭,17.30,6.15,1.00
2441,超豐,9.20,6.23,1.60
2442,新美齊,7.21,0.0,1.08
2443,昶虹,-,0.0,0.65
2444,兆勁,-,0.0,1.53
2448,晶電,24.08,2.02,1.87
2449,京元電子,36.58,0.0,0.85
2450,神腦,12.22,7.02,2.73
2451,創見,9.42,6.83,2.00
2453,凌群,23.08,2.33,0.97
2454,聯發科,14.28,4.86,4.87
2455,全新,25.58,2.6,3.78
2456,奇力新,21.54,1.71,1.94
2457,飛宏,9.17,8.87,1.67
2458,義隆,32.45,1.97,3.21
2459,敦吉,9.47,6.9,0.86
2460,建通,9.22,5.61,1.55
2461,光群雷,23.95,1.7,1.14
2462,良得電,10.86,6.72,2.41
2463,研揚,16.30,6.5,2.82
2464,盟立,13.38,5.69,1.67
2465,麗臺,-,0.0,2.76
2466,冠西電,47.46,1.0,2.50
2467,志聖,14.03,6.38,1.18
