104年01月15日 個股日本益比、殖利率及股價淨值比,104年01月15日 個股日本益比、殖利率及股價淨值比,104年01月15日 個股日本益比、殖利率及股價淨值比,104年01月15日 個股日本益比、殖利率及股價淨值比,104年01月15日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,14.34,5.55,1.37
1102,亞泥,13.85,5.25,0.96
1103,嘉泥,7.61,7.14,0.53
1104,環泥,12.24,3.94,1.14
1108,幸福,13.08,4.41,0.92
1109,信大,15.06,8.86,0.97
1110,東泥,74.09,1.23,1.05
1201,味全,29.76,2.46,1.47
1203,味王,28.57,4.17,1.35
1210,大成,7.76,14.98,1.35
1213,大飲,105.75,0.0,1.62
1215,卜蜂,7.87,5.33,1.16
1216,統一,25.07,4.17,3.13
1217,愛之味,-,0.0,0.73
1218,泰山,-,0.0,1.19
1219,福壽,39.47,1.0,1.26
1220,台榮,34.67,3.37,0.88
1225,福懋油,2050.00,1.17,1.76
1227,佳格,23.85,3.77,4.21
1229,聯華,9.17,4.82,0.84
1231,聯華食,20.78,7.2,1.83
1232,大統益,14.29,5.36,3.62
1233,天仁,18.43,4.91,3.08
1234,黑松,19.10,5.24,0.89
1235,興泰,10.13,0.0,0.82
1236,宏亞,12.32,5.38,1.39
1262,綠悅-KY,18.09,2.11,2.99
1301,台塑,19.53,2.57,1.72
1303,南亞,14.51,2.95,1.66
1304,台聚,26.50,3.23,1.13
1305,華夏,20.29,8.7,1.1
1307,三芳,11.69,5.64,1.55
1308,亞聚,20.61,4.22,1.28
1309,台達化,-,0.0,0.88
1310,台苯,13.75,7.27,1.29
1312,國喬,16.67,5.88,1.01
1313,聯成,68.53,3.35,0.73
1314,中石化,-,0.0,0.9
1315,達新,30.26,3.48,0.77
1316,上曜,-,0.0,1.76
1319,東陽,18.63,2.95,1.32
1321,大洋,-,0.0,1.58
1323,永裕,13.21,4.07,2.07
1324,地球,24.17,8.97,1.14
1325,恆大,42.00,3.1,1.19
1326,台化,19.32,3.82,1.4
1337,再生-KY,8.32,8.64,1.0
1338,廣華-KY,12.70,2.63,1.39
1339,昭輝,25.58,1.36,4.05
1340,勝悅-KY,10.95,4.65,2.05
1402,遠東新,14.95,4.18,0.84
1409,新纖,13.21,3.15,0.71
1410,南染,18.69,3.52,1.62
1413,宏洲,-,0.0,0.86
1414,東和,42.89,6.13,0.57
1416,廣豐,12.53,12.74,1.03
1417,嘉裕,25.68,2.51,0.64
1418,東華,-,0.0,1.12
1419,新紡,90.68,1.13,1.61
1423,利華,-,0.0,0.53
1432,大魯閣,-,0.0,1.41
1434,福懋,15.50,3.24,1.04
1435,中福,-,0.0,0.79
1436,華友聯,9.51,0.0,1.19
1437,勤益控,-,0.0,0.89
1438,三地開發,165.00,0.0,1.27
1439,雋揚,-,3.47,0.65
1440,南紡,52.50,3.36,1.18
1441,大東,-,0.0,0.86
1442,名軒,16.23,16.88,1.25
1443,立益物流,-,0.0,0.67
1444,力麗,43.62,2.18,0.76
1445,大宇,42.90,5.55,0.66
1446,宏和,2945.00,1.02,2.16
1447,力鵬,16.94,8.2,0.95
1449,佳和,-,0.0,0.53
