103年09月04日 個股日本益比、殖利率及股價淨值比,103年09月04日 個股日本益比、殖利率及股價淨值比,103年09月04日 個股日本益比、殖利率及股價淨值比,103年09月04日 個股日本益比、殖利率及股價淨值比,103年09月04日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,16.02,4.8,1.64
1102,亞泥,16.20,4.92,1.02
1103,嘉泥,8.10,6.54,0.58
1104,環泥,13.54,3.81,1.19
1108,幸福,14.58,4.35,0.95
1109,信大,16.26,8.48,1.03
1110,東泥,55.33,1.2,1.07
1201,味全,29.13,1.38,2.62
1203,味王,22.52,4.15,1.39
1210,大成,7.43,12.94,1.24
1213,大飲,61.72,0.0,1.55
1215,卜蜂,8.36,4.81,1.32
1216,統一,20.69,3.87,3.3
1217,愛之味,-,0.0,0.81
1218,泰山,-,0.0,1.33
1219,福壽,42.63,0.88,1.44
1220,台榮,26.03,3.45,0.86
1225,福懋油,88.46,1.04,1.94
1227,佳格,29.73,3.27,4.77
1229,聯華,9.35,4.77,0.83
1231,聯華食,21.59,5.99,2.01
1232,大統益,15.28,5.31,3.84
1233,天仁,18.30,4.66,3.36
1234,黑松,15.85,5.98,0.79
1235,興泰,26.24,0.0,1.49
1236,宏亞,13.56,5.1,1.42
1262,綠悅-KY,16.20,1.97,3.11
1301,台塑,21.52,2.43,1.78
1303,南亞,16.56,2.69,1.84
1304,台聚,24.46,3.77,0.98
1305,華夏,13.89,9.6,0.97
1307,三芳,11.67,5.67,1.57
1308,亞聚,19.59,4.64,1.14
1309,台達化,-,0.0,0.81
1310,台苯,6.32,6.85,1.23
1312,國喬,9.90,6.6,0.92
1313,聯成,42.32,3.29,0.75
1314,中石化,-,0.0,0.8
1315,達新,44.84,3.54,0.81
1316,上曜,-,0.0,1.69
1319,東陽,17.00,2.98,1.33
1321,大洋,-,0.0,1.83
1323,永裕,11.93,4.62,1.84
1324,地球,26.96,8.61,1.21
1325,恆大,37.86,3.5,1.06
1326,台化,19.92,3.36,1.56
1337,再生-KY,7.47,7.11,1.08
1338,廣華-KY,13.65,2.34,1.74
1339,昭輝,24.74,1.59,3.61
1340,勝悅-KY,11.17,4.35,2.16
1402,遠東新,17.41,3.99,0.88
1409,新纖,12.73,3.2,0.71
1410,南染,24.65,3.65,1.73
1413,宏洲,-,0.0,0.82
1414,東和,24.47,5.68,0.61
1416,廣豐,26.00,13.61,1.01
1417,嘉裕,20.10,2.43,0.71
1418,東華,-,0.0,1.08
1419,新紡,106.97,1.11,1.65
1423,利華,-,0.0,0.52
1432,大魯閣,-,0.0,1.88
1434,福懋,23.76,3.16,1.07
1435,中福,-,0.0,0.82
1436,華友聯,13.50,0.0,1.3
1437,勤益控,-,0.0,0.96
1438,三地開發,63.45,0.0,1.34
1439,雋揚,-,3.53,0.64
1440,南紡,39.46,3.31,1.16
1441,大東,-,0.0,0.82
1442,名軒,12.06,13.38,1.6
1443,立益物流,-,0.0,0.66
1444,力麗,21.23,2.14,0.74
1445,大宇,29.06,5.38,0.69
1446,宏和,-,0.96,2.28
1447,力鵬,11.94,9.85,0.72
1449,佳和,-,0.0,0.52
1451,年興,13.28,7.53,1.07
1452,宏益,9.84,6.5,0.79
1453,大將,-,4.97,0.84
1454,台富,28.86,3.09,0.66
1455,集盛,34.88,2.29,0.72
1456,怡華,-,0.0,1.94
1457,宜進,9.02,5.78,0.6
1459,聯發,13.42,3.52,0.81
1460,宏遠,24.47,1.43,1.35
1463,強盛新,30.83,2.03,1.28
1464,得力,-,0.0,1.12
1465,偉全,13.54,13.77,0.9
1466,聚隆,24.72,2.14,1.34
1467,南緯,27.81,1.5,1.19
1468,昶和,-,0.0,1.51
1469,理隆,625.00,0.0,0.91
1470,大統新創,29.93,1.5,1.88
1471,首利,-,0.0,0.8
1472,三洋實業,-,0.0,7.9
