99年08月24日 個股日本益比、殖利率及股價淨值比,99年08月24日 個股日本益比、殖利率及股價淨值比,99年08月24日 個股日本益比、殖利率及股價淨值比,99年08月24日 個股日本益比、殖利率及股價淨值比,99年08月24日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,12.10,6.0,1.23
1102,亞泥,11.93,6.85,1.27
1103,嘉泥,35.10,2.37,0.78
1104,環泥,15.80,2.99,0.83
1108,幸福,56.79,2.14,0.75
1109,信大,53.42,3.45,0.70
1110,東泥,97.69,1.57,0.88
1201,味全,26.51,1.63,3.28
1203,味王,27.97,5.59,1.38
1210,大成,16.32,5.51,1.56
1213,大飲,125.43,0.0,2.47
1215,卜蜂,19.48,5.29,1.26
1216,統一,17.90,4.86,2.37
1217,愛之味,65.00,0.0,1.38
1218,泰山,24.87,3.22,1.68
1219,福壽,18.14,4.73,1.10
1220,台榮,-,0.0,1.61
1225,福懋油,16.70,2.23,1.29
1227,佳格,18.58,4.44,4.55
1229,聯華,11.60,3.81,1.04
1231,聯華食,18.05,2.57,1.74
1232,大統益,12.22,7.37,2.50
1233,天仁,22.63,3.45,3.92
1234,黑松,40.98,1.8,1.39
1235,興泰,192.13,0.33,5.52
1236,宏亞,12.17,6.63,1.85
1301,台塑,13.15,5.67,1.80
1303,南亞,16.77,3.08,1.86
1304,台聚,8.13,9.69,1.35
1305,華夏,15.26,2.59,0.98
1307,三芳,13.50,5.11,2.29
1308,亞聚,8.18,9.63,1.26
1309,台達化,6.73,0.0,1.02
1310,台苯,24.22,4.27,1.07
1312,國喬,5.94,1.38,1.13
1313,聯成,9.86,4.83,1.16
1314,中石化,8.93,0.0,1.45
1315,達新,56.67,4.2,0.87
1316,上曜,-,0.0,0.89
1319,東陽,15.22,2.62,2.42
1321,大洋,54.88,0.0,2.00
1323,永裕,12.95,5.75,1.64
1324,地球,22.28,2.36,1.91
1325,恆大,14.12,3.13,1.59
1326,台化,9.25,6.38,1.80
1402,遠東新,21.11,3.86,1.93
1409,新纖,28.37,1.69,1.04
1410,南染,420.00,0.0,1.33
1413,宏洲,-,0.0,1.04
1414,東和,-,0.0,0.93
1416,廣豐,149.83,0.0,0.99
1417,嘉裕,32.57,0.0,1.04
1418,東華,4.24,0.0,1.24
1419,新紡,96.90,0.61,2.04
1423,利華,28.50,0.0,0.63
1432,大魯閣,-,0.0,1.53
1434,福懋,85.86,3.21,0.81
1435,中福,-,0.0,2.04
1436,華友聯,-,0.0,0.82
1437,勤益控,23.05,0.0,1.26
1438,三地開發,-,0.0,177.00
1439,雋揚,348.24,0.0,4.03
1440,南紡,19.64,3.68,1.10
1441,大東,-,0.0,1.00
1442,名軒,7.85,6.52,1.60
1443,立益物流,-,0.0,0.74
1444,力麗,12.91,6.73,1.34
1445,大宇,38.58,2.16,0.70
1446,宏和,78.91,0.0,1.30
1447,力鵬,8.24,0.0,1.30
1449,佳和,-,0.0,1.24
1452,宏益,10.64,3.76,0.92
1453,大將,25.85,0.0,1.10
1454,台富,-,0.0,0.77
1455,集盛,7.59,1.67,1.15
1456,怡華,-,0.0,0.88
1457,宜進,32.17,0.0,0.79
1459,聯發,20.08,0.0,1.18
1460,宏遠,-,0.0,0.95
1463,強盛新,13.23,0.0,1.04
1464,得力,164.50,1.22,1.48
1465,偉全,31.36,2.9,0.94
1466,聚隆,14.46,0.0,2.68
1467,南緯,23.25,0.0,1.30
1468,昶和,-,0.0,2.02
1469,理隆,29.23,0.0,1.27
1470,大統新創,17.77,0.0,1.18
1471,首利,26.12,5.7,1.94
1472,三洋實業,-,0.0,0.95
1473,台南,21.19,3.0,1.80
1474,弘裕,48.81,1.95,0.80
1475,業旺,-,0.0,2.92
1476,儒鴻,21.73,3.18,2.52
1477,聚陽,12.08,6.75,3.01
1503,士電,6.18,3.23,1.24
1504,東元,12.66,3.4,0.83
1506,正道,-,0.0,2.17
1507,永大,12.69,4.01,1.59
1512,瑞利,-,0.0,0.79
1513,中興電,17.22,5.48,1.17
1514,亞力,-,1.14,1.14
1515,力山,13.13,0.0,1.10
1516,川飛,-,0.0,1.45
1517,利奇,12.82,3.52,1.33
1519,華城,16.96,5.6,2.14
1521,大億,13.29,5.19,2.89
1522,堤維西,13.96,7.21,1.10
1524,耿鼎,-,0.0,0.95
1525,江申,13.05,2.77,1.84
1526,日馳,-,0.0,1.14
1527,鑽全,62.60,4.15,2.16
1528,恩德,55.83,1.31,1.26
1529,樂事綠能,-,0.0,1.73
1530,亞崴,46.28,1.46,1.61
1531,高林股,39.94,2.19,1.53
