103年04月10日 個股日本益比、殖利率及股價淨值比,103年04月10日 個股日本益比、殖利率及股價淨值比,103年04月10日 個股日本益比、殖利率及股價淨值比,103年04月10日 個股日本益比、殖利率及股價淨值比,103年04月10日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,18.20,4.65,1.62
1102,亞泥,18.86,5.12,1.45
1103,嘉泥,8.17,3.11,0.54
1104,環泥,16.85,3.55,1.3
1108,幸福,20.91,4.89,0.85
1109,信大,19.92,2.93,0.89
1110,東泥,64.81,1.19,1.11
1201,味全,26.25,1.33,2.75
1203,味王,21.40,4.21,1.37
1210,大成,8.61,6.81,1.22
1213,大飲,70.47,0.0,1.78
1215,卜蜂,10.23,4.01,0.97
1216,統一,20.81,4.07,3.08
1217,愛之味,-,0.0,0.96
1218,泰山,-,0.0,1.42
1219,福壽,177.78,0.94,1.34
1220,台榮,32.34,3.38,0.86
1225,福懋油,46.13,1.75,1.2
1227,佳格,29.29,4.22,5.08
1229,聯華,12.44,5.1,0.79
1231,聯華食,15.31,5.55,2.09
1232,大統益,15.36,5.6,3.45
1233,天仁,18.86,4.78,2.98
1234,黑松,41.41,4.64,0.73
1235,興泰,-,0.0,2.24
1236,宏亞,20.87,4.94,1.83
1262,綠悅-KY,25.24,0.0,5.1
1301,台塑,23.85,2.45,1.88
1303,南亞,20.50,2.91,1.84
1304,台聚,25.32,3.0,1.21
1305,華夏,9.49,7.57,1.18
1307,三芳,14.52,5.35,1.66
1308,亞聚,21.05,4.17,1.23
1309,台達化,228.00,0.0,0.91
1310,台苯,8.50,5.45,1.55
1312,國喬,8.99,5.25,1.09
1313,聯成,27.12,7.09,0.86
1314,中石化,-,3.94,0.93
1315,達新,35.61,3.42,0.82
1316,上曜,-,0.0,1.64
1319,東陽,19.74,2.44,1.61
1321,大洋,758.33,0.0,1.97
1323,永裕,13.97,3.88,2.23
1324,地球,28.45,7.88,1.22
1325,恆大,26.81,2.33,1.08
1326,台化,17.39,3.38,1.62
1337,再生-KY,13.94,5.57,2.03
1338,廣華-KY,21.81,1.95,2.08
1339,昭輝,15.38,2.93,2.02
1340,勝悅-KY,16.32,0.0,3.57
1402,遠東新,23.00,4.04,1.47
1409,新纖,15.22,3.14,0.68
1410,南染,22.69,3.67,1.67
1413,宏洲,-,0.0,0.77
1414,東和,16.00,3.83,0.67
1416,廣豐,91.36,9.95,1.06
1417,嘉裕,211.00,2.37,0.73
1418,東華,-,0.0,0.88
1419,新紡,70.73,1.16,1.6
1423,利華,-,0.0,0.52
1432,大魯閣,-,16.13,1.83
1434,福懋,25.59,3.08,1.07
1435,中福,-,0.0,0.9
1436,華友聯,-,0.0,1.39
1437,勤益控,-,0.0,0.95
1438,三地開發,23.34,0.0,1.3
1439,雋揚,737.50,3.39,0.65
1440,南紡,28.29,2.79,1.34
1441,大東,-,1.95,0.86
1442,名軒,5.60,3.42,1.61
1443,立益物流,-,0.0,0.66
1444,力麗,15.35,5.5,0.86
1445,大宇,22.02,4.83,0.74
1446,宏和,-,0.99,2.2
1447,力鵬,10.43,0.0,1.04
1449,佳和,-,0.0,2.84
1451,年興,15.38,6.54,1.18
1452,宏益,12.18,6.37,0.79
1453,大將,40.88,5.1,0.82
1454,台富,29.61,3.02,0.66
1455,集盛,16.37,0.0,0.8
1456,怡華,-,0.0,24.97
1457,宜進,12.54,5.54,0.64
1459,聯發,17.25,3.62,0.79
1460,宏遠,25.19,1.5,1.3
1463,強盛新,50.30,1.81,1.41
1464,得力,-,1.62,1.13
1465,偉全,16.98,12.17,1.02
1466,聚隆,18.74,2.7,1.12
1467,南緯,14.60,2.74,1.31
1468,昶和,-,0.0,1.29
1469,理隆,206.67,0.0,1.0
1470,大統新創,49.41,1.79,1.59
1471,首利,78.67,0.0,0.9
1472,三洋實業,-,0.0,8.88
1473,台南,20.46,7.54,1.14
1474,弘裕,16.98,2.14,0.69
1475,業旺,-,0.0,3.47
1476,儒鴻,32.72,2.07,11.05
1477,聚陽,20.18,4.5,5.11
1503,士電,16.40,3.79,0.94
1504,東元,17.58,3.29,1.54
1506,正道,-,0.0,2.19
1507,永大,21.36,2.79,3.57
1512,瑞利,-,0.0,0.98
1513,中興電,16.72,4.78,1.27
1514,亞力,27.75,3.0,0.75
1515,力山,10.39,4.22,0.91
1516,川飛,65.00,0.0,1.7
1517,利奇,12.11,3.8,1.23
1519,華城,38.52,1.89,1.49
1521,大億,18.83,4.89,3.61
1522,堤維西,104.50,0.0,1.32
1524,耿鼎,-,0.0,0.76
1525,江申,18.49,2.01,1.97
1526,日馳,15.21,0.0,1.1
1527,鑽全,11.15,6.54,2.18
1528,恩德,20.48,4.01,1.05
1529,樂事綠能,-,0.0,1.8
1530,亞崴,23.54,2.48,2.3
1531,高林股,18.57,3.66,1.25
1532,勤美,4.68,3.1,1.2
1533,車王電,23.70,3.0,2.35
1535,中宇,15.43,4.56,2.9
1536,和大,27.76,2.44,4.25
1537,廣隆,14.03,5.58,2.97
1538,正峰,-,0.0,1.95
1539,巨庭,16.16,0.0,2.09
1540,喬福,16.55,5.31,1.47
1541,錩泰,-,0.0,1.61
1560,中砂,24.50,3.61,3.52
1582,信錦,12.22,6.55,1.63
1583,程泰,24.69,2.01,3.24
1589,永冠-KY,29.94,2.18,2.57
1590,亞德客-KY,31.70,1.98,6.09
1603,華電,15.06,0.0,0.72
1604,聲寶,15.60,5.41,0.9
1605,華新,-,0.0,0.6
1608,華榮,11.92,5.93,0.63
1609,大亞,28.92,2.77,0.57
1611,中電,-,1.48,0.97
1612,宏泰,65.31,7.18,0.69
1613,台一,-,0.0,0.6
1614,三洋電,41.18,2.35,1.98
1615,大山,38.33,3.86,0.81
1616,億泰,347.50,0.0,0.75
1617,榮星,75.25,0.0,0.82
1618,合機,-,5.0,0.57
1626,艾美特-KY,15.81,3.23,2.88
1701,中化,28.52,2.16,1.36
1702,南僑,17.73,3.28,3.39
1704,榮化,-,2.13,1.36
1707,葡萄王,21.18,3.68,6.39
1708,東鹼,12.18,3.13,1.33
1709,和益,21.67,4.01,1.04
1710,東聯,21.24,3.9,1.56
1711,永光,24.76,3.26,2.07
1712,興農,12.55,4.65,1.16
1713,國化,36.08,2.61,1.24
1714,和桐,27.45,3.44,1.17
1715,萬洲,19.92,4.9,1.43
1717,長興,16.44,5.33,1.6
1718,中纖,13.94,0.0,0.71
1720,生達,24.61,3.65,2.23
1721,三晃,194.17,0.0,1.3
1722,台肥,24.32,3.17,1.22
1723,中碳,18.07,4.78,5.72
1724,台硝,66.55,5.18,1.39
1725,元禎,21.91,2.35,1.16
1726,永記,12.27,4.89,1.72
1727,中華化,15.78,5.81,1.31
1729,必翔,-,0.0,2.51
1730,花仙子,7.77,9.34,1.63
1731,美吾華,31.77,2.62,1.2
1732,毛寶,-,0.0,1.1
1733,五鼎,18.01,4.86,3.49
1734,杏輝,24.38,3.27,2.43
1735,日勝化,19.03,3.92,0.94
1736,喬山,16.82,2.17,2.15
1737,臺鹽,43.81,1.81,0.96
1762,中化生,39.32,2.03,2.31
1773,勝一,13.51,5.9,2.07
1783,和康生,1275.00,0.0,4.02
1786,科妍,78.27,1.91,2.92
1789,神隆,44.10,1.93,5.81
1802,台玻,-,0.34,1.5
1805,寶徠,5.02,0.0,1.35
1806,冠軍,18.91,0.0,0.66
1808,潤隆,96.88,0.97,1.73
1809,中釉,22.47,2.08,0.94
1810,和成,21.73,0.0,0.71
1817,凱撒衛,16.97,4.13,2.16
1902,台紙,307.50,0.0,0.86
1903,士紙,-,0.0,3.13
1904,正隆,12.28,4.36,0.79
1905,華紙,-,0.0,0.67
1906,寶隆,-,0.0,0.59
1907,永豐餘,37.57,2.88,0.69
1909,榮成,13.15,5.63,0.82
2002,中鋼,24.67,3.47,1.36
2006,東和鋼鐵,12.24,6.17,1.12
2007,燁興,-,0.0,0.83
2008,高興昌,0.73,0.0,0.94
2009,第一銅,90.00,4.63,0.88
2010,春源,17.15,7.29,0.75
2012,春雨,24.72,3.75,0.96
