102年03月06日 個股日本益比、殖利率及股價淨值比,102年03月06日 個股日本益比、殖利率及股價淨值比,102年03月06日 個股日本益比、殖利率及股價淨值比,102年03月06日 個股日本益比、殖利率及股價淨值比,102年03月06日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,17.79,4.92,1.48
1102,亞泥,17.69,7.07,1.44
1103,嘉泥,-,3.66,0.79
1104,環泥,15.08,3.31,0.83
1108,幸福,16.23,0.0,0.68
1109,信大,49.76,3.35,0.77
1110,東泥,66.43,0.72,0.95
1201,味全,29.29,1.31,2.9
1203,味王,510.00,2.45,1.24
1210,大成,15.80,6.29,1.34
1213,大飲,73.33,0.0,1.93
1215,卜蜂,14.05,1.94,0.77
1216,統一,24.66,2.9,3.65
1217,愛之味,106.50,0.0,1.0
1218,泰山,64.38,3.24,1.41
1219,福壽,-,6.6,1.2
1220,台榮,12.99,0.0,0.89
1225,福懋油,33.33,2.31,1.05
1227,佳格,23.02,5.62,5.3
1229,聯華,11.25,5.17,0.77
1231,聯華食,13.03,3.88,2.04
1232,大統益,15.60,5.67,2.93
1233,天仁,20.29,4.76,2.78
1234,黑松,51.44,1.6,1.56
1235,興泰,80.65,0.0,1.44
1236,宏亞,21.32,6.9,1.7
1301,台塑,36.26,5.35,2.05
1303,南亞,622.22,3.75,1.78
1304,台聚,12.42,10.82,1.5
1305,華夏,12.88,0.0,1.18
1307,三芳,12.17,6.01,1.37
1308,亞聚,14.55,11.72,1.22
1309,台達化,-,7.21,0.78
1310,台苯,-,0.0,1.01
1312,國喬,9.01,4.52,1.0
1313,聯成,17.45,6.1,1.02
1314,中石化,15.38,19.13,1.19
1315,達新,11.93,5.72,1.1
1316,上曜,-,0.0,1.11
1319,東陽,17.22,2.57,1.03
1321,大洋,-,0.0,1.18
1323,永裕,10.00,5.33,1.44
1324,地球,33.24,5.31,0.84
1325,恆大,20.73,3.82,0.98
1326,台化,299.20,5.35,1.89
1337,再生-KY,9.62,5.96,2.44
1338,廣華-KY,11.46,1.75,1.69
1339,昭輝,11.74,4.95,1.33
1402,遠東新,19.81,6.23,1.49
1409,新纖,20.96,3.29,0.73
1410,南染,18.72,3.85,1.61
1413,宏洲,-,0.0,0.58
1414,東和,48.26,3.27,0.63
1416,廣豐,7.43,0.0,1.08
1417,嘉裕,14.85,0.0,0.76
1418,東華,-,0.0,0.71
1419,新紡,61.77,1.57,2.0
1423,利華,-,0.0,0.53
1432,大魯閣,-,0.0,0.91
1434,福懋,17.84,4.15,0.93
1435,中福,-,0.0,0.92
1436,華友聯,2.73,0.0,1.55
1437,勤益控,-,0.0,0.96
