103年04月28日 個股日本益比、殖利率及股價淨值比,103年04月28日 個股日本益比、殖利率及股價淨值比,103年04月28日 個股日本益比、殖利率及股價淨值比,103年04月28日 個股日本益比、殖利率及股價淨值比,103年04月28日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,17.50,4.83,1.55
1102,亞泥,18.94,5.1,1.45
1103,嘉泥,8.05,3.15,0.54
1104,環泥,15.57,3.84,1.2
1108,幸福,19.57,5.23,0.79
1109,信大,21.54,8.57,0.96
1110,東泥,61.92,1.24,1.06
1201,味全,26.08,1.34,2.73
1203,味王,20.59,4.38,1.32
1210,大成,8.77,6.69,1.25
1213,大飲,67.97,0.0,1.72
1215,卜蜂,11.97,3.43,1.13
1216,統一,20.73,4.09,3.07
1217,愛之味,-,0.0,0.91
1218,泰山,-,0.0,1.32
1219,福壽,168.89,0.99,1.27
1220,台榮,31.72,3.45,0.85
1225,福懋油,42.74,1.89,1.11
1227,佳格,29.19,4.24,5.06
1229,聯華,12.18,5.21,0.78
1231,聯華食,15.00,5.66,2.05
1232,大統益,15.63,5.5,3.51
1233,天仁,19.02,4.74,3.01
1234,黑松,40.51,4.75,0.71
1235,興泰,-,0.0,2.04
1236,宏亞,20.48,5.04,1.8
1262,綠悅-KY,22.85,0.0,4.62
1301,台塑,23.42,2.5,1.85
1303,南亞,20.53,2.9,1.84
1304,台聚,24.56,3.09,1.18
1305,華夏,9.13,7.87,1.13
1307,三芳,13.47,5.76,1.54
1308,亞聚,20.48,4.28,1.19
1309,台達化,202.00,0.0,0.81
1310,台苯,7.94,5.83,1.45
1312,國喬,9.15,5.15,1.11
1313,聯成,25.77,7.46,0.81
1314,中石化,-,4.18,0.88
1315,達新,34.82,3.5,0.8
1316,上曜,-,0.0,1.62
1319,東陽,18.73,2.58,1.52
1321,大洋,678.33,0.0,1.76
1323,永裕,13.86,3.91,2.21
1324,地球,28.19,7.95,1.21
1325,恆大,25.69,2.43,1.03
1326,台化,17.04,3.45,1.58
1337,再生-KY,10.82,7.17,1.58
1338,廣華-KY,19.08,2.23,1.82
1339,昭輝,15.02,3.0,1.97
1340,勝悅-KY,12.92,3.98,2.83
1402,遠東新,22.14,4.19,1.41
1409,新纖,14.51,3.6,0.65
1410,南染,22.13,3.77,1.63
1413,宏洲,-,0.0,0.76
1414,東和,15.61,4.96,0.65
1416,廣豐,88.18,10.31,1.02
1417,嘉裕,202.25,2.47,0.7
1418,東華,-,0.0,0.88
1419,新紡,69.36,1.18,1.57
1423,利華,-,0.0,0.5
1432,大魯閣,-,16.81,1.76
1434,福懋,25.43,3.1,1.06
1435,中福,-,0.0,0.85
1436,華友聯,-,0.0,1.41
1437,勤益控,-,0.0,0.85
1438,三地開發,22.97,0.0,1.28
1439,雋揚,702.50,3.56,0.62
1440,南紡,26.51,2.98,1.25
1441,大東,-,2.06,0.81
1442,名軒,5.27,3.64,1.51
1443,立益物流,-,0.0,0.63
1444,力麗,15.07,1.87,0.85
1445,大宇,21.38,4.98,0.72
1446,宏和,-,1.05,2.06
1447,力鵬,10.36,6.9,1.03
1449,佳和,-,0.0,2.84
1451,年興,15.05,6.68,1.16
1452,宏益,11.70,6.64,0.76
1453,大將,40.96,5.09,0.82
1454,台富,28.82,3.1,0.64
1455,集盛,15.50,0.0,0.76
1456,怡華,-,0.0,24.14
1457,宜進,11.61,5.98,0.59
1459,聯發,16.55,3.78,0.76
1460,宏遠,20.85,1.81,1.08
1463,強盛新,45.15,2.01,1.27
1464,得力,-,1.67,1.1
1465,偉全,16.65,12.41,1.0
1466,聚隆,17.58,2.87,1.05
1467,南緯,13.90,2.88,1.25
1468,昶和,-,0.0,1.33
1469,理隆,207.50,0.0,1.0
1470,大統新創,50.00,1.76,1.61
1471,首利,68.67,0.0,0.78
1472,三洋實業,-,0.0,7.75
1473,台南,19.75,7.81,1.1
1474,弘裕,15.67,2.32,0.64
1475,業旺,-,0.0,2.85
1476,儒鴻,30.06,2.26,10.15
1477,聚陽,20.05,4.53,5.07
1503,士電,15.84,3.93,0.91
1504,東元,17.32,3.34,1.52
1506,正道,-,0.0,1.86
1507,永大,21.05,2.83,3.52
1512,瑞利,-,0.0,0.92
1513,中興電,16.24,4.93,1.23
1514,亞力,26.89,3.1,0.73
1515,力山,9.87,4.44,0.86
1516,川飛,50.00,0.0,1.31
1517,利奇,11.15,4.13,1.14
1519,華城,38.07,1.91,1.47
1521,大億,19.55,4.71,3.75
1522,堤維西,95.25,0.0,1.2
1524,耿鼎,-,0.0,0.73
1525,江申,16.05,2.32,1.71
1526,日馳,15.00,0.0,1.09
1527,鑽全,10.60,6.88,2.07
1528,恩德,20.75,3.96,1.06
1529,樂事綠能,-,0.0,1.83
1530,亞崴,22.10,3.52,2.16
1531,高林股,17.99,3.78,1.21
1532,勤美,4.34,7.8,1.11
1533,車王電,21.80,3.26,2.16
1535,中宇,15.19,4.64,2.85
1536,和大,25.36,2.67,3.89
1537,廣隆,13.72,5.71,2.91
1538,正峰,-,0.0,1.78
1539,巨庭,15.18,0.0,1.97
1540,喬福,15.47,5.68,1.37
1541,錩泰,-,0.0,1.64
1560,中砂,22.09,4.0,3.18
1582,信錦,12.13,6.6,1.61
1583,程泰,22.13,2.24,2.91
1589,永冠-KY,26.49,2.46,2.27
1590,亞德客-KY,32.90,1.91,6.32
1603,華電,13.68,0.0,0.66
1604,聲寶,13.92,6.06,0.81
1605,華新,-,0.0,0.59
1608,華榮,11.52,6.14,0.61
1609,大亞,29.92,2.67,0.59
1611,中電,-,1.55,0.92
1612,宏泰,65.00,7.21,0.69
1613,台一,-,0.0,0.66
1614,三洋電,37.10,2.61,1.78
1615,大山,37.96,2.93,0.8
1616,億泰,317.00,0.0,0.69
1617,榮星,72.08,0.0,0.79
1618,合機,-,5.32,0.54
1626,艾美特-KY,14.35,3.56,2.62
1701,中化,27.28,2.26,1.3
1702,南僑,16.63,3.5,3.18
1704,榮化,-,2.41,1.2
1707,葡萄王,21.03,3.7,6.34
1708,東鹼,11.91,3.21,1.3
1709,和益,21.23,4.1,1.02
1710,東聯,20.86,3.97,1.54
1711,永光,22.90,3.52,1.91
1712,興農,12.88,4.53,1.19
1713,國化,33.14,2.84,1.14
1714,和桐,25.38,3.72,1.08
1715,萬洲,17.44,5.59,1.25
1717,長興,16.26,5.39,1.58
1718,中纖,12.35,0.0,0.63
1720,生達,23.50,3.82,2.13
1721,三晃,162.67,0.0,1.09
1722,台肥,23.44,3.29,1.17
1723,中碳,18.23,4.74,5.77
1724,台硝,58.62,5.88,1.22
1725,元禎,21.62,2.38,1.14
1726,永記,12.37,4.85,1.74
1727,中華化,15.50,5.92,1.28
1729,必翔,-,0.0,2.43
1730,花仙子,7.53,9.64,1.58
1731,美吾華,31.15,2.68,1.18
1732,毛寶,-,0.0,1.09
1733,五鼎,17.37,5.04,3.36
1734,杏輝,24.88,3.2,2.48
1735,日勝化,18.66,4.0,0.92
1736,喬山,17.01,2.14,2.17
1737,臺鹽,41.19,1.93,0.91
1762,中化生,34.40,2.33,2.02
1773,勝一,13.14,6.07,2.01
1783,和康生,1275.00,0.0,4.02
1786,科妍,79.63,1.88,2.98
1789,神隆,44.04,1.93,5.8
1802,台玻,-,0.36,1.42
1805,寶徠,4.40,0.0,1.18
1806,冠軍,16.56,0.0,0.58
1808,潤隆,90.16,1.04,1.61
1809,中釉,20.60,2.27,0.86
1810,和成,20.82,0.0,0.68
1817,凱撒衛,15.04,4.66,1.92
1902,台紙,282.50,0.0,0.79
1903,士紙,-,0.0,2.97
1904,正隆,11.70,4.58,0.76
1905,華紙,-,0.0,0.65
1906,寶隆,-,0.0,0.53
1907,永豐餘,36.22,2.99,0.66
1909,榮成,12.13,6.11,0.75
2002,中鋼,24.00,3.57,1.32
2006,東和鋼鐵,12.19,6.19,1.12
2007,燁興,-,0.0,0.82
2008,高興昌,0.68,0.0,0.87
2009,第一銅,85.83,4.85,0.84
2010,春源,17.36,7.2,0.76
2012,春雨,23.06,4.02,0.9
2013,中鋼構,14.76,4.52,1.42
2014,中鴻,77.60,0.0,1.25
2015,豐興,20.12,4.39,1.84
2017,官田鋼,-,0.0,0.62
2020,美亞,19.85,3.7,0.98
2022,聚亨,-,0.0,0.6
2023,燁輝,19.74,4.31,0.59
2024,志聯,14.47,0.0,0.67
2025,千興,-,0.0,0.69
2027,大成鋼,57.41,3.66,1.25
2028,威致,-,0.0,0.67
2029,盛餘,14.37,5.03,0.91
2030,彰源,70.67,0.0,0.89
2031,新光鋼,16.17,5.15,0.99
2032,新鋼,37.81,2.89,0.95
2033,佳大,-,6.93,0.89
2034,允強,16.14,5.28,1.54
2038,海光,-,3.08,0.54
2049,上銀,35.68,1.06,6.42
2059,川湖,26.74,1.52,6.33
2062,橋椿,10.86,7.46,2.01
2101,南港,62.18,2.92,2.49
2102,泰豐,13.94,4.63,0.96
2103,台橡,23.32,4.22,2.24
2104,國際中橡,19.00,4.04,0.87
2105,正新,15.21,3.45,3.58
2106,建大,16.65,3.54,3.2
2107,厚生,7.35,7.03,1.32
2108,南帝,23.83,4.15,1.34
2109,華豐,21.86,1.32,1.9
2114,鑫永銓,13.01,5.41,2.92
2115,六暉-KY,25.85,2.45,1.79
2201,裕隆,31.38,1.47,1.1
2204,中華,14.95,4.02,0.81
2206,三陽工業,-,1.62,1.73
2207,和泰車,26.16,2.59,6.06
2208,台船,30.93,2.74,1.0
2227,裕日車,15.70,3.48,4.58
2228,劍麟,21.72,3.47,3.16
2231,為升,43.35,2.14,11.37
2301,光寶科,12.10,5.99,1.45
2302,麗正,44.00,1.42,0.69
2303,聯電,12.67,3.91,0.77
2305,全友,-,0.0,0.73
2308,台達電,25.93,3.07,4.92
2311,日月光,16.95,3.74,2.16
2312,金寶,-,0.9,1.1
2313,華通,12.31,2.6,1.34
2314,台揚,-,0.0,2.2
2316,楠梓電,18.72,4.97,0.84
2317,鴻海,10.63,2.89,1.48
2321,東訊,303.00,0.0,6.18
2323,中環,-,0.0,0.43
2324,仁寶,37.89,4.63,0.98
2325,矽品,22.70,4.2,2.14
2327,國巨*,15.11,0.0,0.75
2328,廣宇,35.24,1.8,1.15
2329,華泰,-,0.0,1.55
2330,台積電,16.39,2.52,3.64
2331,精英,4.64,13.1,0.92
2332,友訊,18.58,6.09,0.9
2337,旺宏,-,0.0,0.84
2338,光罩,61.18,5.77,0.72
2340,台亞,19.22,4.05,1.11
2342,茂矽,-,0.0,0.89
2344,華邦電,135.17,0.0,0.86
2345,智邦,17.26,4.97,1.37
2347,聯強,14.26,4.22,1.77
2348,海悅,13.92,0.0,6.85
2349,錸德,-,0.0,0.58
2351,順德,17.10,3.48,1.99
2352,佳世達,27.28,0.0,0.94
2353,宏碁,-,0.0,0.9
2354,鴻準,13.77,2.02,1.4
2355,敬鵬,12.92,4.59,1.71
2356,英業達,14.06,2.89,1.81
2357,華碩,11.22,6.02,1.78
2358,廷鑫,-,0.0,1.99
2359,所羅門,41.15,0.0,0.88
2360,致茂,23.89,3.26,3.35
2361,鴻友,-,0.0,1.3
2362,藍天,12.34,5.64,2.8
2363,矽統,-,0.0,0.73
2364,倫飛,-,0.0,1.14
2365,昆盈,1290.00,4.88,0.86
2367,燿華,26.48,0.0,0.7
2368,金像電,-,0.0,0.72
2369,菱生,20.46,3.58,1.17
2371,大同,-,0.0,0.64
2373,震旦行,14.55,5.89,2.48
2374,佳能,17.73,11.49,0.88
2375,凱美,3.40,0.0,0.9
2376,技嘉,13.02,6.13,1.4
2377,微星,14.15,3.32,1.22
2379,瑞昱,14.29,4.07,2.22
2380,虹光,-,0.0,0.62
